@relation 'twonorm-weka.filters.unsupervised.attribute.Remove-V-R1,3-5,7,9-10,13,16,20-21'

@attribute A1 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute A7 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A13 numeric
@attribute A16 numeric
@attribute A20 numeric
@attribute Class {0,1}

@data
-1.1085,-1.0473,-1.5558,0.6791,-1.5196,1.3138,-0.9154,0.6303,0.0918,-1.3867,1
0.7522,0.5606,0.3304,-0.1008,-0.5027,0.1268,-0.4863,-0.6688,-0.5565,2.3512,0
1.6971,0.4609,-0.4952,1.2847,1.1339,1.3676,1.601,0.7559,-1.3001,0.1687,0
1.149,0.3777,-0.2037,-0.6592,2.9136,1.4107,0.7222,-0.9807,0.2475,0.1237,0
0.7075,-0.0818,-0.8427,0.2437,0.215,-1.305,-0.2033,-0.4084,-0.5076,1.0751,0
-1.3413,-0.3894,-1.7727,0.5828,-2.4343,-0.0077,-1.2153,-0.8748,-0.1551,0.1769,1
0.2886,-1.3311,0.9328,-0.303,0.5484,0.7906,0.449,0.477,-0.3973,-0.9644,0
0.4492,-0.6053,1.542,-2.2849,-0.0868,0.9349,-1.2743,0.0882,0.239,0.3217,1
-0.537,0.2819,0.1771,-0.5326,-0.9146,-0.1269,-0.9997,-0.8245,-1.4477,-1.4961,1
0.919,-0.7527,1.3388,0.7651,0.2699,-0.3535,0.4411,0.0218,-0.1181,0.7831,0
1.6669,-0.228,-0.2157,0.3393,-0.6364,2.3878,0.4135,0.4313,1.359,3.2649,0
-0.6027,0.6615,0.5841,-1.4287,1.4586,-2.1448,-1.4568,-1.0297,-2.2155,-0.4916,1
-0.1704,-1.0796,-0.4417,0.4686,-1.1929,-1.4934,-0.8012,-0.0813,0.8387,0.0559,1
1.5011,2.3779,-0.771,0.1854,0.5278,2.7915,1.445,1.5572,1.2204,1.5599,0
-0.1733,-0.1919,0.2732,-0.3845,-1.9688,0.4159,-0.6721,-0.0964,-0.1729,0.3546,1
-0.7698,-1.3406,-1.4295,0.4017,-0.5794,-1.1363,-0.2948,0.5,-0.3608,1.0581,1
0.6631,1.1184,1.269,1.5155,2.0063,0.3581,-1.6847,0.781,0.2161,2.1013,0
-2.5657,0.531,-0.5148,-0.1577,-0.2,-0.4172,-2.8305,0.1781,-1.7272,0.0273,1
-1.7451,-1.4089,0.1408,1.0171,-0.0642,-0.3128,1.2732,0.2495,-2.2726,-0.1701,1
-0.9493,-0.755,-1.5453,0.7027,-0.7619,-1.0659,-1.5025,-1.6947,0.6789,0.0611,1
-0.3422,-0.2656,0.5212,-0.7419,-1.0526,-1.1711,-0.8706,-0.8054,-0.5922,-0.638,1
1.4644,0.4856,1.4212,-0.7052,1.1143,2.4725,-0.3901,-1.302,-0.2682,0.9449,0
-0.1924,-0.1577,-0.9596,-0.1726,0.0349,-0.3571,-0.6794,-1.5995,-1.4452,0.2294,1
0.5414,-0.4663,-1.8447,0.0274,-0.4261,0.2611,-0.0424,-0.22,0.5584,0.2701,0
2.4338,0.6219,-0.1241,0.566,0.8143,-0.3209,0.0143,0.9963,0.5482,0.9159,0
-0.86,1.1693,-0.2019,0.1011,0.0172,1.3487,1.0581,0.3062,-0.4919,0.4501,1
-1.8995,1.2324,0.958,-0.4847,0.8551,-0.9175,0.8735,1.8894,1.1113,-0.1761,0
0.8327,-0.2927,0.884,2.1296,0.1265,0.6186,1.0349,1.0901,-0.4333,-0.1625,0
1.4707,0.4815,0.5955,0.3274,0.679,0.3134,-0.0386,-0.5988,0.9833,0.1469,0
-0.17,-0.9154,-1.0719,-2.0136,-0.8466,-1.6691,-0.2705,-0.2932,-1.8673,0.9739,1
0.9221,1.2449,0.9031,1.0766,0.5835,0.4619,3.7099,-0.3096,-0.5562,1.1402,0
0.8959,0.2003,0.9651,1.2934,1.1283,0.2583,0.4954,-0.0496,1.1344,1.095,0
2.0986,-0.1263,0.3291,0.0467,0.3587,-0.6619,0.2629,0.1328,0.16,1.4884,0
0.6143,0.2135,1.2753,1.0637,0.7519,1.2071,-0.0822,1.1478,-0.8723,0.918,0
0.475,-0.9595,0.7441,0.7859,-0.9842,-0.9514,-1.2835,1.1914,-0.5508,-0.7751,1
-1.4757,-0.8175,-1.4174,-0.8531,-0.3502,-1.0991,-1.4808,-1.1345,-0.8197,-1.3807,1
0.2903,0.2294,-0.3385,0.633,1.5059,0.7169,0.7253,1.2204,-0.0452,0.0166,0
-0.3176,-0.5657,-0.0871,-1.441,-0.9841,0.8447,-0.7151,0.5074,-1.0299,0.1947,0
-0.8045,-0.953,0.9778,-0.6549,-1.3077,1.1347,-1.3402,-1.1299,-2.4877,-1.1735,1
-2.7126,-2.8012,0.2051,1.438,-0.2509,-0.1643,0.9604,0.3431,-2.4629,-0.9817,1
0.6469,0.821,0.5696,2.0186,-0.2401,0.8237,-0.871,1.5163,2.4182,0.9047,0
-1.3399,-0.4135,-0.5119,-0.4371,0.3768,0.7319,-0.6449,-1.2592,-0.5623,0.1643,1
-1.6483,0.1248,0.1806,-1.4841,0.5915,0.7831,0.8936,1.1058,-0.2438,0.2916,0
1.3173,-0.5579,1.6588,-0.035,0.0036,0.634,-0.3533,1.0073,-1.2208,-1.1516,0
0.3739,-0.646,-0.3456,-0.3462,-0.4062,0.1249,-0.0497,-1.1602,-0.255,1.2161,1
-1.3979,1.7624,1.7648,-2.3276,-0.4929,0.4775,0.9016,0.9032,1.1369,0.8073,0
-0.5774,0.0794,-1.4483,-0.9961,-0.9215,-0.0927,-0.1215,-0.7507,1.226,0.0858,0
-1.2426,-1.3027,1.0305,-1.645,-0.4749,-0.2307,-2.1096,0.8575,0.0466,0.2712,1
-1.4232,0.3097,-0.7557,-0.7821,-2.487,-0.5973,-0.9224,0.4558,-2.0608,1.3243,1
0.5055,-0.5613,-0.9284,-0.5994,-2.3859,2.3367,-1.3219,1.5724,0.9319,-0.2758,1
0.0649,0.8407,0.2654,0.4524,-0.3918,-0.2652,-1.135,-1.2608,-0.633,-1.06,1
0.0036,0.412,-1.647,-0.5371,-1.2528,-1.7677,-0.2783,-1.4619,-0.3837,-1.4055,1
0.2561,-0.6877,-0.1665,0.796,-0.2404,0.0322,-1.8191,1.0017,-0.4866,-1.1859,1
-0.0809,-1.108,-1.9005,-0.3546,-0.1683,-1.8584,-0.1557,0.3248,-3.5233,-0.3592,1
-1.1922,0.751,-1.1077,-0.9557,0.205,-1.2294,0.1071,0.3157,-0.1274,-1.3162,1
-0.7392,0.6955,1.6059,0.6334,1.0944,1.0246,0.229,2.7675,0.1385,0.4677,0
0.93,1.2209,0.1086,-0.0022,-0.1602,0.6757,-0.4556,0.127,-0.9627,0.1376,0
-0.8381,-0.9342,-1.3304,1.2081,0.0767,0.8215,-0.3923,1.6244,-0.3356,1.062,1
-1.1255,0.9473,-0.7515,-0.7667,0.3608,-1.8762,0.3242,0.0375,-0.4296,0.4896,1
-0.4351,-0.5939,0.9465,-0.7053,0.8385,0.1898,-0.0298,-0.931,-1.6295,-1.1759,1
-0.3888,-0.4332,1.2238,1.7957,1.7827,0.6067,0.3455,0.9327,2.0477,2.1149,0
1.7638,0.2917,-0.5326,-0.2786,3.88,2.6602,-0.04,0.3525,-0.4931,1.4124,0
-1.2112,-1.6196,-0.7026,-0.5225,0.3831,-1.5259,-0.3225,0.7293,-2.2948,-0.4174,1
-0.2314,1.7833,1.1388,0.2938,0.1277,1.4158,0.5256,1.2131,-0.56,-0.9238,0
0.1951,-1.1375,0.7719,0.6695,-1.2179,0.6842,-0.7167,-1.1248,-1.2055,-0.2139,1
-1.4507,-1.0991,-2.6867,0.4292,0.0318,0.5825,0.0184,1.2253,-1.7845,-0.7626,1
0.8738,-2.094,-0.5197,-2.0415,2.3104,-0.4035,0.499,0.7363,-0.5983,2.1485,0
1.2587,0.2421,-0.409,1.3505,2.4681,-0.3831,-1.3728,0.1831,1.3889,1.4347,0
-0.9829,-0.7781,-0.0291,-0.2839,0.2173,-0.9834,-2.5042,-1.0164,-0.2895,-0.8662,1
-1.2927,0.4785,1.102,1.4963,-0.1304,2.2282,0.0318,0.7306,1.0589,0.5861,0
-2.4453,-0.337,-1.0458,0.0255,0.7733,0.6144,0.0555,1.4954,-0.8796,-0.7994,1
-0.4879,-0.106,-0.8486,0.8655,-0.8776,0.1976,-0.1116,-0.9728,-0.1818,-0.1222,1
-1.3972,-0.9478,-1.0955,-1.2714,0.2822,0.563,-0.4043,-1.7461,-2.2545,-0.0637,1
-1.7416,-0.623,-0.0983,0.3587,-1.8928,-0.8061,2.2891,0.6157,1.3093,-0.1449,1
-1.9878,0.5529,0.426,-0.9373,-0.9388,-0.7262,-0.0871,-0.5702,-2.251,-0.1915,1
-0.7132,0.4259,-0.0378,1.1377,2.0164,-1.7185,0.2649,-0.2566,0.4106,1.4898,0
0.245,0.2255,-0.0861,0.9048,1.5736,0.4643,-0.4342,2.1779,-0.1947,0.681,0
1.5005,-0.7533,-0.9404,-1.0888,-0.9355,0.1461,-0.2696,-0.2073,1.0525,1.7259,1
2.1704,0.5659,0.8876,-1.0711,-0.1842,0.6527,0.6508,0.5992,0.7627,-0.0424,0
0.4784,0.2968,-0.1288,0.4288,1.9639,-0.0904,0.6531,1.6557,1.5819,-0.5788,0
-1.4721,0.1523,0.1086,-0.1983,0.5407,0.8518,-0.6007,-0.858,0.3094,-0.5789,1
0.3969,0.8752,0.3796,1.056,1.1819,0.4975,0.1563,-0.0879,2.1962,-0.6311,0
-0.5307,-0.998,-1.6982,-1.8736,-0.0672,-0.2411,1.7244,0.6258,-0.059,-0.382,1
-0.7608,0.2611,0.0968,-2.0877,-1.0559,1.2381,0.2372,-1.1335,-0.7083,0.4864,1
0.1285,-1.2184,-0.842,-0.0182,0.8328,-0.731,2.8043,-1.938,-0.8185,-0.0545,1
0.8637,-0.4111,-1.4939,0.1643,-0.5618,-0.9588,-1.3474,-1.1148,-0.6489,-0.7468,1
-0.4781,-1.8872,-0.9304,0.0027,-1.0013,0.7313,-0.7401,0.142,0.3188,0.2603,1
2.6907,-0.0895,1.4519,0.6151,0.457,-0.055,0.3795,-1.0212,1.6004,-0.2378,0
0.1868,2.2516,2.047,0.6539,-1.2618,1.0864,0.5488,0.6064,1.1125,0.4305,0
0.6016,0.0005,1.0106,0.7132,1.294,1.1428,0.9212,0.8232,0.328,1.4362,0
-1.1488,-1.0958,-0.1271,-1.1769,-1.2174,0.6851,-0.6292,-0.0572,-0.9356,-1.8579,1
-0.2947,0.9393,-0.8226,-2.0496,0.3336,-1.3618,1.4197,-1.2893,-0.139,-0.426,1
-0.6279,-0.7408,-1.4009,-0.9397,-0.8178,-0.3224,-1.8316,-0.8109,-0.5271,-3.1048,1
-0.3518,-0.1227,1.6843,-1.507,-1.0424,-1.7757,-0.8266,-0.0165,1.0127,-1.2772,1
-1.1185,0.4435,0.2841,-1.004,0.4756,0.6396,-0.3596,0.1505,-0.7418,-1.3851,1
-0.7694,0.6917,-0.4822,-0.8735,-2.9671,0.9612,-1.5873,0.7068,1.2788,-0.018,0
-1.2075,-1.1857,-1.0774,-0.607,-2.1402,-2.4809,0.9528,0.6456,0.688,-0.1278,1
-0.0587,0.3899,2.4921,-1.0644,-1.3559,1.1111,-0.3476,-0.1114,0.5928,-0.7638,0
0.5299,2.674,1.4251,0.8955,-0.5142,0.7252,1.4114,0.9582,1.1032,-0.4481,0
0.09,0.0504,-1.4677,-0.6559,-1.7995,-1.3297,-1.0367,0.5094,-0.9074,-0.3897,1
0.6417,0.4938,0.1872,2.6462,0.4118,0.5326,1.2379,0.1102,1.5651,0.1674,0
1.7984,-0.2641,-2.2776,-0.61,0.0866,-0.7091,-1.0193,-0.314,0.6862,-0.2373,1
-0.5593,0.0685,1.1162,0.2438,-0.2805,1.3319,-0.4372,-0.2701,-0.2731,0.8769,0
0.9099,-0.1789,0.4181,-0.5632,-1.8944,0.5535,-1.5308,0.0467,-0.7881,0.8095,1
1.5434,0.0956,0.5169,0.1146,0.4659,3.1433,1.0336,-0.8205,1.667,0.3448,0
0.437,-0.9525,-0.434,-1.1527,0.5342,-2.3783,0.619,-0.5674,-1.0134,1.4759,1
-1.345,-1.2568,-1.952,-1.3586,1.9812,0.246,0.9273,-0.938,-0.4464,-0.8472,1
0.3993,-0.9862,-0.42,0.3554,-0.3345,-0.6164,0.9985,0.3623,0.0646,1.049,0
0.2773,-0.2323,0.1959,0.0852,-0.3068,2.29,1.7925,0.9281,0.6102,1.2605,0
1.8594,0.3536,1.9137,0.1276,0.9111,0.5097,1.4263,0.3421,-0.2884,0.4171,0
-0.6604,-0.6355,-1.4285,-1.6302,0.3417,1.3734,0.1261,-0.9615,-1.1771,-1.2169,1
-0.1182,-1.3739,0.5318,0.0475,0.3568,-0.4823,1.7638,-0.1726,-0.235,0.3891,0
-0.9754,-1.4535,0.5815,-1.3097,-1.1285,-0.9855,1.6356,-0.8042,-0.1373,-1.4285,1
0.7609,0.1823,-1.6968,-0.3163,-1.5574,0.3894,-0.4402,1.2971,1.3577,-1.1655,1
2.5294,2.7803,1.345,-0.2566,-0.1009,-0.2494,-0.3665,0.6307,-0.4907,-0.6641,0
0.5175,-0.7157,0.8339,0.0764,1.0146,0.2712,1.4567,-0.3075,-0.0168,-0.728,0
1.0306,0.8373,0.0403,1.2792,0.9485,0.6202,0.7563,0.6879,-0.6155,1.757,0
-0.2177,-0.3487,-0.276,-1.4721,-1.6376,0.5524,-0.5405,0.6822,0.4957,0.0892,1
-0.4039,0.8468,-0.5523,0.953,-0.0735,0.7797,0.3128,0.1161,-0.2604,-0.3832,1
-1.0926,2.2551,0.0586,1.2938,-0.593,1.1437,0.9996,0.4371,2.4885,2.4347,0
-1.4572,-1.8496,-2.2591,-0.7992,-1.2052,-1.1468,-0.3295,-0.2031,-0.7999,-1.6813,1
-1.9088,-0.2135,-0.3184,-1.3512,-1.1279,0.6914,-3.0174,-1.0114,-0.8137,-0.5303,1
0.5468,2.2847,0.6181,1.7506,1.42,0.7795,1.3063,0.4928,0.2712,1.3587,0
-0.6519,-0.6044,0.2406,0.0894,0.0055,0.6354,0.1289,-0.3136,0.1169,-0.4969,0
1.9817,-2.3905,0.4505,-0.4044,0.1387,1.2092,-1.4624,2.3945,0.2433,0.3332,0
0.044,-0.1708,-0.797,0.7325,0.0926,0.5274,0.4269,0.3305,0.7455,1.2795,0
1.3916,0.7562,0.2132,-0.6163,-0.4084,-0.0299,0.8895,0.6551,0.3423,-0.3617,1
1.1409,-0.1648,2.2439,0.2012,0.4996,0.6683,0.4121,-0.1763,-0.7712,0.1629,0
1.1074,2.0823,-0.3946,-0.0273,0.0345,0.907,-0.2719,0.0541,0.4898,0.8603,0
1.3471,-0.8524,-0.811,-0.0606,0.0875,-1.0934,-0.0302,-0.0694,-0.6205,1.2343,1
0.3915,0.3245,1.67,0.766,-0.825,1.7178,0.3837,1.6945,0.4338,2.0739,0
2.3113,-1.3991,0.6671,1.9836,1.6396,1.0137,1.0913,0.9287,0.4228,0.8097,0
-1.3279,-0.4724,-0.0285,-0.1838,-1.3352,1.0763,1.0429,-0.841,-0.4946,0.4847,1
1.7035,0.1695,-0.6912,1.1035,0.3878,1.654,-0.2933,-0.3859,1.3133,-0.4108,0
-1.2982,0.3708,-0.777,-0.5386,-1.8624,0.0889,-1.0586,-0.4077,-0.4991,-0.844,1
-1.278,-1.5157,-1.7461,-1.145,-0.3073,0.6816,-0.6563,-1.8961,-1.0825,-2.7216,1
-0.9206,-1.1628,0.6789,-0.724,0.9563,-1.3113,-1.1309,-0.0109,0.09,-0.3212,1
0.4388,-0.7815,-0.4838,-2.3961,-1.1914,1.1323,-1.5481,0.7543,-1.0238,-0.3888,1
1.2744,-1.9952,-1.669,0.9415,0.0695,1.186,-0.8652,0.5642,0.219,1.973,0
-0.0256,-0.659,0.3404,-1.6009,-0.234,-1.1836,-0.7029,-2.077,0.2443,-0.8433,1
0.5575,-0.0369,1.9429,1.0544,0.3137,-0.7766,0.9364,0.4393,0.6868,-0.3403,0
0.4431,1.7487,-1.0466,0.5646,0.2192,0.7506,0.1017,0.9604,-1.2436,0.7287,0
-0.7174,0.8049,-0.5801,-0.9104,1.443,-0.0327,-0.5863,-1.0146,-0.4327,-1.1693,1
-1.607,1.539,-2.3493,-0.5387,0.4118,-1.9665,-0.7386,-1.5289,-1.4813,-1.7534,1
0.3138,-0.1837,-0.3232,-0.2449,1.1324,1.8018,0.1183,1.1735,0.0902,0.395,0
1.3773,-0.7835,0.3238,0.519,1.3653,1.6353,0.8099,-0.5454,0.4871,-1.1327,0
-0.4961,1.1517,2.2202,-0.3818,-0.2199,-0.0477,-1.4646,-0.6012,-1.0977,-0.7459,1
-0.3339,0.3464,1.8163,-0.7218,0.0555,-1.12,0.4644,0.8078,0.4334,-1.4887,1
0.4982,0.018,1.2819,-0.5342,-1.5514,0.9767,0.6571,-0.0211,0.6537,0.7309,0
-0.7043,-0.8272,2.1089,1.063,-1.4858,3.1051,2.3181,1.0729,0.4847,0.6247,0
0.5658,0.1318,-0.7386,0.1711,2.2489,-0.1695,-0.4659,1.2852,0.475,1.0903,0
-0.4977,1.6808,0.6386,1.1903,-0.6712,2.1244,1.3908,1.9987,2.4214,-0.3929,0
-0.0512,-1.1584,-1.4762,-0.1395,0.9077,-2.8768,-0.1251,-0.142,-0.5995,0.0319,1
0.3869,0.2912,0.6962,0.7064,-0.2838,0.5401,0.4135,0.4954,-1.1498,0.0032,1
-1.6898,-0.668,0.4157,-0.709,-0.0942,-1.8216,0.8899,-0.6065,0.9139,-0.1666,1
-1.4123,-0.5464,-0.3719,-1.0634,-0.3304,-1.52,-1.3608,-0.2973,-0.6126,-0.9098,1
-0.1647,-0.308,1.3382,-1.3959,-0.779,-1.3495,-0.6132,0.1954,-0.7904,-0.4407,1
-1.9712,0.3716,1.3031,1.7614,0.6969,0.6265,0.2541,0.1511,0.1622,-0.0004,0
