@relation 'twonorm-weka.filters.unsupervised.attribute.Remove-V-R2-4,10-11,13,17-19,21'

@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A10 numeric
@attribute A11 numeric
@attribute A13 numeric
@attribute A17 numeric
@attribute A18 numeric
@attribute A19 numeric
@attribute Class {0,1}

@data
-1.4473,0.4404,1.0775,1.1263,0.5076,-0.1665,-1.7109,-1.2593,-1.508,1
0.502,-0.2387,-0.2735,1.1018,-2.3184,-0.9876,-1.015,-1.2867,-0.192,1
-0.1248,0.1826,0.3626,2.4296,-1.1987,-1.0615,0.253,0.1893,0.8597,0
0.0417,1.6588,-0.531,-0.5752,2.3094,-0.3514,1.0751,-0.0934,1.0898,0
0.8137,0.9494,0.8314,1.3108,0.4829,2.5981,-1.6729,0.7613,0.9569,0
-0.0034,0.231,-1.3357,-0.4637,-0.1233,-0.5719,0.004,-0.1008,-2.0542,1
-0.5668,1.3508,1.159,0.0529,-1.0591,0.2933,0.7367,-2.0777,-0.4424,1
0.9103,0.1573,2.0636,-2.0758,1.1121,1.5476,0.0965,0.3261,-0.1671,0
0.3748,-0.1478,0.3271,0.6817,-0.6525,1.5477,1.4156,1.017,1.4432,0
-0.9154,1.5569,0.2243,0.0298,0.4328,0.8313,0.6262,0.1847,0.8019,0
0.1481,1.0344,1.1742,-0.3369,-0.407,0.2776,1.9589,1.1795,0.1345,0
1.2973,0.0677,0.5178,0.8729,-1.2779,2.4408,-0.7069,-0.1143,1.3112,0
1.6985,0.1479,0.0945,1.5494,0.2697,0.1118,1.2678,1.3558,-0.8568,0
0.3955,-0.8635,2.5793,-1.9398,-0.5852,-1.6507,0.3044,-1.1176,-1.7232,0
0.1523,-0.1635,-0.947,0.3129,0.4865,-1.4668,0.1737,-1.1898,-1.0152,1
2.0721,2.2469,1.6485,0.6712,0.1314,-0.9811,-0.217,0.3295,0.6464,0
1.0458,0.3554,0.4624,0.8069,-1.2094,1.2813,-0.7039,-0.537,-1.2265,1
-2.8572,-1.544,0.1489,0.3396,-2.067,-0.0231,-0.5954,-1.22,-1.9281,1
1.2112,0.0661,2.2473,-1.0955,1.1864,1.1025,0.7231,-0.6497,-0.8962,0
-0.5796,-2.375,-1.7084,-1.3386,-0.1382,1.1592,-1.3031,0.2995,-0.3515,1
0.1956,0.7871,-0.7845,-0.1906,-0.3128,-0.496,1.0097,1.3302,-0.6467,0
1.7252,-0.4419,0.4549,0.9934,0.9477,-0.1818,0.6638,0.5542,-0.1303,0
-0.264,-0.2595,1.9253,0.1017,-0.2682,-0.4635,0.4568,1.4992,0.9347,0
-1.2254,-1.7407,-0.137,-1.8503,1.583,-1.235,-2.4868,0.015,-1.6148,1
0.2245,0.1003,1.5374,-0.2866,0.9656,0.9575,-0.3795,2.0225,0.7305,0
0.9571,0.3058,0.0249,0.4504,-0.7889,-1.2991,2.101,-1.5142,-1.2944,0
0.8082,-0.9731,-1.5416,-0.7206,-1.6567,0.1587,-0.611,-0.9211,1.1585,1
1.1024,0.2749,-0.1254,-1.049,2.5537,0.7428,0.8259,0.7571,0.4957,0
1.3906,0.3197,0.3159,0.4138,-0.0539,1.1441,1.4296,0.213,0.8026,0
1.5216,2.5936,1.6962,-0.4957,1.116,1.2634,-0.2825,1.1889,0.716,0
-1.1386,1.7732,1.4861,-0.6433,-0.5304,-0.1637,-0.5813,0.248,0.5008,0
0.4716,1.1377,0.1345,-0.895,0.1872,0.9326,0.6427,1.0755,0.7042,0
-0.3566,1.6685,2.5276,-1.6345,2.0961,2.4652,2.5643,2.5943,-1.2635,0
-0.6438,1.1546,1.3033,0.7809,0.8695,1.2404,-0.0054,-0.1104,0.1053,0
0.8991,-0.1458,1.7074,0.4866,0.8263,1.4673,0.6027,1.4015,0.2057,0
0.853,0.4905,1.8564,0.0709,0.388,0.2245,0.3456,1.965,1.4087,0
-0.1744,-0.7996,0.6192,0.99,0.7121,0.4981,-0.476,0.5774,-0.1711,0
-0.2339,-0.0856,-1.0903,0.1854,-1.1098,-0.6165,-0.1443,1.2722,0.2207,1
1.2062,-0.4814,-0.0532,0.4474,1.1406,0.6113,0.5366,0.4397,-0.669,0
-0.3217,-0.0745,-0.4349,-0.9138,1.0284,-0.4074,-0.1774,-1.4964,-2.0385,1
0.7243,0.9625,-0.6462,1.2263,-0.7685,0.6411,1.9443,-0.7361,0.3391,0
0.8243,-1.0318,1.1213,-1.1095,1.0127,1.5065,-0.535,1.6001,-0.2123,0
0.6652,2.1162,-0.5397,0.56,1.9007,1.1457,0.1371,-0.0779,-0.1988,0
-1.8649,-0.229,0.0568,-0.0715,-0.7047,-0.9704,0.446,0.5454,-0.7938,1
-0.2154,0.0156,-0.3431,-0.1199,1.2288,0.4945,-0.1169,-0.7924,1.1573,0
1.9846,-0.8046,-1.2984,0.188,1.4168,-0.6537,-0.7168,-2.3881,-0.5362,1
0.5886,-0.3719,1.4458,1.1759,-0.6539,1.1945,-0.0566,-1.6077,-0.374,0
0.6871,-1.1464,0.0635,-0.1397,0.0013,-0.0365,1.3447,0.6204,-0.5756,1
-2.0525,-2.509,-0.9702,-1.1293,-0.2011,-0.9414,-2.7266,0.5672,0.6662,1
0.2953,-1.7484,-0.4209,-0.3912,-1.7767,-2.6308,-0.0537,-1.0539,-0.2998,1
0.6637,-1.5565,-1.6528,0.2667,-0.7966,1.4096,1.0759,0.9208,-1.7306,1
0.6778,-0.7126,0.7075,0.301,-1.1731,-0.2659,0.7976,0.1184,0.1329,0
1.1271,-0.0085,-1.3271,-1.6594,-1.1757,-0.0431,-0.746,0.9777,0.3022,1
-0.2777,0.4922,0.1299,0.2792,-0.1282,1.6862,1.2515,-0.6772,0.8034,0
-1.3956,0.8791,-0.0543,-1.147,-1.1628,0.561,-1.5158,-0.8801,-2.4008,1
0.7846,-0.6554,0.6771,0.7085,0.1276,0.0876,0.9464,-0.1364,-0.374,0
0.2684,-0.8677,0.0748,-1.5726,-0.8135,-0.2311,-0.8222,-0.9831,-1.4309,1
0.3408,-1.5003,-0.9891,-0.3675,-0.6091,-0.9711,-1.7068,-1.304,-0.0278,1
0.6603,2.1435,1.1942,-0.6893,0.0814,0.6419,1.3289,1.0765,1.6806,0
-2.3726,-0.3504,-0.9901,2.1454,1.2124,1.0903,0.5129,-1.8235,-1.7782,1
2.1468,1.7774,-0.1703,0.8686,1.9658,-0.1915,-0.3445,0.9272,-0.7808,0
1.9039,1.9778,-0.3069,1.6227,0.5945,1.4401,0.1832,-0.9907,-0.7709,0
-0.1295,1.6584,0.0612,-1.3739,-1.4426,0.1597,-0.2744,1.9808,-0.2017,1
-0.5984,0.8756,-0.3083,-0.6674,-2.6119,-0.6419,-1.3649,-2.7343,0.4633,1
-1.5979,-0.9722,-0.3021,-1.1675,0.1868,-0.4674,-1.8569,-0.0549,-0.086,1
1.4783,0.5282,-0.7959,1.0902,0.9291,0.6562,1.7952,-0.0725,1.7925,0
-0.3028,-1.3744,0.0966,-1.0756,-0.7645,1.0489,-1.0216,-0.8245,-0.3119,1
0.5016,0.4937,1.8225,-1.3688,1.5894,0.6136,1.4994,1.0546,-0.2006,0
-0.6891,1.1107,-1.2821,-1.5294,0.3183,-0.8401,-1.6728,0.0633,1.2765,1
-1.8845,-0.0671,0.6708,0.6877,1.7849,-0.2028,0.0348,0.8726,-1.2701,0
-1.1337,2.1363,0.0042,-0.4681,1.1397,-0.0057,0.1689,2.1785,-0.6037,0
0.1219,1.4547,-0.1176,-0.3631,0.469,0.1801,0.2295,-0.0239,-1.1159,0
-0.2569,2.1269,0.3821,-1.5352,0.486,-0.371,-1.2279,-1.4284,-0.2315,1
0.0672,1.3708,-1.0403,0.2204,-0.9538,-0.6483,2.2003,2.8824,0.598,0
-1.6389,0.2416,0.7723,0.2965,-0.1531,0.4319,-1.2862,-0.7556,-1.4794,0
0.6443,0.6912,0.9324,-1.4347,-0.1923,0.6511,-1.0123,1.9637,-0.1759,0
0.0479,-2.5729,-1.5237,-1.8125,-0.6334,-1.094,-0.4085,-1.3431,-3.1454,1
-1.1187,0.2231,-0.1819,-1.6448,0.0734,0.1869,1.0787,-0.4936,-0.1165,1
1.2689,-0.8333,-1.1412,-0.1353,0.87,-0.2424,0.5071,0.5607,-1.0872,1
0.91,0.7426,-0.5563,-0.3779,-1.4778,-0.1563,-0.4841,0.2991,-1.1583,1
-1.8993,-0.4157,0.0864,-1.5408,0.4696,-0.4365,1.1482,0.5053,-1.2836,1
-0.2075,0.671,-0.2992,0.1717,-0.1748,-1.7136,-0.8088,-0.5117,-0.7705,1
0.9299,1.6797,-0.4844,0.1896,-0.1636,0.619,-0.1935,0.7238,0.6194,0
0.8785,0.6945,0.3176,1.4821,0.232,1.2298,0.5132,-0.8107,1.1618,0
-0.7318,-0.0168,-0.8029,-1.7102,-0.5464,2.0716,0.2784,-0.2224,-0.3747,0
-1.117,-1.0556,-0.9584,-1.2753,1.1278,0.2584,-1.0656,-1.5668,0.8056,1
1.1184,-1.5256,1.0514,0.4941,1.4736,0.8002,0.504,-0.8794,-0.2399,0
0.2431,-0.9108,0.5423,0.0753,-0.8198,1.0624,-1.2633,0.8703,0.2042,0
-0.0231,0.2644,1.0518,0.6821,-1.2769,-0.3824,-1.3878,-0.6996,-1.6911,1
-1.0637,-1.0605,0.3862,-2.2917,0.4976,-0.1454,0.1804,-0.712,-0.2466,0
1.02,-0.3037,1.1185,0.2595,-0.7433,-0.6004,-1.0652,-0.1512,-0.5332,1
1.518,-0.3154,-0.4869,0.6114,-1.3997,-0.1606,0.8205,2.1328,1.2866,0
-1.6289,-0.1859,2.6047,2.3885,-0.9939,0.7402,0.8566,0.3495,-1.2755,0
1.2356,1.4131,1.0473,-0.2007,0.0763,-1.2817,-0.5654,0.4835,0.6771,0
-0.4737,-0.6913,-1.2543,0.0826,-1.1025,-2.429,-0.4659,0.4475,0.0932,1
1.4611,0.9063,0.131,-1.179,0.5603,1.7018,-0.9211,-0.7323,0.9133,0
-1.3617,0.0087,1.126,-1.8089,-0.1374,-0.5354,-0.43,0.3422,0.0782,1
-0.6035,-0.7412,-0.2102,-0.9811,-2.0611,-2.3496,0.7968,-0.0852,-1.3981,1
-0.9241,-0.465,-0.9267,-0.0365,-1.1573,-2.1188,-0.2528,-0.0321,0.6545,1
1.5729,-0.7855,-0.1997,0.831,1.9874,-0.4358,-0.2003,1.6781,0.2085,0
0.3891,-2.607,-0.4929,-1.4499,0.3382,-0.1365,1.0799,-0.7809,-0.7039,1
0.9644,-2.1024,-0.858,-2.3255,1.2844,-1.4771,-0.1133,1.6452,-0.4003,1
1.028,0.4089,-0.0103,-0.771,-0.3102,-1.5261,-0.5744,0.0352,-1.0196,1
-0.7417,0.9435,1.3621,-0.0184,0.2969,0.6778,-0.7565,-0.8266,-0.3856,1
0.392,0.2766,-0.2893,0.6067,0.7203,0.7622,0.689,-1.1652,0.2442,0
-0.3379,-0.6494,-0.011,-0.4854,0.4306,-1.1239,-0.3092,0.9831,-0.12,1
-1.7214,0.5647,-0.6573,1.612,-0.2758,0.872,0.5405,0.1938,0.6116,0
-2.8962,-0.3236,-1.2396,-0.0507,-1.586,-0.9018,-1.2796,-0.4392,-2.6953,1
1.6513,2.6905,-0.4601,0.8535,0.6688,1.3931,-1.2757,-0.114,0.3096,0
1.2428,-0.4481,-0.983,-0.1178,0.5517,0.0685,0.0656,1.9184,-0.6325,0
-0.0275,1.1376,-0.2066,1.5316,0.2406,-1.3414,1.7333,0.5734,-1.1197,1
2.1146,0.1673,0.8588,0.866,-1.6711,-0.9174,0.7932,-1.027,0.2499,0
-0.6369,2.6079,-0.1764,0.3704,0.0044,0.5768,2.1734,0.4007,0.7767,0
0.6227,2.1607,0.5185,1.1675,-0.0522,1.5425,1.8618,0.9793,-0.2787,0
-1.7323,0.2332,0.766,-0.1222,1.2149,0.3627,-1.4692,-0.6164,-2.5627,1
-1.0784,0.2345,-0.3533,0.592,2.3457,0.8919,0.2277,0.6521,0.7276,0
-0.5708,-0.437,0.5485,0.3066,0.8455,1.3664,-0.2255,-0.1854,0.0017,0
1.5002,-0.7484,0.9831,0.8744,-1.3718,1.2755,0.1346,1.2217,-0.1891,0
-1.0479,-0.6577,0.3036,-0.9549,-1.0479,-0.2203,-0.0116,0.0088,-0.5744,1
-0.5306,-0.7302,-1.2481,-0.0492,-0.7676,2.03,0.3583,-0.9452,0.3711,1
-0.6787,-1.4872,0.8461,-1.5855,-0.2485,-1.1485,1.0941,-0.3948,-2.4972,1
-1.9952,-1.2744,0.1182,-0.2356,-1.5811,-2.4888,0.1799,-1.4427,0.4573,1
2.0806,0.1269,-0.5684,0.1153,0.6929,-1.0543,2.5197,0.604,0.7089,0
0.8885,1.9906,0.5945,1.8519,0.8081,-0.6766,0.0481,0.0696,-1.4589,0
1.3274,1.3374,0.7513,-0.5105,-0.2784,0.2745,0.4662,-1.3032,1.331,0
0.541,-2.2148,0.0174,-0.1357,1.9293,-0.7973,-1.0631,-0.7068,1.4067,0
-0.4008,-1.2115,1.5534,0.1426,-0.9541,-2.3018,-0.6088,-1.2134,-1.3728,1
-3.2978,-0.4924,-0.598,-0.6638,-1.0488,0.1624,-1.6982,0.771,-1.3378,1
-0.8312,0.8665,-0.2853,0.2365,-1.6859,1.08,-1.5422,-1.9083,-0.13,1
-1.6003,-0.5842,-1.0914,-0.5694,-0.3991,1.032,-0.5921,-0.928,-0.515,1
-0.6836,0.23,-1.0777,0.1266,0.1751,-2.0247,1.1894,-0.2326,-1.0726,1
1.2592,-0.7347,-0.2412,-1.2741,0.4561,-2.629,0.2534,-0.7353,0.6259,1
2.6282,-0.9278,-0.7955,-0.1248,-0.5106,0.5625,-0.8102,1.6334,0.085,1
0.214,0.4845,0.3952,-0.0343,0.3745,0.1268,1.3093,0.0763,0.4905,0
-1.0449,-0.4543,0.2716,-0.8384,0.2662,0.9789,-0.562,-1.7427,-0.2125,1
-0.8756,1.1391,-0.1256,0.5251,-0.3414,-0.1784,0.6468,0.7658,0.4774,0
0.115,0.4191,-0.1578,-1.5272,1.1858,-1.0076,-1.6006,-0.8754,-0.4952,1
1.7723,-0.0686,-1.4928,-0.9342,-1.5973,1.1678,-2.288,1.0543,0.0847,1
0.4539,-0.2912,-1.3205,0.3199,-0.412,-1.9426,-0.0904,0.5742,-0.2504,1
1.9753,0.9758,0.0848,1.3188,0.5172,-0.6753,0.7671,-0.5872,0.4334,0
2.0747,-0.1101,0.4363,0.8188,0.1367,1.258,1.7505,0.8602,1.0604,0
0.1767,1.298,-0.7885,1.8588,2.3573,-0.5428,-0.0616,0.8847,0.0591,0
0.3782,-0.1321,1.6869,0.5637,-0.9855,1.0003,0.1196,0.9212,1.2944,0
0.88,-0.0689,0.5525,1.655,1.6432,-1.3263,-0.5283,-0.8839,1.3364,0
1.1479,1.8749,1.6061,1.6753,0.4755,-0.0915,0.3606,0.5379,1.0799,0
0.1535,0.9769,-0.4366,-0.9181,0.3384,1.1899,1.7671,1.1684,0.6462,1
0.2342,0.7468,2.6992,1.6117,0.5174,0.2945,0.152,0.452,-2.2704,0
-0.3588,0.9407,1.6973,-0.6033,0.6633,0.373,-0.3868,1.2985,0.0863,0
-0.5752,-0.1609,0.8599,1.3233,1.6974,0.5532,0.7414,1.2513,1.2592,0
-0.1437,1.1007,1.3756,-0.7597,-0.2357,1.2515,0.5313,-0.1951,0.3127,1
1.3259,0.5859,1.5749,0.0962,0.6011,-0.858,0.5953,0.1564,0.9841,0
0.7481,-0.4938,0.7241,-0.9793,3.575,0.2682,0.321,-1.1824,1.2985,0
-2.0634,0.2642,0.7012,-2.4814,-0.9703,-0.168,0.0699,-0.8428,0.1722,1
