@relation 'twonorm-weka.filters.unsupervised.attribute.Remove-V-R1-2,4,7,11,16-17,21'

@attribute A1 numeric
@attribute A2 numeric
@attribute A4 numeric
@attribute A7 numeric
@attribute A11 numeric
@attribute A16 numeric
@attribute A17 numeric
@attribute Class {0,1}

@data
0.9359,0.5244,-0.4045,-1.2864,0.8902,1.3877,0.5334,0
0.6924,-0.0928,0.9589,-0.1161,0.1273,1.4696,1.0888,0
0.5425,0.8128,-1.9035,0.1231,2.0133,-0.6486,1.6125,0
1.2119,1.7405,1.028,-0.2373,1.4191,1.6909,0.6,0
-0.6871,-1.8864,-1.4878,-1.6246,0.4318,0.0278,-0.6564,1
-0.6212,1.2713,0.1133,0.5551,0.4033,1.1188,-0.4243,0
1.2546,1.7375,0.7722,-0.1813,2.2292,0.1377,0.5015,0
1.0337,-1.1098,2.2808,0.3824,-0.742,-0.6731,1.0439,1
2.0004,0.2112,-0.4539,0.2722,1.1602,-1.21,-1.2413,0
0.4914,-0.7645,1.8827,1.6659,1.7305,0.7623,-0.2422,0
0.1836,-1.6489,1.1347,0.7196,-0.087,0.9919,2.2057,0
-1.1592,-0.2791,-0.1153,-1.4046,0.0048,-0.5603,0.7515,1
-0.0069,1.6558,-0.4443,0.4232,0.4307,1.0942,0.8188,0
0.9034,0.2431,-0.0813,-0.0694,-0.3837,-1.9596,1.4031,0
1.5687,-0.3466,1.4462,-0.0006,-0.3113,0.0738,-1.0779,0
-0.0194,-1.1389,-0.0999,0.6066,0.4531,0.1369,1.0022,0
3.0936,-0.341,2.3978,-0.2006,-0.5346,-1.2178,1.1067,0
0.6533,1.6961,0.9913,0.468,-0.3609,1.6202,0.6405,0
1.399,0.4178,0.4712,1.5333,0.3248,1.5,1.3428,0
-0.3487,-0.1651,0.2314,-2.0519,-0.8024,-0.4628,-0.9838,1
1.0514,2.2912,1.646,-0.0618,0.1225,0.5023,0.9585,0
