@relation 'australian-weka.filters.unsupervised.attribute.Remove-V-R8,14-15'

@attribute A8 {0,1}
@attribute A14 numeric
@attribute Class {0,1}

@data
1,1,1
1,51,0
1,1001,1
1,1,1
1,1,1
1,5299,1
0,7,0
0,147,0
1,714,1
0,34,0
1,2001,1
1,1656,1
1,1,1
1,2,1
1,1,1
1,1,0
0,99,0
1,110,1
1,1,0
0,41,0
1,6,0
0,61,0
1,1,1
0,69,0
1,13213,1
0,1,0
0,1,0
1,135,1
0,1,0
1,1,0
1,1,1
1,1,1
0,2,0
0,2,0
0,1,0
0,1,0
0,8,0
1,1,1
0,5201,0
1,893,1
1,1001,1
0,3,0
1,731,1
0,352,0
1,1333,1
0,1,0
0,14,0
0,1,0
1,1,0
1,235,1
0,4,0
1,15109,1
0,1,0
1,1,1
0,1,0
0,252,0
1,3001,1
0,1,0
0,1001,0
1,7,1
1,1,1
0,1059,0
0,2,0
1,6,0
0,1063,0
1,1,1
1,1,1
1,1,1
0,18,0
