@relation 'australian-weka.filters.unsupervised.attribute.Remove-V-R5,8,13,15'

@attribute A5 numeric
@attribute A8 {0,1}
@attribute A13 numeric
@attribute Class {0,1}

@data
2,0,168,0
7,1,200,1
11,0,340,0
8,0,280,0
1,0,280,0
11,0,120,0
2,1,184,0
6,1,120,0
1,0,62,0
9,1,160,1
8,0,184,0
2,0,431,1
11,1,100,1
1,0,200,0
8,1,184,1
1,0,200,0
4,1,320,1
3,0,73,0
6,1,0,1
8,1,240,1
14,1,290,1
8,0,160,0
13,1,399,1
2,0,0,0
6,1,100,1
7,1,396,1
7,1,108,1
3,0,140,0
9,1,383,1
14,0,280,0
9,1,260,1
13,1,440,1
4,0,224,0
6,1,240,0
10,0,320,0
3,1,56,1
9,1,208,0
6,1,0,0
8,0,184,0
1,0,200,0
7,1,288,0
8,1,349,1
8,1,300,1
8,1,200,1
9,0,200,0
12,0,132,0
9,0,300,0
6,0,240,0
8,0,0,0
4,0,240,0
11,1,200,0
3,0,300,0
4,1,24,1
7,1,360,1
4,1,0,1
8,1,40,1
8,1,220,1
11,1,120,1
9,1,70,1
11,1,440,0
1,1,180,0
8,0,110,0
6,1,230,1
13,0,100,0
4,0,280,0
6,1,160,1
3,0,411,0
4,1,380,1
8,0,0,0
