@relation 'australian-weka.filters.unsupervised.attribute.Remove-V-R8,10,13,15'

@attribute A8 {0,1}
@attribute A10 numeric
@attribute A13 numeric
@attribute Class {0,1}

@data
0,0,280,0
0,0,176,0
0,1,352,0
1,6,0,1
0,0,120,0
0,0,140,0
0,0,340,0
0,0,216,0
0,0,100,0
0,10,0,0
1,1,0,1
1,0,487,1
0,0,160,0
1,7,0,1
0,0,184,0
0,3,350,0
1,14,0,1
1,6,375,1
0,0,0,0
1,0,680,0
0,0,100,0
1,5,168,1
0,4,160,0
1,0,360,0
1,19,0,1
1,2,520,1
1,7,150,1
1,0,29,1
1,0,225,1
1,0,370,1
0,0,100,0
1,0,300,1
0,1,240,1
1,6,160,1
1,0,420,0
0,2,160,0
1,2,73,1
1,6,520,1
1,0,160,1
0,0,220,0
1,0,200,0
1,1,200,1
1,5,99,1
0,0,160,0
0,0,60,0
0,0,120,0
1,0,400,0
1,1,100,1
1,0,400,1
0,2,174,0
1,11,0,1
0,2,160,0
1,6,400,1
0,0,120,0
0,0,300,1
0,0,450,1
1,12,410,1
1,3,329,0
1,1,120,1
0,1,80,0
0,0,180,0
0,0,80,0
0,0,80,0
0,0,140,0
1,11,0,1
0,0,144,0
1,0,80,0
1,0,491,1
1,0,80,0
