@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R5-7,9,11,19-20,22-24,26,30,32,37'

@attribute Sp15 numeric
@attribute Sp16 numeric
@attribute Sp17 numeric
@attribute Sp19 numeric
@attribute Sp22 numeric
@attribute Sp31 numeric
@attribute Sp32 numeric
@attribute Sp34 numeric
@attribute Sp35 numeric
@attribute Sp36 numeric
@attribute Sp38 numeric
@attribute Sp43 numeric
@attribute Sp45 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
80,94,98,80,102,104,81,99,108,85,99,103,79,3
76,102,106,80,106,118,88,107,113,85,107,103,83,3
76,94,90,76,94,100,74,87,100,74,87,87,67,4
84,98,106,88,102,108,81,103,108,88,111,107,87,3
88,106,102,88,102,108,88,99,104,85,107,107,87,3
84,103,104,84,104,113,87,99,104,79,113,128,103,3
76,99,104,76,108,104,79,107,109,87,100,100,81,3
76,103,118,80,118,109,87,107,113,87,100,100,81,3
80,91,100,80,104,100,79,91,96,75,91,91,74,4
76,95,100,76,100,93,71,87,93,67,87,87,70,4
68,83,87,68,87,81,67,75,81,62,79,71,70,4
76,95,104,84,104,96,83,99,104,83,40,34,125,4
88,103,113,88,108,109,83,99,109,83,104,104,85,3
88,99,104,88,113,109,87,103,113,87,100,104,89,3
88,107,113,88,108,113,83,103,104,83,100,100,81,3
102,126,134,88,128,117,92,113,122,96,103,108,86,3
75,91,96,75,93,88,66,87,92,66,88,84,68,4
71,75,81,67,85,96,81,49,104,100,45,37,127,2
84,103,113,88,113,112,85,109,112,85,108,108,90,3
88,111,113,93,109,112,85,109,117,89,108,108,90,3
93,107,113,93,109,112,89,104,112,85,103,103,86,3
88,111,113,88,113,108,85,109,112,92,99,103,86,3
79,99,100,88,100,108,89,104,104,85,108,103,86,3
88,95,100,88,100,100,85,100,104,78,103,103,83,3
84,99,104,79,100,104,78,96,100,81,99,99,79,3
59,61,77,55,85,76,66,60,73,63,77,73,60,5
82,100,108,82,108,114,86,103,105,83,130,120,97,3
66,79,84,66,88,86,72,73,97,83,63,49,108,2
66,71,88,59,96,119,116,37,119,127,37,34,136,2
90,109,112,90,112,110,90,103,114,86,102,106,90,3
86,104,108,90,112,105,86,108,110,90,111,111,87,3
82,100,100,82,104,110,83,99,101,79,102,106,87,3
70,79,88,70,76,82,64,81,82,68,88,79,65,7
92,122,135,96,130,135,104,130,129,101,125,125,109,3
92,108,114,83,105,129,97,106,110,87,125,125,102,3
67,81,86,63,86,97,90,49,110,108,40,34,135,2
87,103,105,87,114,114,90,115,114,90,111,106,87,3
92,108,110,87,110,110,87,106,114,90,111,111,91,3
93,125,135,93,129,136,109,125,136,105,121,121,99,3
78,102,110,82,105,102,79,98,102,79,99,95,78,3
78,92,97,78,93,90,68,89,90,72,91,91,70,4
85,102,110,85,114,115,91,111,120,94,107,112,92,3
89,106,114,82,105,102,83,98,98,79,103,99,81,3
