@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R1,6,14-15,17-19,21-23,26,32,36-37'

@attribute Sp11 numeric
@attribute Sp16 numeric
@attribute Sp25 numeric
@attribute Sp26 numeric
@attribute Sp28 numeric
@attribute Sp29 numeric
@attribute Sp31 numeric
@attribute Sp33 numeric
@attribute Sp34 numeric
@attribute Sp35 numeric
@attribute Sp38 numeric
@attribute Sp45 numeric
@attribute Sp49 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
92,102,126,133,92,112,118,84,103,104,126,100,87,3
80,94,99,104,84,99,104,76,99,104,99,79,79,3
84,89,103,108,84,99,108,88,99,104,99,87,87,3
92,111,112,118,88,112,122,92,112,128,111,92,92,3
84,111,112,118,92,107,113,92,107,118,107,87,87,3
64,94,79,100,80,95,100,80,91,100,99,83,75,7
76,87,87,93,75,87,96,75,91,96,87,70,66,4
76,103,83,96,79,99,104,84,99,113,34,114,85,3
88,107,103,109,88,107,113,88,107,104,100,85,85,3
53,54,54,85,55,51,74,55,48,70,60,66,70,5
53,54,51,74,55,48,70,51,48,70,56,70,70,5
84,99,123,127,82,100,108,82,100,108,127,86,83,3
93,111,109,112,90,104,117,90,109,112,108,86,90,3
88,107,109,108,86,109,112,90,109,112,108,86,90,3
90,109,108,119,92,103,110,87,108,114,120,97,97,3
90,113,108,114,87,103,114,92,122,135,120,101,104,3
86,104,108,110,92,103,105,87,103,105,106,90,90,3
86,100,95,101,79,95,105,83,99,105,102,80,83,3
82,96,95,101,79,99,97,79,99,105,102,83,83,3
66,60,73,75,63,66,68,63,63,72,79,65,62,7
59,56,66,68,63,63,72,63,66,72,79,62,62,5
79,95,102,105,78,97,101,82,92,93,98,76,72,3
75,88,88,93,82,92,93,78,88,93,89,68,72,4
79,84,92,93,78,88,93,78,84,93,85,72,72,4
75,88,84,93,74,84,89,74,88,93,81,83,109,4
87,108,115,114,93,115,114,93,111,119,106,87,83,3
87,99,111,114,89,106,114,89,106,105,111,91,91,3
87,103,106,114,82,102,105,78,102,105,102,79,83,3
47,37,34,125,44,34,131,44,34,120,31,139,139,2
42,34,34,131,44,34,120,44,31,120,31,139,139,2
74,102,73,106,84,102,106,88,111,111,51,81,88,3
85,97,102,115,84,111,106,84,106,111,103,88,85,3
93,115,106,111,92,111,111,88,106,106,107,88,85,3
93,111,111,111,92,106,111,88,106,111,107,88,85,3
85,106,106,115,88,111,115,88,106,111,107,85,85,3
70,84,85,86,68,85,86,72,85,86,83,74,70,7
74,79,85,86,72,81,82,72,81,86,87,67,67,7
70,75,81,86,72,77,78,64,73,74,79,67,63,7
92,120,126,139,88,121,133,92,121,128,126,104,96,3
80,89,91,96,76,91,96,71,79,96,72,100,116,4
80,89,91,96,71,79,96,68,68,100,58,116,129,2
88,102,103,108,88,103,108,88,107,108,91,87,87,3
92,111,107,113,92,107,113,88,103,113,107,83,87,3
88,111,107,113,88,107,113,88,107,113,111,92,87,3
92,111,107,113,88,107,118,88,107,113,107,87,87,3
92,106,107,113,88,107,108,88,107,104,111,87,92,3
92,106,103,113,88,107,113,88,103,108,103,83,87,3
92,102,107,113,88,103,108,88,107,113,103,87,92,3
80,98,95,91,76,87,96,68,79,83,79,67,71,7
72,77,79,83,71,79,79,71,83,79,83,71,67,7
92,126,126,134,88,126,134,88,121,128,123,107,103,3
84,99,107,113,84,103,104,84,99,100,109,89,85,3
92,107,111,109,93,107,113,93,107,109,109,85,89,3
88,107,107,113,93,111,109,93,111,109,109,89,92,3
68,75,79,85,71,79,85,75,79,81,79,70,66,7
71,79,83,89,75,79,89,71,79,85,83,70,70,7
88,121,128,133,90,123,127,90,118,122,127,105,94,3
88,107,104,108,86,104,108,86,104,104,99,86,86,3
88,103,109,108,82,96,100,70,79,84,84,60,60,7
88,103,96,100,70,79,84,70,75,76,73,60,60,7
79,79,79,80,66,75,80,66,71,80,73,60,64,7
86,104,103,110,87,103,110,87,103,105,106,90,90,3
86,109,103,105,87,103,114,87,108,119,106,87,87,3
86,104,108,110,87,112,114,83,103,105,106,90,87,3
82,79,73,79,63,66,72,67,70,72,71,55,58,7
70,75,73,75,71,73,75,71,73,79,75,76,69,7
70,75,77,79,71,77,75,71,77,82,84,69,65,7
70,87,77,82,71,88,93,75,84,90,79,65,65,7
46,34,34,114,47,37,114,47,34,119,34,120,124,2
46,37,34,114,47,34,114,47,37,114,34,124,124,2
92,103,92,97,78,88,89,70,84,82,69,57,57,5
89,111,111,115,88,106,111,88,106,111,103,92,88,3
85,111,106,111,92,106,111,92,111,115,107,88,92,3
97,115,120,120,92,106,111,80,98,102,103,67,59,3
63,71,66,67,64,69,74,68,81,86,68,56,63,7
88,106,107,113,92,112,118,92,112,113,107,87,96,3
92,120,107,122,88,103,108,80,87,91,87,67,58,7
64,62,54,67,56,54,67,53,57,67,54,46,50,5
46,31,32,128,44,32,123,44,34,128,37,140,133,2
46,34,32,128,48,29,123,44,32,113,29,118,118,2
46,36,29,123,44,32,113,48,34,118,32,118,114,2
68,79,75,74,71,79,85,71,87,96,71,59,63,7
68,79,91,96,75,83,89,71,79,85,79,66,63,7
44,32,32,138,46,32,138,46,32,133,32,142,142,2
44,32,32,133,46,32,133,46,32,127,32,139,135,2
