@relation satimage

@attribute Sp14 numeric
@attribute Sp16 numeric
@attribute Sp19 numeric
@attribute Sp21 numeric
@attribute Sp23 numeric
@attribute Sp25 numeric
@attribute Sp27 numeric
@attribute Sp28 numeric
@attribute Sp31 numeric
@attribute Sp37 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
89,96,66,100,89,95,90,63,110,63,1
94,106,67,97,90,106,94,76,115,76,1
94,112,79,103,90,111,94,70,114,64,1
96,103,63,107,92,109,100,66,117,71,1
94,103,67,103,90,106,87,63,114,68,1
94,108,67,108,94,92,76,63,114,64,1
85,83,56,83,85,95,87,63,100,63,1
92,95,63,87,83,96,89,63,122,63,1
89,96,59,96,89,103,90,59,114,67,1
101,111,63,111,101,111,98,64,125,60,1
92,109,66,109,96,103,94,67,114,67,1
97,115,70,111,90,115,102,72,125,80,1
91,106,76,111,94,107,103,76,122,75,1
80,71,50,71,73,77,79,53,98,53,1
79,77,53,73,76,83,78,53,96,51,1
92,107,71,107,96,103,96,67,113,66,1
78,71,49,67,70,73,79,49,93,50,1
75,83,55,79,79,71,78,49,88,49,1
100,111,71,107,96,113,96,70,117,67,1
81,87,56,87,81,99,87,63,104,70,1
83,77,53,81,79,79,81,53,96,48,1
98,111,68,111,94,112,99,76,122,67,1
96,109,66,104,96,108,98,63,119,63,1
87,95,63,95,87,91,89,63,112,63,1
87,97,63,111,97,85,83,57,106,50,1
92,109,70,109,96,103,94,67,124,63,1
94,106,72,102,91,112,92,71,108,67,1
85,95,56,75,85,103,92,63,118,66,1
96,103,64,107,96,99,92,71,118,66,1
94,115,67,115,97,111,98,68,115,68,1
96,111,67,99,92,104,96,74,112,67,1
88,107,71,99,88,107,96,79,118,78,1
91,102,64,89,79,103,92,68,118,71,1
87,92,57,88,83,89,87,53,106,53,1
96,109,63,109,100,108,94,63,114,63,1
96,109,66,109,96,112,98,71,119,67,1
83,99,67,99,86,106,90,63,105,68,1
85,83,49,75,78,73,79,49,86,47,1
98,108,71,108,98,111,94,67,124,72,1
83,84,50,84,76,85,83,53,102,56,1
70,83,63,87,81,77,68,59,90,60,1
78,79,64,91,81,83,79,63,100,56,1
96,107,67,103,96,109,96,63,117,63,1
98,111,64,111,98,116,99,64,122,67,1
90,84,63,75,80,85,83,60,90,60,1
94,102,72,106,94,103,92,71,118,71,1
103,116,64,112,103,116,100,67,123,66,1
98,115,68,115,98,116,99,64,128,71,1
