@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R2,4-5,12,16-17,22-24,26,31,34,37'

@attribute Sp12 numeric
@attribute Sp14 numeric
@attribute Sp15 numeric
@attribute Sp23 numeric
@attribute Sp27 numeric
@attribute Sp28 numeric
@attribute Sp34 numeric
@attribute Sp35 numeric
@attribute Sp36 numeric
@attribute Sp38 numeric
@attribute Sp44 numeric
@attribute Sp47 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
94,72,72,76,74,76,87,87,70,91,93,87,4
98,91,84,87,88,92,112,118,92,107,109,107,3
106,87,84,83,85,84,99,104,81,103,100,99,3
73,65,64,65,67,71,75,79,67,75,81,64,7
126,103,92,81,104,88,107,113,87,113,122,128,3
103,81,84,81,87,84,99,104,79,128,127,100,3
112,88,80,78,83,79,95,100,79,104,108,96,3
83,67,68,63,62,67,75,85,62,83,84,79,4
107,92,92,88,87,88,107,109,87,104,108,109,3
79,63,68,67,67,67,61,77,71,75,80,63,5
126,104,102,104,89,90,113,117,92,108,110,108,3
103,79,79,87,81,82,100,104,81,103,110,99,3
95,75,75,75,70,78,87,92,70,91,93,91,4
99,87,84,87,78,86,104,112,85,77,105,103,3
107,87,88,83,85,86,104,108,85,103,105,99,3
99,83,88,87,85,86,104,112,89,99,105,108,3
111,92,93,87,92,90,109,112,89,108,110,103,3
107,87,88,87,92,90,104,112,85,103,105,103,3
103,87,88,92,81,86,104,108,85,103,105,103,3
99,83,79,79,81,82,100,104,78,99,105,95,3
87,71,75,67,85,82,83,84,70,103,105,88,7
87,70,74,70,68,79,91,93,72,88,97,92,4
40,114,46,114,131,42,34,119,131,34,119,34,2
104,85,86,85,83,83,99,105,86,102,105,97,3
104,85,86,85,83,87,103,105,86,97,105,106,3
109,89,90,92,90,87,108,110,86,106,110,102,3
96,81,82,81,83,83,95,101,79,102,105,102,3
91,72,83,72,76,78,92,93,69,94,94,89,4
88,68,75,72,69,74,75,93,80,69,111,40,4
108,90,96,90,90,93,111,114,87,111,106,102,3
103,86,83,83,83,78,106,105,87,98,106,98,3
77,64,71,68,65,70,84,85,69,85,86,85,7
84,69,74,80,83,57,40,125,128,45,133,31,2
49,108,47,129,135,47,34,131,131,31,139,31,2
102,87,93,94,91,88,106,111,87,107,118,107,3
102,90,89,90,91,84,106,115,87,112,113,99,3
106,90,85,87,87,92,106,111,87,99,113,107,3
111,91,76,79,85,84,95,100,78,107,104,99,3
102,79,80,79,78,80,99,104,78,103,100,99,3
85,68,72,72,88,56,54,104,92,34,123,37,2
40,128,47,135,143,46,31,139,146,32,139,29,2
34,135,44,135,139,43,31,128,135,29,134,34,2
31,139,41,139,132,43,31,128,132,34,123,34,2
111,87,88,83,88,88,103,108,88,107,109,103,3
111,87,92,91,88,88,107,113,88,107,109,107,3
102,91,88,91,92,92,103,113,85,111,118,111,3
116,99,88,85,92,88,107,113,87,109,122,109,3
103,88,88,85,87,88,107,109,87,71,104,104,3
103,88,92,88,87,88,107,113,92,104,104,109,3
107,88,88,92,87,84,107,113,92,109,112,109,3
107,85,88,88,83,88,111,109,92,104,112,109,3
107,88,88,88,92,84,107,118,92,109,117,113,3
112,92,92,85,96,93,111,113,87,113,117,113,3
99,85,84,85,87,88,99,104,79,96,84,75,3
87,70,76,67,67,75,83,89,71,87,84,83,7
45,116,44,129,133,43,32,122,133,32,135,32,2
103,83,84,87,89,86,104,108,89,108,114,103,3
107,87,84,92,89,82,109,112,92,108,105,108,3
100,81,82,78,83,83,95,101,79,106,101,75,3
29,151,49,151,139,42,30,140,150,43,129,29,2
32,125,46,129,131,49,34,119,124,34,114,34,2
104,85,86,89,86,87,103,110,90,106,110,111,3
79,66,70,70,60,63,77,82,64,75,74,71,7
83,70,74,63,64,71,77,79,64,71,82,84,7
75,63,70,74,64,71,88,93,72,88,85,79,7
122,101,92,105,104,93,125,124,101,125,120,115,3
37,131,46,135,143,44,34,124,133,31,125,31,2
34,135,46,109,136,44,37,119,126,31,125,31,2
32,131,46,131,136,42,34,114,129,31,120,31,2
103,90,87,90,90,89,106,110,87,111,111,106,3
103,86,87,90,90,89,120,119,97,111,120,120,3
103,86,92,79,73,70,79,78,62,66,71,66,5
84,68,67,60,62,67,67,70,55,62,74,66,7
75,83,53,126,83,53,29,125,135,95,104,36,2
34,133,44,140,135,44,34,136,139,31,133,31,2
31,140,44,136,139,47,31,125,135,31,133,31,2
111,94,89,80,76,76,77,78,61,71,60,54,5
79,65,67,62,61,68,69,74,57,79,75,68,7
31,135,47,135,135,46,31,139,143,32,139,29,2
40,113,50,142,121,53,36,118,128,37,118,45,2
31,131,44,124,128,46,36,122,121,32,123,32,2
34,120,47,120,125,46,36,118,121,34,118,40,2
37,120,50,79,125,50,51,113,103,37,123,37,2
111,91,92,87,92,92,112,118,88,111,118,111,3
111,87,88,87,88,88,107,108,88,111,109,107,3
106,87,92,91,88,92,112,118,92,107,113,103,3
106,87,80,68,67,68,57,60,45,75,63,51,5
98,76,76,61,59,60,54,53,38,61,50,54,5
81,76,72,61,67,71,79,79,67,75,85,87,7
69,57,68,54,56,64,71,71,59,68,74,75,7
107,88,88,88,92,88,111,113,92,109,117,113,3
31,143,43,150,146,44,32,134,141,32,138,32,2
31,143,46,135,129,44,32,123,129,43,117,29,2
36,125,46,121,112,51,40,113,112,34,112,34,2
111,92,88,83,96,86,96,104,78,99,101,91,3
37,137,44,146,103,46,32,133,144,77,114,32,2
34,133,48,133,136,49,34,127,129,34,124,32,2
111,92,88,83,85,90,104,112,89,95,110,108,3
75,62,67,58,55,59,67,73,55,63,72,63,7
104,89,82,81,75,79,91,97,79,92,101,92,4
67,55,66,59,53,59,73,75,64,60,74,71,7
32,139,46,135,140,44,34,124,136,34,136,31,2
32,139,42,120,136,44,31,114,122,40,131,31,2
34,120,46,116,122,47,37,114,122,31,120,34,2
112,90,96,90,94,93,115,119,94,120,115,115,3
108,90,96,94,94,97,115,114,94,115,115,106,3
51,49,56,60,48,53,56,74,62,52,71,55,5
63,57,63,64,83,50,37,101,108,29,106,31,2
