@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R3-5,10,12,16,18,31-33,36-37'

@attribute Sp13 numeric
@attribute Sp14 numeric
@attribute Sp15 numeric
@attribute Sp21 numeric
@attribute Sp23 numeric
@attribute Sp27 numeric
@attribute Sp29 numeric
@attribute Sp44 numeric
@attribute Sp45 numeric
@attribute Sp46 numeric
@attribute Sp49 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
106,87,80,94,76,88,107,104,79,79,79,3
102,83,76,77,79,74,75,104,79,75,79,5
82,68,68,69,65,67,79,81,67,67,67,7
118,88,80,107,85,87,103,108,85,82,85,3
113,88,88,107,88,92,107,112,89,90,89,3
104,85,84,95,81,79,95,104,85,82,85,3
100,81,80,83,74,75,87,112,85,82,81,7
79,67,53,54,63,71,54,73,63,59,66,5
104,83,79,95,79,85,100,101,79,83,75,3
113,87,84,103,83,85,96,97,75,83,83,3
109,83,88,107,87,85,104,105,86,87,83,3
109,83,84,103,87,85,104,105,86,87,86,3
109,87,88,103,87,89,104,110,83,92,86,3
85,67,55,48,62,63,56,72,60,63,64,5
74,67,55,48,67,66,53,72,64,59,64,5
92,66,74,83,66,72,88,89,69,74,76,4
112,89,90,104,89,86,108,114,87,89,87,3
112,89,86,104,92,86,108,110,87,89,90,3
104,81,82,100,85,79,99,114,87,89,83,3
80,66,66,60,63,68,73,85,69,67,65,7
110,86,87,103,90,97,120,125,98,88,102,3
119,127,46,34,131,136,31,131,135,44,135,2
97,75,83,103,86,97,92,106,83,84,83,3
105,86,87,103,83,90,106,111,87,88,87,3
110,83,92,99,83,90,111,115,91,92,91,3
110,83,82,102,80,79,98,104,78,80,78,3
105,80,78,92,76,76,94,100,78,80,74,4
93,76,67,63,90,109,40,139,143,46,146,2
124,136,44,56,97,135,31,128,132,46,132,2
114,87,89,106,87,83,106,113,88,88,88,3
110,94,93,111,87,87,106,108,85,88,88,3
105,83,85,102,80,83,106,113,88,88,92,3
105,87,85,97,83,83,106,113,92,84,88,3
105,87,82,97,80,83,98,83,67,71,67,3
120,139,44,31,135,139,31,128,129,48,125,2
131,135,44,31,139,135,31,123,125,44,129,2
106,83,84,111,91,103,87,104,92,79,79,2
106,83,88,111,83,88,107,109,87,93,92,3
115,83,92,111,87,88,107,109,87,88,87,3
115,91,88,106,87,85,107,104,83,84,83,3
115,91,88,115,91,88,107,109,92,88,87,3
120,94,88,106,91,92,103,113,87,88,83,3
94,76,76,85,72,67,75,81,67,71,62,7
113,88,88,103,88,83,107,112,85,86,89,3
108,85,88,103,85,87,103,108,89,86,85,3
108,85,88,107,88,83,103,108,81,86,85,3
91,74,76,83,67,71,83,92,74,74,66,7
100,79,79,95,79,85,100,105,83,83,79,3
139,154,44,29,150,151,32,135,157,42,150,2
109,87,88,111,87,89,109,110,90,92,90,3
113,92,88,103,83,89,109,105,86,87,86,3
104,83,88,111,92,85,104,105,83,83,86,3
81,67,71,87,71,66,75,79,64,71,64,7
133,140,46,32,125,135,32,119,136,42,129,2
100,85,82,104,85,98,84,105,94,82,80,2
112,89,86,104,85,86,108,110,87,89,90,3
112,85,90,109,92,94,117,114,94,89,90,3
108,85,86,104,85,79,91,78,58,67,58,7
110,109,46,30,157,126,43,115,113,50,116,2
130,131,49,34,124,129,34,120,128,44,124,2
