@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R2-3,6,10,16-18,22,24,29,32-34,36-37'

@attribute Sp12 numeric
@attribute Sp13 numeric
@attribute Sp16 numeric
@attribute Sp21 numeric
@attribute Sp27 numeric
@attribute Sp28 numeric
@attribute Sp29 numeric
@attribute Sp34 numeric
@attribute Sp36 numeric
@attribute Sp42 numeric
@attribute Sp45 numeric
@attribute Sp46 numeric
@attribute Sp47 numeric
@attribute Sp49 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
94,102,94,102,81,76,99,99,85,84,79,79,107,87,3
102,106,102,98,88,80,112,107,85,79,83,79,103,79,3
98,102,94,89,78,76,91,87,74,79,67,75,87,71,4
98,106,98,106,88,88,103,103,88,88,87,88,107,87,3
98,106,106,102,81,88,103,99,85,88,87,88,107,83,3
112,118,103,99,100,84,107,99,79,95,103,95,123,100,3
99,104,99,99,79,84,103,107,87,82,81,82,100,78,3
99,108,103,107,87,79,107,107,87,78,81,82,104,85,3
91,100,91,95,75,75,95,91,75,78,74,74,87,70,4
91,104,95,91,71,79,87,87,67,78,70,74,87,66,4
83,87,83,83,62,71,75,75,62,66,70,59,60,81,4
91,91,95,103,79,75,83,99,83,46,125,49,40,114,4
112,113,103,103,87,88,107,99,83,86,85,86,104,85,3
99,108,99,103,87,88,103,103,87,90,89,90,104,85,3
103,113,107,103,83,88,103,103,83,82,81,82,100,81,3
137,139,126,121,89,90,113,113,96,87,86,87,103,90,3
87,96,91,87,70,78,87,87,66,75,68,75,84,72,4
75,81,75,75,70,59,60,49,100,46,127,46,32,131,2
103,109,103,111,89,90,104,109,85,92,90,96,108,90,3
103,113,111,107,85,90,109,109,89,96,90,96,112,90,3
107,113,107,107,89,90,109,104,85,87,86,92,108,86,3
107,109,111,107,81,86,104,109,92,87,86,92,108,90,3
99,104,99,95,92,86,104,104,85,87,86,83,103,86,3
95,100,95,103,85,82,100,100,78,83,83,83,99,79,3
99,100,99,95,81,82,96,96,81,83,79,83,95,79,3
64,81,61,54,66,66,63,60,63,67,60,63,66,57,5
123,127,100,100,105,92,108,103,83,89,97,78,106,87,3
83,84,79,79,64,63,77,73,83,53,108,47,40,122,2
79,88,71,60,98,49,45,37,127,44,136,44,34,136,2
104,117,109,109,86,87,103,103,86,93,90,93,111,94,3
96,104,104,109,83,87,103,108,90,89,87,89,106,87,3
104,104,100,100,86,83,103,99,79,85,87,89,97,83,3
75,88,79,75,68,71,77,81,68,70,65,70,88,69,7
103,114,122,127,101,93,125,130,101,88,109,88,125,105,3
127,130,108,103,101,89,120,106,87,88,102,84,111,91,3
88,93,81,77,80,57,63,49,108,47,135,47,34,135,2
99,105,103,108,83,93,106,115,90,84,87,92,106,87,3
108,110,108,103,87,89,102,106,90,92,91,88,111,87,3
115,124,125,130,102,88,125,125,105,88,99,92,116,99,3
102,110,102,102,79,80,98,98,79,80,78,80,99,78,3
88,97,92,88,72,80,89,89,72,76,70,71,79,74,4
97,101,102,111,87,84,102,111,94,88,92,92,112,92,3
106,114,106,102,87,84,102,98,79,84,81,80,95,74,3
31,131,40,73,132,46,34,51,103,48,129,48,37,125,2
106,111,102,106,85,88,107,107,85,93,92,88,103,87,3
106,115,106,106,85,84,103,107,85,88,87,88,103,83,3
106,115,111,102,92,84,107,112,92,84,92,88,111,96,3
106,111,106,106,85,88,107,107,88,84,83,88,103,87,3
106,111,111,102,88,88,103,99,85,88,87,88,103,87,3
85,86,85,85,70,71,83,87,70,75,71,75,83,67,7
91,96,79,68,100,51,45,34,129,43,133,43,34,133,2
31,128,34,31,125,44,34,37,129,46,125,46,32,129,2
103,113,103,107,87,88,103,111,87,86,89,86,109,85,3
107,109,107,107,85,82,96,104,85,75,79,87,99,83,3
103,113,103,103,89,86,109,104,85,87,86,87,112,90,3
107,109,107,107,89,86,104,109,89,83,90,87,108,90,3
107,109,111,111,85,90,109,109,92,92,98,92,117,94,3
123,127,118,109,105,96,117,112,90,93,94,93,115,94,3
109,104,100,100,90,87,103,99,79,93,90,89,106,80,3
32,117,34,34,124,46,34,37,127,47,126,47,34,126,2
109,112,109,109,90,92,112,108,90,93,90,93,111,94,3
112,119,112,112,94,89,115,115,94,88,87,84,106,91,3
112,119,108,103,94,97,111,106,90,88,87,92,106,91,3
37,130,34,37,126,47,34,34,122,44,120,47,37,124,2
112,119,108,112,90,93,111,111,90,92,91,88,111,91,3
91,93,84,84,58,67,71,75,62,60,50,60,62,54,5
84,93,84,73,58,67,75,71,58,60,54,64,69,61,7
77,82,77,77,62,78,84,88,69,76,76,76,85,72,7
125,124,120,115,94,92,115,111,91,88,88,84,107,88,3
49,114,37,31,116,44,29,34,135,46,139,46,31,135,2
43,110,34,29,113,50,46,31,142,53,103,50,36,128,2
106,110,106,106,87,88,106,106,87,84,88,88,107,88,3
92,97,88,84,54,60,66,69,57,56,45,60,57,49,5
88,89,84,79,57,64,69,66,54,60,49,60,57,49,5
84,82,79,71,57,64,66,62,50,60,49,56,54,49,5
75,82,71,67,54,64,69,66,54,60,63,64,68,59,7
75,78,63,71,61,64,69,73,65,68,67,71,79,70,7
75,74,67,63,57,68,69,66,54,64,59,68,71,59,7
111,111,106,102,88,88,103,95,85,88,83,84,99,79,3
29,125,34,31,139,46,31,31,135,44,137,44,32,141,2
111,111,111,111,88,88,112,107,85,93,92,88,111,92,3
107,113,112,112,92,93,111,111,92,99,92,95,113,96,3
57,56,57,57,46,59,51,51,50,59,44,59,56,44,5
75,79,79,75,58,67,72,68,58,63,55,63,67,55,7
34,123,37,58,118,49,34,34,125,46,116,46,37,113,2
107,113,111,107,96,90,113,113,92,92,83,83,99,83,3
95,100,87,79,78,74,87,79,66,67,68,67,77,64,7
54,57,54,54,48,59,53,56,44,56,53,56,54,49,5
54,63,54,51,44,59,56,53,44,56,49,56,51,45,5
109,112,109,113,90,92,112,117,98,97,94,97,115,94,3
96,104,96,96,75,83,91,91,79,82,80,78,88,76,4
91,92,83,56,75,79,95,77,79,78,80,78,88,76,4
34,127,32,32,120,42,32,34,142,47,133,44,34,143,2
32,133,32,32,146,42,34,32,142,44,143,44,34,143,2
32,138,32,32,142,46,32,32,139,44,140,44,34,140,2
34,112,34,34,116,49,37,40,113,47,119,44,34,119,2
113,122,113,113,90,92,103,99,83,82,76,78,88,73,3
104,104,96,91,68,71,73,77,68,70,58,63,67,58,7
112,114,112,117,94,97,115,115,94,92,94,88,106,87,3
95,93,77,42,80,78,88,63,90,80,76,72,81,76,2
77,93,42,32,76,63,63,37,133,72,76,57,49,113,2
42,114,32,34,90,47,37,34,143,57,113,47,31,142,2
32,130,34,32,133,44,34,34,143,47,142,44,31,142,2
34,130,32,32,143,44,34,31,143,44,142,47,31,139,2
34,119,34,40,129,44,34,37,129,47,124,44,34,120,2
34,110,34,37,126,47,37,37,119,47,120,47,37,113,2
37,114,40,37,119,44,34,37,111,47,105,50,40,105,2
117,114,108,112,90,93,111,106,87,84,83,88,98,79,3
103,105,99,95,76,78,88,84,65,72,65,72,81,65,7
77,75,70,57,51,53,60,56,44,57,50,60,59,54,5
66,75,63,60,65,53,53,43,101,44,124,44,29,113,2
106,114,102,92,72,76,89,89,76,80,81,80,99,81,4
92,93,92,92,79,80,89,94,76,84,78,80,91,81,4
63,101,37,34,76,57,49,31,142,68,85,50,39,132,2
102,105,102,111,76,84,98,111,94,71,74,84,103,85,3
115,114,115,111,87,88,102,98,83,84,81,84,103,81,3
88,93,84,79,65,72,81,81,65,71,70,71,83,70,7
111,111,115,115,81,80,99,95,78,84,75,84,91,75,3
94,98,89,89,74,80,95,99,81,84,79,84,99,79,4
49,115,31,31,85,50,39,29,143,63,100,48,34,137,2
34,115,34,40,121,50,36,36,125,44,129,44,34,129,2
31,131,31,31,135,43,29,31,125,55,116,51,40,100,2
40,106,43,55,81,68,71,75,63,67,58,67,72,54,2
98,102,111,120,74,84,103,112,92,75,75,84,103,83,3
111,115,120,120,85,92,112,112,92,84,83,79,99,79,3
120,120,120,115,92,92,112,107,88,79,79,79,95,79,3
106,111,102,98,78,84,95,103,81,84,79,84,95,75,7
59,78,52,49,67,56,54,48,63,59,67,55,51,71,5
91,96,87,91,79,84,95,95,75,82,78,82,96,78,4
91,96,95,99,75,84,95,99,79,82,78,82,100,81,4
29,133,31,31,137,44,32,32,137,63,96,49,34,129,2
36,118,36,36,121,48,34,34,129,46,122,46,32,125,2
71,75,75,75,58,67,79,75,62,66,63,66,83,63,7
95,96,87,83,67,71,79,75,67,70,66,70,83,70,7
75,79,64,61,75,71,79,64,75,74,74,74,83,74,7
51,75,48,34,67,55,51,45,112,56,63,56,49,70,5
48,71,51,54,71,51,45,51,62,49,89,52,46,63,5
95,96,99,99,81,82,96,100,78,83,83,83,103,83,4
87,93,58,34,81,82,100,87,78,92,86,92,103,83,3
32,118,34,37,125,49,34,32,125,46,120,46,34,131,2
40,104,51,64,74,66,63,71,59,63,57,63,70,53,2
32,122,29,32,127,42,34,37,124,53,97,60,63,73,2
32,122,34,49,105,59,60,66,64,67,51,60,67,55,2
83,84,79,75,64,71,77,81,68,70,69,67,79,69,7
71,88,60,56,75,63,63,57,72,67,73,57,56,73,5
49,69,53,53,53,56,51,51,68,53,58,53,53,65,5
108,110,103,99,94,97,115,111,87,97,94,97,111,94,3
91,101,95,95,80,82,92,97,80,88,87,88,106,87,4
