@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R2-3,5,11,18,23-25,27,31,33,36-37'

@attribute Sp12 numeric
@attribute Sp13 numeric
@attribute Sp15 numeric
@attribute Sp22 numeric
@attribute Sp29 numeric
@attribute Sp35 numeric
@attribute Sp36 numeric
@attribute Sp37 numeric
@attribute Sp39 numeric
@attribute Sp44 numeric
@attribute Sp46 numeric
@attribute Sp49 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
115,120,84,102,112,104,81,102,134,128,84,87,3
102,102,84,98,99,104,81,84,104,104,84,79,3
98,111,80,106,99,104,85,84,109,109,88,87,3
115,115,92,111,112,128,92,88,113,109,93,92,3
106,111,88,120,107,118,88,88,109,109,88,87,3
73,90,80,102,95,100,81,84,104,104,79,75,7
91,100,76,91,87,96,71,74,88,92,78,66,4
95,104,84,108,99,113,87,46,122,117,63,85,3
107,118,88,113,107,104,87,86,108,112,86,85,3
54,75,53,71,51,70,62,59,73,76,59,70,5
54,71,56,67,48,70,67,59,76,76,56,70,5
99,104,84,104,100,108,81,96,130,114,83,83,3
116,118,88,113,104,112,89,87,110,110,87,90,3
107,113,88,104,109,112,92,92,110,110,87,90,3
109,112,90,117,103,114,86,97,119,119,89,97,3
113,117,90,127,103,135,109,89,124,124,93,104,3
104,108,90,108,103,105,83,85,110,114,89,90,3
100,96,82,104,95,105,83,85,105,101,85,83,3
96,100,86,100,99,105,83,85,110,105,85,83,3
63,76,59,76,66,72,60,74,85,82,70,62,7
60,73,59,76,63,72,64,67,82,82,67,62,5
95,101,83,97,97,93,76,80,102,98,80,72,3
91,93,79,90,92,93,73,80,90,90,72,72,4
88,93,75,93,88,93,69,80,90,94,72,72,4
84,93,75,97,84,93,76,72,94,102,57,109,4
108,114,92,114,115,119,90,92,111,111,88,83,3
95,97,83,105,106,105,87,88,120,120,88,91,3
99,105,83,105,102,105,83,84,102,98,84,83,3
40,119,42,124,34,120,135,43,139,133,46,139,2
37,119,44,124,34,120,139,43,133,133,43,139,2
92,101,82,110,102,111,91,50,113,104,88,88,3
97,105,82,114,111,111,87,88,108,108,88,85,3
115,114,93,119,111,106,83,88,113,113,88,85,3
106,114,93,114,106,111,87,88,118,113,88,85,3
106,110,89,114,111,111,87,88,108,113,84,85,3
88,89,74,85,85,86,72,71,87,91,76,70,7
79,85,67,82,81,86,68,76,91,87,71,67,7
79,82,67,74,77,74,57,71,83,79,71,63,7
120,125,88,131,121,128,103,88,134,128,93,96,3
94,94,80,90,91,96,74,67,96,104,51,116,4
89,90,80,90,79,100,88,59,104,113,44,129,2
111,111,88,106,103,108,88,79,100,109,88,87,3
106,111,92,106,107,113,85,88,109,104,88,87,3
106,106,88,115,107,113,88,88,109,113,93,87,3
111,115,88,111,107,113,88,93,109,113,93,87,3
106,111,88,115,107,104,88,93,109,109,93,92,3
106,111,92,106,107,108,85,88,109,109,88,87,3
106,111,88,106,103,113,88,88,109,109,88,92,3
98,98,84,102,87,83,67,71,77,85,75,71,7
81,86,72,74,79,79,63,75,89,89,71,67,7
126,139,88,133,126,128,104,90,133,133,90,103,3
107,113,84,100,103,100,79,90,112,112,86,85,3
107,113,88,113,107,109,87,86,104,112,90,89,3
107,118,88,108,111,109,87,90,112,112,90,92,3
79,83,71,79,79,81,67,70,80,84,74,66,7
79,83,71,79,79,85,67,74,88,84,74,70,7
126,134,88,123,123,122,96,92,135,130,96,94,3
107,109,88,104,104,104,85,87,105,110,87,86,3
107,109,88,109,96,84,66,75,90,79,63,60,7
103,113,88,104,79,76,63,67,79,72,67,60,7
91,93,71,85,75,80,63,67,75,75,71,64,7
104,104,86,108,103,105,86,85,110,114,89,90,3
104,108,86,112,103,119,90,89,110,110,93,87,3
109,108,86,108,112,105,83,89,110,114,89,87,3
96,100,70,76,66,72,60,67,74,70,67,58,7
79,80,66,80,73,79,64,67,82,93,70,69,7
75,76,70,84,77,82,68,78,89,89,70,65,7
79,84,74,84,88,90,68,70,85,82,67,65,7
34,119,46,130,37,119,126,44,115,115,47,124,2
34,124,46,119,34,114,126,44,120,120,44,124,2
108,114,92,101,88,82,65,60,67,67,64,57,5
111,105,89,110,106,111,87,92,113,108,92,88,3
106,110,89,110,106,115,91,92,108,113,92,92,3
120,119,93,114,106,102,76,88,108,91,68,59,3
67,70,67,82,69,86,72,64,79,71,64,63,7
111,115,92,111,112,113,92,93,113,118,88,96,3
115,120,92,111,103,91,67,79,96,89,75,58,7
62,71,60,67,54,67,52,55,67,60,55,50,5
29,133,46,122,32,128,129,49,117,138,46,133,2
34,122,46,122,29,113,121,46,122,112,46,118,2
34,122,46,118,32,118,112,46,112,112,46,114,2
79,79,71,79,79,96,75,63,73,73,66,63,7
83,83,71,87,83,85,67,70,84,84,70,63,7
34,139,44,134,32,133,144,46,130,135,46,142,2
32,134,44,128,32,127,136,46,124,124,42,135,2
87,96,75,74,79,80,63,67,86,75,67,57,7
54,67,55,77,53,66,48,59,72,65,59,45,5
58,70,63,74,53,73,55,59,65,62,59,49,5
118,117,95,117,112,114,90,93,114,110,82,80,3
32,127,46,112,34,114,124,44,119,114,44,129,2
32,112,46,112,34,110,116,44,114,114,47,122,2
34,110,49,110,37,110,119,47,115,111,47,105,2
45,110,67,97,92,105,76,68,82,90,76,76,7
108,114,92,114,106,110,83,84,106,106,84,79,3
95,101,79,79,79,74,58,72,78,90,72,65,7
51,58,52,68,53,74,62,60,71,78,53,65,5
51,72,59,65,56,74,58,53,71,74,57,65,5
54,62,59,72,56,70,51,57,67,64,57,50,5
60,72,63,72,56,74,58,57,67,71,57,65,5
111,114,97,124,115,120,94,88,108,104,84,78,3
115,119,97,114,111,111,87,84,104,104,84,78,3
