@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R1,7,10,12-13,16,18-19,21,23,27,30,35-37'

@attribute Sp11 numeric
@attribute Sp17 numeric
@attribute Sp21 numeric
@attribute Sp23 numeric
@attribute Sp24 numeric
@attribute Sp27 numeric
@attribute Sp29 numeric
@attribute Sp31 numeric
@attribute Sp33 numeric
@attribute Sp35 numeric
@attribute Sp39 numeric
@attribute Sp43 numeric
@attribute Sp48 numeric
@attribute Sp49 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
84,102,102,79,92,85,103,104,84,104,128,107,104,79,3
76,102,94,76,76,74,95,100,76,100,96,87,93,67,4
60,90,94,83,56,78,79,100,80,100,96,99,104,83,5
57,74,52,68,56,63,51,67,53,67,70,48,70,67,5
68,87,83,70,71,67,75,81,67,85,88,60,104,100,4
88,122,112,92,88,92,107,109,93,113,112,109,112,89,3
102,128,107,87,90,92,113,122,95,127,114,103,135,109,3
79,93,87,71,78,70,87,88,74,92,93,91,93,68,4
71,81,79,62,74,66,83,92,70,88,90,91,93,72,4
88,109,111,92,90,85,109,117,90,112,114,112,110,90,3
93,113,116,92,90,89,109,112,90,112,114,108,110,90,3
88,109,107,87,90,89,104,108,90,108,110,108,105,86,3
79,100,95,83,86,89,104,104,82,100,110,103,110,83,3
75,96,99,83,82,81,96,104,82,104,101,99,105,83,3
67,81,61,71,70,66,71,80,66,76,82,77,75,60,5
82,108,100,78,92,86,103,105,79,110,129,106,110,83,3
82,104,100,81,83,83,103,110,79,105,110,102,110,83,3
82,104,104,85,79,83,99,105,83,114,110,102,105,83,3
78,92,87,70,79,72,91,90,79,93,93,88,97,73,4
59,104,40,114,46,127,32,119,46,119,124,31,119,133,2
90,117,109,89,87,90,108,110,87,110,110,102,114,90,3
86,100,100,81,87,83,95,97,83,101,110,111,114,87,3
78,88,79,66,79,72,81,86,71,82,105,88,82,65,7
70,76,71,66,71,64,81,82,71,86,82,88,85,69,7
59,73,40,66,63,64,57,75,56,75,74,63,74,62,5
79,105,103,86,78,83,102,110,82,105,102,98,102,79,3
87,114,108,86,93,94,106,114,89,110,111,106,115,87,3
92,110,103,86,89,87,106,110,89,114,115,106,115,87,3
83,101,95,79,89,83,102,105,85,101,106,106,115,87,3
83,105,95,83,85,83,102,110,85,114,115,102,120,94,3
71,75,66,57,74,69,79,85,67,82,86,85,82,68,7
82,110,97,83,84,83,111,111,88,115,104,103,108,88,3
85,105,102,83,88,87,106,111,88,111,113,107,118,85,3
80,98,94,72,80,74,95,100,80,91,100,95,96,75,4
84,115,106,87,88,85,99,108,84,113,109,103,109,87,3
80,100,99,74,79,79,95,104,84,100,104,100,96,78,3
71,100,54,103,51,116,34,128,44,123,127,34,122,133,2
88,108,107,88,93,87,111,109,93,113,112,113,112,89,3
84,113,103,85,88,87,103,109,88,109,104,104,112,85,3
88,113,103,83,90,92,109,112,86,112,119,117,119,94,3
84,100,99,75,82,81,100,96,78,100,101,95,105,79,3
59,113,34,129,49,125,32,127,43,127,130,32,135,139,2
41,139,29,150,52,122,29,138,49,138,110,40,135,157,2
48,123,34,129,46,133,32,122,46,122,124,34,124,131,2
93,109,107,92,86,85,104,108,86,108,110,103,110,90,3
84,109,103,83,82,85,100,104,90,108,105,103,114,90,3
84,123,116,96,90,96,113,122,95,117,114,108,110,86,3
88,109,103,83,95,92,104,108,86,108,101,95,93,72,3
75,85,83,71,74,74,83,84,74,88,93,84,75,60,7
82,108,104,85,75,79,99,105,87,110,105,92,105,83,3
90,112,109,89,92,90,108,110,92,119,114,111,114,90,3
90,112,109,89,92,86,103,105,87,110,114,106,110,87,3
86,108,104,85,87,90,103,105,83,110,114,106,105,87,3
86,112,104,89,83,90,108,110,83,105,105,111,110,87,3
90,112,109,85,92,90,112,114,92,124,119,115,114,94,3
92,119,112,94,89,94,115,124,93,119,111,111,115,91,3
87,101,95,79,93,90,106,101,74,97,115,102,102,83,3
42,130,32,139,44,140,31,124,44,119,136,31,125,135,2
46,135,30,150,50,115,34,129,42,135,115,46,131,142,2
89,114,106,87,97,91,111,111,88,115,118,107,118,88,3
67,82,84,73,68,65,77,82,76,90,87,79,87,70,7
67,74,67,55,68,57,69,74,68,74,75,68,79,59,7
88,111,106,91,84,88,112,113,88,113,113,111,113,92,3
47,131,31,135,46,135,31,128,46,133,134,32,139,146,2
44,120,40,113,46,135,36,128,46,122,134,34,118,125,2
44,115,46,116,46,132,39,122,53,108,123,37,118,112,2
50,102,98,79,50,128,51,113,71,100,123,37,109,96,2
88,115,106,87,88,88,103,113,88,108,113,111,109,87,3
92,120,120,94,92,96,107,122,88,108,100,87,89,67,3
92,118,107,88,93,96,111,118,88,113,122,109,117,85,3
50,128,34,135,44,137,34,128,48,134,133,32,127,133,2
46,122,45,103,48,133,37,118,48,118,127,32,122,129,2
92,118,107,88,93,96,111,118,93,118,117,113,117,96,3
88,113,107,88,93,92,111,118,88,113,122,113,122,96,3
80,75,57,45,75,58,61,63,55,50,80,67,62,48,5
56,67,64,63,55,46,54,67,55,70,76,49,66,44,5
53,75,68,59,55,50,58,70,63,77,69,53,66,48,5
44,139,32,141,43,144,32,138,46,138,130,32,135,142,2
48,118,40,112,46,129,32,127,46,122,119,32,119,127,2
88,113,103,83,90,89,104,104,78,92,101,84,79,64,3
59,67,54,50,59,44,56,66,56,73,62,54,65,49,5
63,74,72,62,63,55,75,76,66,73,65,66,75,64,7
46,127,32,133,46,139,34,124,42,124,129,34,124,136,2
49,104,37,122,49,124,40,105,52,105,114,37,105,111,2
90,112,113,89,92,83,99,101,79,101,101,88,85,65,3
59,62,56,44,56,49,51,62,56,65,70,53,63,51,5
59,66,56,52,56,45,54,65,56,65,67,56,67,48,5
63,80,79,70,63,60,70,75,67,79,74,63,70,62,7
70,84,71,63,67,64,66,75,63,72,70,60,82,83,7
83,101,95,75,82,80,88,93,78,93,98,85,90,72,4
42,119,32,131,44,136,34,124,44,119,125,34,125,128,2
56,65,51,49,53,48,56,63,53,67,71,49,71,50,5
63,72,70,64,57,58,60,74,63,74,71,55,82,72,5
63,75,73,64,57,58,63,74,63,70,74,52,94,94,5
63,68,60,53,53,76,60,74,57,70,98,52,71,61,7
50,124,31,133,50,102,40,115,44,131,122,45,122,135,2
82,93,84,65,76,65,77,78,72,78,83,75,87,70,7
53,74,60,58,53,50,55,74,57,78,67,48,79,63,5
57,70,56,58,53,50,55,67,57,71,67,51,71,52,5
57,74,63,62,57,54,55,74,57,82,71,51,91,96,5
