@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R4-5,8-9,11,18,20,30,35-37'

@attribute Sp14 numeric
@attribute Sp15 numeric
@attribute Sp18 numeric
@attribute Sp19 numeric
@attribute Sp22 numeric
@attribute Sp29 numeric
@attribute Sp32 numeric
@attribute Sp43 numeric
@attribute Sp48 numeric
@attribute Sp49 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
83,80,79,84,102,99,78,99,104,79,3
72,68,76,68,94,83,67,75,85,71,4
79,76,79,80,106,91,74,75,96,83,4
87,88,91,88,115,112,88,107,109,83,3
87,84,87,84,106,103,85,107,113,87,3
91,88,87,88,115,107,88,107,109,87,3
87,88,87,84,106,99,85,103,100,79,3
85,88,88,88,118,103,87,104,112,85,3
88,92,92,92,118,107,87,104,112,89,3
88,88,88,88,118,107,87,109,112,85,3
85,88,85,88,113,103,83,100,104,81,3
85,88,85,88,104,99,83,100,100,81,3
71,67,79,75,96,40,114,34,119,131,2
83,84,87,84,109,67,85,48,97,75,2
87,88,87,84,113,104,89,108,114,90,3
83,84,87,79,100,109,92,108,110,86,3
83,84,83,84,104,100,81,99,97,83,3
83,79,75,75,93,100,85,103,105,83,3
75,75,71,75,85,100,85,103,105,83,3
70,59,81,56,104,37,127,34,124,133,2
81,86,81,86,108,99,83,111,110,87,3
81,82,78,82,100,99,79,106,110,83,3
85,86,85,82,100,103,83,106,105,87,3
85,82,81,78,84,103,83,97,105,80,3
86,87,90,92,135,115,101,125,136,109,3
109,96,105,92,114,130,101,125,125,102,3
72,79,68,79,93,88,73,94,94,72,4
86,87,83,83,110,102,83,111,115,87,3
83,87,86,87,105,97,83,111,111,87,3
90,87,86,87,119,102,90,111,111,87,3
79,79,79,79,105,102,83,106,111,87,3
64,59,64,56,75,63,58,73,78,65,7
97,89,97,93,124,120,98,121,128,103,3
136,42,133,44,119,34,135,31,128,135,2
83,85,83,82,105,102,87,103,108,88,3
90,93,90,89,114,106,83,103,108,88,3
87,89,87,89,110,111,83,107,113,88,3
83,89,87,89,110,111,91,107,113,88,3
87,89,83,85,105,102,83,103,113,88,3
135,47,139,41,131,34,132,34,123,129,2
120,64,83,84,106,51,103,37,104,92,2
87,92,87,88,111,107,88,111,109,87,3
83,88,87,84,115,103,92,111,118,92,3
83,80,79,84,106,95,74,79,85,67,7
103,88,103,92,128,121,104,123,122,96,3
78,80,74,80,100,91,75,96,100,74,4
74,80,74,84,100,95,79,91,96,81,4
74,76,70,71,96,58,100,37,127,133,2
135,43,132,46,118,34,133,34,122,129,2
88,92,88,88,113,107,83,104,112,85,3
92,88,88,88,113,107,87,104,108,89,3
88,88,85,88,108,107,87,109,100,78,3
92,88,87,84,113,113,92,112,119,98,3
87,88,87,88,109,104,89,103,114,86,3
87,93,92,88,109,104,85,99,105,86,3
96,93,96,88,113,113,96,103,101,83,3
78,78,81,82,96,91,79,49,119,126,4
151,46,151,46,138,30,150,29,129,143,2
129,46,129,46,122,37,127,34,114,126,2
89,86,92,86,112,108,90,111,110,90,3
92,86,89,82,104,108,86,111,114,90,3
105,96,94,92,119,120,94,115,115,91,3
94,92,90,92,114,115,94,111,111,87,3
90,87,83,83,101,106,90,106,111,83,3
150,42,142,46,124,34,143,31,136,139,2
127,46,124,52,110,37,126,37,115,120,2
86,87,90,92,119,106,87,102,111,91,3
86,87,86,87,105,106,90,111,120,94,3
60,71,60,71,79,84,76,81,86,68,7
94,89,90,89,114,102,87,112,113,88,3
126,50,115,44,129,40,113,39,108,103,2
143,44,143,44,119,31,139,31,122,132,2
