@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R6,8,11-13,15,17-18,22-23,27-28,30,36-37'

@attribute Sp16 numeric
@attribute Sp18 numeric
@attribute Sp22 numeric
@attribute Sp23 numeric
@attribute Sp24 numeric
@attribute Sp26 numeric
@attribute Sp28 numeric
@attribute Sp29 numeric
@attribute Sp34 numeric
@attribute Sp35 numeric
@attribute Sp39 numeric
@attribute Sp41 numeric
@attribute Sp43 numeric
@attribute Sp49 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
102,79,102,79,76,104,76,99,103,118,104,79,107,87,3
106,87,111,83,88,118,88,103,103,113,109,87,103,87,3
106,87,106,87,88,108,88,103,99,104,104,83,99,83,3
98,83,102,83,84,100,80,91,87,96,100,79,99,83,3
55,72,71,65,60,79,53,54,54,71,77,71,54,67,5
99,81,104,81,84,104,84,99,103,104,127,100,100,81,3
91,74,100,74,79,93,79,87,87,96,84,70,87,70,4
103,85,118,88,79,104,84,99,99,109,117,114,67,78,3
112,92,122,88,84,113,88,111,107,109,112,85,109,89,3
112,88,113,85,93,118,88,111,107,113,112,89,104,89,3
107,88,118,92,93,113,93,107,107,109,112,89,109,85,3
112,92,113,92,93,109,88,107,107,109,112,85,104,89,3
103,79,109,87,82,108,82,100,100,104,114,86,103,83,3
107,87,113,87,82,104,78,100,104,104,110,83,99,86,3
95,75,100,75,78,96,78,91,91,92,93,75,91,72,4
75,71,96,79,59,96,56,49,40,112,119,127,32,131,2
75,67,77,67,82,100,78,83,75,88,105,83,88,68,7
48,67,70,67,59,76,56,49,40,69,72,64,57,68,5
128,103,127,100,87,114,92,122,127,130,124,101,125,101,3
104,89,104,85,87,119,87,103,103,105,114,87,106,87,3
96,81,104,85,83,105,83,95,99,105,105,83,102,87,3
95,79,93,75,82,101,78,102,97,101,98,79,98,76,3
73,83,110,98,53,110,47,40,37,119,131,135,34,131,2
37,127,119,131,44,124,44,34,31,124,120,135,31,135,2
77,75,105,83,44,119,53,56,92,101,131,139,40,83,2
103,86,114,86,93,114,93,111,106,114,111,87,106,87,3
103,86,110,90,89,114,89,111,106,110,115,91,106,91,3
108,90,110,86,89,110,89,106,102,114,115,91,115,91,3
103,86,110,83,89,114,85,102,106,114,115,87,106,87,3
99,79,101,79,85,114,89,97,102,105,111,87,102,83,3
99,83,105,83,85,105,85,102,102,105,111,87,111,83,3
99,83,105,86,89,114,89,106,102,105,115,87,102,79,3
88,73,93,69,80,90,72,85,81,94,100,88,54,92,4
106,90,105,90,88,115,88,106,111,111,113,85,103,88,3
102,83,105,83,84,102,80,98,98,106,104,81,95,70,3
102,83,105,87,80,98,84,98,98,102,91,74,87,67,3
79,65,89,69,76,86,76,85,85,86,79,63,79,70,7
120,98,125,98,92,139,88,126,121,133,134,108,126,104,3
98,76,98,76,80,100,80,99,95,100,104,79,99,75,3
34,135,125,135,46,133,43,31,31,139,139,154,29,150,2
106,83,115,87,88,108,88,107,103,113,109,87,111,92,3
98,79,94,76,68,83,68,79,75,87,89,71,79,67,7
95,78,104,78,84,104,84,99,99,104,112,89,109,81,3
91,70,96,74,79,100,71,83,72,96,96,81,63,107,2
54,103,104,92,44,128,44,34,37,118,127,133,32,136,2
54,92,113,114,44,123,48,37,45,113,122,133,29,136,2
34,146,139,143,51,113,44,37,32,139,122,136,40,122,2
31,143,133,146,44,128,41,32,32,139,112,114,37,151,2
31,143,133,139,44,145,44,29,27,134,138,151,29,151,2
31,139,133,139,44,139,44,27,29,134,138,151,29,147,2
34,132,113,103,48,123,48,32,37,123,117,129,34,125,2
107,88,108,88,88,109,84,107,107,109,108,89,104,89,3
99,85,113,88,84,109,84,103,103,109,112,89,100,85,3
107,88,113,92,88,109,88,111,111,113,112,85,109,92,3
107,88,118,85,84,109,88,103,107,109,108,81,104,85,3
87,70,83,67,71,77,75,83,79,89,80,66,71,66,7
75,63,83,67,71,85,75,79,79,85,84,70,79,63,7
107,87,113,87,86,112,90,109,109,112,119,90,112,90,3
103,83,113,87,86,108,86,100,104,108,101,79,91,72,3
107,87,113,87,86,108,90,109,96,100,93,72,84,60,3
79,67,81,67,70,80,74,83,79,80,75,57,77,64,7
87,71,89,71,70,76,70,75,79,84,79,64,77,68,7
128,107,127,103,87,130,92,127,122,130,129,104,125,101,3
109,85,112,89,87,114,87,108,112,119,110,87,106,90,3
113,96,112,92,92,114,92,103,99,101,97,76,88,65,3
79,66,80,70,71,79,67,73,70,75,85,69,75,58,7
57,101,119,124,47,119,44,31,31,129,125,135,34,135,2
103,86,114,86,89,114,89,106,111,110,111,87,106,87,3
91,72,93,72,67,78,63,71,71,78,67,54,62,50,5
77,68,93,72,74,89,70,79,79,82,90,72,77,61,7
125,104,124,101,88,125,92,120,115,120,122,92,116,88,3
115,94,124,97,88,111,84,106,111,115,113,88,107,88,3
106,90,101,80,88,111,92,106,102,111,113,88,103,85,3
34,126,114,122,47,120,44,34,37,120,118,121,36,128,2
97,80,97,76,76,90,64,77,69,67,60,45,54,34,5
84,73,89,69,72,82,76,81,85,90,87,70,83,67,7
102,83,111,91,88,108,88,103,103,113,113,87,103,87,3
115,91,115,91,88,113,88,107,107,113,109,87,107,87,3
69,57,67,54,56,56,60,57,57,67,63,46,51,50,5
66,54,71,50,60,67,60,57,54,67,67,46,51,50,5
