@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R1,3,5-9,14,16-17,21,26,32,36-37'

@attribute Sp11 numeric
@attribute Sp13 numeric
@attribute Sp15 numeric
@attribute Sp16 numeric
@attribute Sp17 numeric
@attribute Sp18 numeric
@attribute Sp19 numeric
@attribute Sp25 numeric
@attribute Sp27 numeric
@attribute Sp28 numeric
@attribute Sp33 numeric
@attribute Sp38 numeric
@attribute Sp45 numeric
@attribute Sp49 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
80,115,88,102,106,87,92,99,85,88,88,103,87,87,3
88,106,88,106,111,87,84,95,81,84,88,95,83,83,3
76,98,68,77,94,79,60,75,78,60,56,91,79,79,5
80,102,76,94,94,72,72,83,74,71,71,83,67,67,7
68,86,64,66,86,68,57,75,67,60,53,64,71,67,5
76,118,80,107,118,88,80,107,87,79,79,100,85,85,3
88,122,92,112,128,92,92,107,92,93,93,109,89,89,3
92,128,92,112,118,96,92,111,92,93,88,109,89,92,3
88,108,88,103,108,88,84,107,87,88,88,109,89,89,3
88,113,88,103,108,85,88,103,83,84,84,100,81,81,3
68,79,60,68,79,67,53,64,67,59,55,71,66,63,5
84,113,84,99,104,79,84,128,103,95,82,122,105,86,3
88,109,88,107,109,87,88,104,89,90,90,108,86,83,3
88,113,88,107,113,87,88,104,85,90,86,103,90,90,3
84,109,84,103,104,83,88,100,81,82,82,99,83,79,3
79,100,79,99,100,83,79,96,81,86,82,95,79,83,3
79,100,79,91,104,79,75,96,81,82,82,99,83,79,3
71,81,67,72,81,67,67,79,66,70,66,77,68,68,7
78,96,78,91,92,70,74,95,75,83,83,97,76,73,4
78,84,74,87,88,66,74,91,72,75,79,92,73,73,4
78,88,78,87,92,66,74,84,68,75,75,88,69,69,4
46,122,49,40,117,114,63,34,131,46,52,37,136,133,2
82,100,78,83,84,70,74,103,83,79,71,97,80,73,7
59,76,59,53,76,70,56,63,60,63,59,79,62,58,7
96,119,92,103,110,86,87,120,101,97,89,131,98,98,3
79,93,75,91,93,68,79,92,73,78,82,89,72,68,4
75,90,75,84,93,72,75,88,73,78,74,85,72,83,4
75,97,75,88,93,72,67,88,76,67,57,49,128,135,2
87,105,83,99,110,83,87,102,83,85,82,111,87,87,3
79,101,79,95,105,79,83,102,87,85,85,106,87,87,3
63,68,63,63,72,60,63,79,65,70,67,81,68,61,7
78,101,82,92,93,76,78,94,76,80,80,95,74,74,4
78,93,74,92,93,69,78,89,72,80,80,95,74,70,4
53,105,74,92,101,76,82,40,120,64,84,34,103,81,2
93,114,93,115,114,90,93,106,87,92,92,107,88,88,3
93,119,89,111,114,87,89,106,83,84,88,103,88,88,3
89,105,85,102,110,83,85,106,91,88,88,103,88,88,3
85,101,82,102,105,83,82,111,87,88,84,103,85,85,3
70,82,70,88,89,69,74,85,72,76,68,79,70,74,7
67,82,70,79,82,62,67,81,68,72,72,83,67,67,7
72,94,72,81,94,72,64,54,103,56,53,34,121,104,2
84,106,88,111,111,91,88,87,81,88,88,58,79,87,3
88,106,84,102,106,83,88,103,85,88,92,107,87,87,3
88,115,92,115,120,94,88,107,88,88,92,107,92,92,3
88,111,84,102,106,83,88,99,85,84,88,103,87,79,3
84,106,80,98,102,83,80,87,70,68,68,83,71,71,7
92,128,88,121,128,99,92,116,96,88,88,118,89,92,3
50,113,71,87,104,81,88,37,125,59,79,34,125,111,2
88,108,88,103,108,88,88,91,79,88,88,43,85,81,3
68,83,68,79,83,67,71,79,71,75,71,79,70,70,7
76,87,71,79,83,67,71,83,67,75,75,83,70,70,7
44,128,41,32,139,150,44,40,114,52,46,37,109,139,2
44,134,44,29,134,141,44,29,151,46,46,30,142,135,2
48,123,44,34,118,129,44,32,125,46,46,34,131,124,2
48,123,48,32,128,129,48,34,129,46,46,34,127,124,2
79,100,88,107,109,87,88,43,111,66,82,37,98,79,2
84,109,88,107,113,92,84,104,89,86,86,103,90,86,3
