@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R5,9-10,12,14-16,19,22-23,25,27,29-30,33,37'

@attribute Sp15 numeric
@attribute Sp19 numeric
@attribute Sp21 numeric
@attribute Sp23 numeric
@attribute Sp25 numeric
@attribute Sp26 numeric
@attribute Sp27 numeric
@attribute Sp31 numeric
@attribute Sp34 numeric
@attribute Sp35 numeric
@attribute Sp37 numeric
@attribute Sp39 numeric
@attribute Sp42 numeric
@attribute Sp43 numeric
@attribute Sp46 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
72,72,89,76,87,91,74,91,87,87,75,96,75,87,71,4
84,84,106,87,107,113,88,118,112,118,93,113,93,107,88,3
84,84,102,83,99,104,85,104,99,104,84,104,88,99,84,3
64,68,77,65,79,83,67,79,75,79,71,81,67,72,67,7
92,84,103,81,126,134,104,128,107,113,90,117,90,113,95,3
84,84,99,81,107,113,87,104,99,104,95,127,95,123,82,3
80,80,95,78,103,104,83,104,95,100,82,108,82,100,78,3
68,68,79,63,79,85,62,85,75,85,70,88,70,83,66,4
92,88,107,88,107,109,87,109,107,109,86,108,90,104,90,3
68,60,68,67,72,81,67,81,61,77,70,76,66,71,66,5
102,102,126,104,109,112,89,112,113,117,96,119,92,103,87,3
79,79,107,87,100,108,81,104,100,104,83,105,79,103,79,3
75,75,91,75,91,92,70,96,87,92,83,97,79,91,79,4
84,88,107,87,96,104,78,108,104,112,71,97,83,99,87,3
88,88,107,83,104,112,85,108,104,108,87,105,87,95,83,3
88,88,103,87,104,108,85,108,104,112,87,105,87,103,87,3
93,93,107,87,104,117,92,112,109,112,92,110,87,103,87,3
88,88,103,87,104,108,92,108,104,112,92,105,87,103,92,3
88,88,111,92,104,104,81,104,104,108,92,110,87,99,87,3
79,79,91,79,96,104,81,100,100,104,79,97,79,99,83,3
75,71,75,67,100,112,85,100,83,84,83,105,87,103,79,7
74,78,87,70,91,90,68,93,91,93,78,97,82,88,78,4
46,49,40,114,34,119,131,119,34,119,44,119,44,37,44,2
86,86,104,85,95,105,83,110,99,105,85,110,85,97,82,3
86,86,100,85,99,110,83,105,103,105,85,105,82,97,93,3
90,90,104,92,108,110,90,110,108,110,89,114,89,106,89,3
82,82,96,81,99,105,83,105,95,101,85,101,82,102,82,3
83,79,91,72,92,93,76,93,92,93,80,94,80,89,80,4
75,75,88,72,84,89,69,93,75,93,64,102,57,49,50,4
96,96,112,90,115,114,90,119,111,114,92,111,88,106,84,3
83,83,103,83,102,105,83,105,106,105,80,98,84,98,80,3
71,71,77,68,79,82,65,89,84,85,76,86,76,85,68,7
74,67,75,80,69,102,83,111,40,125,53,113,46,34,46,2
47,42,37,129,34,131,135,125,34,131,43,139,43,31,43,2
93,93,111,94,111,115,91,111,106,111,88,113,88,107,88,3
89,89,106,90,111,111,91,111,106,115,92,122,88,112,84,3
