@relation satimage

@attribute Sp16 numeric
@attribute Sp17 numeric
@attribute Sp18 numeric
@attribute Sp19 numeric
@attribute Sp21 numeric
@attribute Sp23 numeric
@attribute Sp25 numeric
@attribute Sp28 numeric
@attribute Sp32 numeric
@attribute Sp34 numeric
@attribute Sp36 numeric
@attribute Sp41 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
106,114,97,70,111,97,111,76,94,106,91,99,1
112,119,98,71,108,98,111,67,101,111,101,98,1
102,114,90,74,115,97,111,76,102,115,102,99,1
99,113,92,68,99,88,79,59,79,83,83,70,1
112,128,96,64,112,96,111,71,96,107,96,96,1
103,113,96,67,107,96,109,63,96,109,92,90,1
89,102,79,60,85,79,107,64,85,91,81,96,1
79,82,65,60,92,83,77,60,79,106,91,74,1
111,119,97,67,111,94,111,72,98,111,98,99,1
112,118,96,64,107,96,107,71,96,107,96,85,1
67,89,73,47,71,73,69,50,76,66,76,70,1
102,105,87,63,88,76,111,68,94,94,79,99,1
75,89,80,60,84,80,89,68,91,98,91,88,1
107,118,92,63,87,96,113,66,100,113,100,101,1
108,119,98,75,103,98,106,74,97,111,97,94,1
75,93,73,53,71,69,77,57,72,62,68,74,1
104,112,92,63,104,92,88,59,90,99,90,87,1
99,113,87,63,103,92,104,63,92,104,92,86,1
68,85,71,51,75,79,71,56,74,79,78,75,1
87,96,83,59,83,79,79,59,81,83,81,79,1
100,112,96,66,104,96,108,75,98,99,98,97,1
107,118,96,84,112,96,103,75,96,99,92,92,1
91,101,83,75,99,86,97,74,90,115,97,94,1
89,102,76,64,77,76,112,71,85,79,81,92,1
111,124,101,63,111,101,115,60,98,106,98,96,1
108,114,98,56,70,98,106,67,97,88,97,98,1
72,85,75,59,79,79,67,52,74,71,70,72,1
99,114,90,59,99,90,88,60,83,92,87,76,1
73,90,76,50,69,72,75,56,67,68,70,71,1
113,122,103,70,113,103,112,67,98,112,98,104,1
99,109,92,67,103,92,67,59,81,87,89,79,1
102,115,94,64,106,94,107,64,96,107,96,96,1
75,92,74,56,79,78,73,56,79,81,79,80,1
71,87,74,50,75,78,83,51,79,75,79,85,1
112,119,98,67,103,90,111,67,94,106,97,98,1
111,115,102,68,115,102,121,64,99,116,96,100,1
91,104,81,64,87,81,107,67,83,91,79,100,1
99,114,90,63,103,94,106,67,90,111,97,98,1
115,120,102,68,115,98,116,68,99,116,99,104,1
108,114,94,63,103,94,106,63,90,102,94,94,1
92,105,87,63,97,90,85,60,87,98,91,85,1
111,120,98,68,111,98,112,64,99,112,99,100,1
94,106,83,60,85,87,87,56,85,83,85,87,1
92,105,80,67,92,80,102,68,83,94,83,92,1
68,85,75,63,79,83,79,56,70,67,74,75,1
106,114,90,67,102,94,98,64,91,98,87,96,1
107,118,96,67,99,83,113,74,100,109,96,98,1
73,90,75,46,73,75,71,47,69,71,73,72,1
112,119,101,79,112,101,102,74,101,115,101,98,1
103,119,90,67,103,90,106,63,87,97,87,91,1
83,100,85,56,83,85,95,63,83,87,87,92,1
75,96,78,56,75,74,75,51,75,72,71,81,1
104,117,92,66,104,92,103,59,90,95,90,87,1
84,97,86,52,81,79,84,50,83,75,80,79,1
107,118,96,71,116,100,104,63,92,104,96,94,1
103,118,88,64,91,81,111,67,96,103,92,100,1
95,109,87,67,99,92,87,63,85,96,89,86,1
91,108,89,52,83,81,95,52,86,81,79,83,1
91,105,86,79,103,90,115,93,104,120,101,91,1
98,106,91,64,94,91,103,68,92,107,92,92,1
95,104,87,71,95,87,83,66,85,83,81,86,1
95,113,92,63,95,87,91,63,89,100,92,90,1
109,112,96,66,109,100,108,67,98,108,98,101,1
79,100,81,50,75,78,87,55,87,79,83,89,1
104,117,96,70,109,100,103,63,94,108,98,97,1
87,104,87,55,83,83,91,56,85,83,81,79,1
99,113,87,63,91,87,91,63,81,87,85,79,1
109,122,100,70,113,100,108,67,90,103,90,87,1
109,122,96,63,104,89,108,75,98,99,86,97,1
113,127,96,70,113,96,108,67,98,108,98,97,1
72,89,75,51,68,71,67,52,78,75,74,75,1
88,105,90,60,92,87,94,68,91,81,83,96,1
97,110,87,67,111,94,85,64,83,98,91,81,1
87,96,81,60,83,81,91,75,92,95,87,85,1
84,97,83,63,84,80,73,60,79,81,79,81,1
70,82,72,56,84,79,71,53,76,79,73,76,1
97,114,94,57,97,90,102,57,94,94,87,92,1
81,98,79,53,77,76,79,53,78,75,78,79,1
111,118,100,71,111,96,113,66,100,109,96,98,1
81,94,79,60,77,79,79,60,85,91,81,79,1
106,125,98,64,111,98,107,64,99,107,96,96,1
104,117,92,66,100,89,91,63,83,95,83,73,1
102,115,91,68,106,94,87,64,81,103,88,79,1
115,125,98,60,111,98,112,64,99,121,96,100,1
79,93,75,59,91,83,67,52,74,79,74,68,1
103,114,94,63,103,90,102,63,94,102,94,94,1
103,114,94,67,108,98,106,63,90,106,94,94,1
112,122,99,68,112,96,111,71,96,107,92,100,1
111,118,96,71,116,100,109,66,96,109,100,98,1
107,118,96,63,107,92,104,66,92,104,92,90,1
88,105,83,60,88,83,81,53,76,85,83,78,1
111,124,104,63,111,97,102,64,98,111,98,96,1
94,98,83,57,85,87,91,56,85,91,85,87,1
