@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R3,10,14,17,19,27,29,31-33,36-37'

@attribute Sp13 numeric
@attribute Sp21 numeric
@attribute Sp25 numeric
@attribute Sp28 numeric
@attribute Sp31 numeric
@attribute Sp39 numeric
@attribute Sp42 numeric
@attribute Sp44 numeric
@attribute Sp45 numeric
@attribute Sp46 numeric
@attribute Sp49 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
98,98,95,76,104,96,75,96,71,79,71,4
94,94,87,71,87,93,71,89,67,71,62,4
98,85,83,68,87,81,71,85,62,67,62,4
86,85,83,68,87,85,71,81,67,71,62,4
106,115,99,88,113,109,84,113,87,88,92,3
111,111,112,92,118,109,88,109,92,88,87,3
106,111,103,88,104,104,79,100,79,88,79,3
106,111,99,84,108,100,88,100,79,88,83,3
78,49,54,53,71,85,55,74,67,55,62,5
104,95,91,75,96,92,74,88,70,78,70,4
118,103,107,88,109,108,86,112,85,86,81,3
118,103,103,93,109,112,86,104,81,86,81,3
108,107,103,88,109,104,86,104,81,86,85,3
87,79,75,71,77,84,74,88,66,70,66,7
104,95,100,78,96,101,83,93,75,83,72,4
100,91,91,74,92,93,79,90,68,79,68,4
113,111,109,90,112,110,87,110,90,92,86,3
113,107,109,86,108,110,92,110,90,87,86,3
100,103,100,82,104,110,83,101,79,79,79,3
113,99,100,82,104,105,83,105,83,87,83,3
104,95,100,86,108,105,83,105,86,83,79,3
77,51,63,59,73,75,63,68,57,63,60,5
92,91,91,83,97,93,78,93,73,74,69,4
92,83,91,75,93,93,67,93,80,57,90,4
104,100,48,71,97,119,53,105,97,74,76,2
112,104,103,87,105,110,85,110,83,85,83,3
100,96,95,83,101,114,89,114,87,89,87,3
90,91,88,82,97,94,80,94,72,80,68,4
105,108,106,93,114,111,92,111,87,92,87,3
105,99,102,85,101,115,84,115,87,84,91,3
105,99,102,82,114,111,84,106,83,88,87,3
105,88,106,82,105,102,80,98,79,76,76,3
72,57,79,67,74,86,72,78,61,64,57,7
119,120,131,92,125,139,88,139,103,88,103,3
101,97,98,80,102,100,80,100,74,84,78,3
119,34,31,47,131,128,46,133,132,43,135,2
110,102,115,92,120,108,88,113,92,92,92,3
114,106,115,88,111,113,92,122,92,88,85,3
105,106,102,84,106,108,84,108,85,88,85,3
114,106,102,88,115,108,88,113,85,84,81,3
94,89,99,80,100,100,84,100,79,79,75,4
94,89,91,71,96,96,67,96,83,59,100,4
102,40,45,46,133,113,44,128,137,41,150,2
115,111,107,84,108,104,84,104,83,88,87,3
111,102,103,88,108,109,88,113,87,88,87,3
