@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R1,8,10-11,17'

@attribute At1 numeric
@attribute At8 numeric
@attribute At10 numeric
@attribute At11 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
47,0,23,56,8
100,47,16,37,6
0,50,12,58,7
0,73,48,5,2
12,0,17,0,5
36,0,6,100,0
46,77,82,49,4
29,41,12,0,2
37,87,57,74,5
80,82,47,100,9
46,42,44,100,4
16,0,35,0,5
40,100,73,65,9
38,57,33,100,3
50,86,72,89,9
0,100,85,81,1
72,40,28,88,4
26,0,25,0,5
0,99,74,89,1
2,0,41,5,5
48,47,25,0,2
36,49,44,100,3
78,21,0,100,6
46,60,36,75,3
0,0,30,45,8
100,97,62,0,8
38,0,34,100,0
76,31,0,6,8
10,0,43,82,0
0,44,19,26,2
0,81,55,58,2
9,93,56,100,8
43,70,53,100,5
0,61,45,97,3
0,33,0,15,7
40,40,16,12,2
25,25,3,0,2
63,13,0,100,0
76,17,0,100,6
0,74,49,79,1
4,53,28,4,2
26,61,37,81,3
100,28,0,75,6
100,43,6,52,6
13,17,54,89,0
29,0,20,17,5
0,87,65,67,1
0,76,56,74,3
100,61,61,61,5
99,42,9,39,8
5,41,8,5,7
26,44,18,0,2
8,38,55,71,4
0,64,48,82,1
84,62,55,83,9
65,42,64,79,4
50,45,48,100,4
100,18,10,96,6
34,0,3,100,0
0,100,74,96,1
20,35,3,0,2
100,92,64,74,9
0,22,75,54,0
7,93,92,100,9
49,53,84,69,4
38,58,53,100,5
100,50,66,86,9
0,5,43,78,0
47,0,12,53,8
62,54,25,64,3
29,45,19,0,2
100,30,0,89,6
66,25,0,94,6
14,0,51,4,5
61,30,0,5,8
50,0,18,78,8
27,30,13,38,2
78,16,0,100,6
75,57,36,81,3
58,57,40,100,3
69,21,0,100,6
11,42,12,0,2
33,28,36,90,4
0,65,29,31,1
0,37,0,15,7
100,34,0,0,8
56,33,10,0,2
0,100,75,47,1
29,39,9,0,2
0,100,80,86,1
0,51,0,42,7
11,63,36,100,3
9,24,26,100,4
66,14,0,42,8
24,100,81,100,9
90,68,38,72,5
100,46,15,64,6
75,3,0,100,6
80,81,48,100,9
3,18,61,75,0
34,57,39,89,3
23,33,39,58,4
75,75,70,91,9
12,6,44,78,0
15,0,33,93,0
53,65,39,70,3
0,36,0,16,7
31,0,35,7,5
26,0,8,100,0
0,85,62,59,7
53,0,25,18,5
55,0,18,6,5
22,100,80,78,1
100,30,0,59,6
46,60,36,77,3
51,34,12,9,2
8,100,85,100,9
37,67,86,64,4
41,12,0,24,5
100,33,7,76,6
100,93,66,80,9
8,80,70,100,5
54,27,0,0,8
71,0,23,100,0
39,43,6,0,8
2,71,49,79,3
0,61,44,100,3
0,34,30,95,4
11,16,33,100,4
34,47,57,100,4
72,6,0,11,8
0,47,18,26,7
0,55,30,13,2
0,64,30,4,1
18,23,0,13,2
31,0,47,76,0
0,22,23,93,4
17,49,20,0,2
56,0,28,0,5
100,64,78,96,9
86,18,0,100,6
47,37,54,81,4
43,77,59,95,5
62,28,0,79,8
21,38,49,92,4
0,63,43,100,3
0,100,88,86,1
68,23,0,39,8
0,100,75,93,1
4,1,42,9,5
100,25,0,84,6
25,0,16,100,0
20,36,4,0,2
0,60,25,11,2
0,100,76,89,1
0,95,70,75,1
46,25,33,100,4
0,100,79,66,1
0,42,0,42,7
12,2,42,27,5
0,33,0,5,7
62,0,31,93,0
11,7,48,80,0
100,95,61,92,9
8,93,66,57,9
0,33,0,2,7
23,20,0,21,5
27,7,45,93,0
39,55,34,86,3
37,4,0,91,0
11,51,50,100,4
2,0,41,18,5
61,71,56,0,8
22,47,79,71,4
36,51,45,85,3
88,31,28,100,4
80,71,71,100,9
39,0,37,0,5
53,55,36,100,3
73,0,25,57,8
33,71,40,55,1
26,54,40,100,3
57,85,60,57,5
0,16,61,70,0
0,66,41,9,2
100,38,45,98,4
0,51,13,25,2
57,28,0,20,8
6,21,21,99,4
50,0,5,20,5
2,0,43,0,5
49,32,0,0,7
75,8,0,100,0
38,3,51,73,0
25,9,45,89,8
75,21,0,100,6
0,55,29,33,2
0,2,45,78,0
52,60,31,0,2
38,0,8,7,5
100,100,100,81,9
45,67,14,0,1
73,25,0,100,6
0,45,8,25,7
41,53,42,100,3
97,32,0,100,6
34,27,0,0,2
55,0,13,20,5
41,42,55,98,4
25,49,72,77,4
53,20,0,100,6
40,0,19,100,0
89,15,2,100,6
40,54,44,100,3
0,0,35,18,5
15,14,61,71,0
40,80,60,38,1
26,67,40,78,3
0,100,74,69,1
0,97,75,61,7
14,50,15,0,7
100,100,70,67,9
0,91,63,75,1
54,2,0,18,5
29,52,27,0,2
0,55,40,100,3
100,43,16,37,6
36,88,59,76,5
65,31,0,100,6
28,100,90,100,9
74,51,19,0,1
0,100,86,66,1
63,0,17,100,0
31,0,25,7,5
20,44,1,64,8
100,34,9,44,6
0,46,0,27,7
92,88,64,68,9
100,0,23,73,8
100,66,61,73,9
0,100,75,65,1
100,27,0,69,6
0,43,3,50,7
0,48,4,49,7
24,0,11,100,0
30,19,0,2,5
80,6,8,100,6
31,72,32,28,2
36,92,80,100,9
0,100,83,75,1
0,40,0,5,7
44,80,49,74,9
0,40,0,44,7
0,50,77,84,9
30,52,46,100,5
100,24,0,98,6
13,0,39,100,8
100,33,0,64,6
16,0,25,53,8
100,42,12,50,6
23,87,59,71,1
14,11,0,8,5
32,31,44,93,4
8,30,0,0,7
64,100,62,92,9
0,81,61,73,1
32,60,25,0,2
0,68,26,41,7
64,21,0,9,5
0,40,0,44,7
0,67,34,21,7
26,0,30,100,0
13,0,45,18,5
79,13,0,99,0
40,0,34,1,5
24,20,62,78,0
40,0,24,46,8
35,0,14,100,0
56,65,50,100,3
29,11,54,74,0
32,0,4,100,0
52,7,0,100,0
37,2,0,12,5
10,18,22,100,4
100,39,2,68,6
29,41,13,29,7
39,9,0,19,5
0,65,29,15,1
14,1,30,100,0
15,78,60,64,3
77,0,30,68,8
0,100,75,81,1
19,44,34,86,4
76,33,58,100,4
38,41,64,86,4
42,0,26,3,5
71,79,72,100,9
61,40,44,81,4
4,17,61,72,0
21,57,34,95,3
100,35,4,63,6
100,19,0,100,6
39,25,48,96,4
34,82,53,65,5
27,62,42,100,3
100,43,5,9,8
29,0,9,16,5
1,97,54,100,8
100,32,0,88,6
33,58,75,66,4
58,16,0,100,6
0,48,4,19,7
23,38,16,27,2
50,95,65,60,9
1,58,39,100,3
67,15,0,100,6
32,0,22,100,0
37,22,21,100,4
0,27,0,100,7
0,60,29,0,2
12,55,33,0,2
70,96,100,100,9
26,32,38,55,4
25,34,0,0,1
39,0,45,15,5
19,38,20,100,4
52,92,61,58,5
23,22,0,13,2
97,89,65,85,9
2,6,0,15,5
100,31,6,92,6
100,27,0,93,6
0,81,44,100,8
84,34,0,0,8
38,30,34,90,4
93,33,0,0,8
0,34,0,19,7
49,100,64,100,9
32,0,13,100,0
13,36,10,33,2
0,37,0,8,7
36,0,19,100,0
53,52,76,16,4
26,0,10,100,0
4,22,0,0,7
100,53,54,80,5
38,0,6,100,0
27,8,0,8,5
41,58,44,84,3
6,0,34,13,5
14,0,25,100,0
0,100,74,86,1
0,40,12,20,2
0,61,34,100,3
54,0,22,50,8
0,79,58,72,1
39,0,24,100,0
38,18,0,24,5
24,39,53,100,4
62,0,6,100,0
40,41,37,91,4
0,16,0,15,7
0,61,34,17,2
3,64,45,96,3
21,10,44,93,0
0,52,9,54,7
28,22,25,98,4
41,55,86,70,4
0,31,0,3,7
0,27,0,11,7
0,50,22,14,2
4,55,41,100,3
10,0,25,100,0
0,77,46,35,2
22,49,36,93,3
0,78,70,100,9
80,2,0,82,0
31,93,84,93,9
88,35,34,100,4
46,41,39,100,4
26,55,35,90,3
32,95,86,97,9
100,33,0,78,0
0,61,21,62,7
39,50,32,87,3
47,65,37,76,3
0,44,0,100,7
26,42,55,79,4
11,5,37,96,0
0,33,0,22,7
96,37,42,95,4
19,29,0,0,7
0,40,0,36,7
0,40,0,32,7
0,91,68,35,1
0,100,81,68,1
1,64,39,0,2
70,57,33,72,3
0,45,0,22,7
69,86,56,46,9
32,0,40,95,8
2,54,35,35,2
44,0,22,100,0
49,0,6,100,0
0,63,32,8,7
0,30,0,19,7
37,0,31,97,0
0,100,93,72,1
26,55,32,81,3
100,70,61,81,9
0,100,75,55,1
0,45,8,36,7
33,60,38,100,3
36,53,88,74,4
33,41,46,69,4
100,27,0,91,6
5,70,40,100,3
86,42,0,11,8
100,20,0,99,6
0,51,18,46,7
91,63,90,85,9
27,62,25,0,1
100,30,0,68,6
100,49,22,16,6
51,0,42,83,0
18,0,35,84,8
68,22,0,100,0
12,88,66,75,7
73,41,100,0,0
