@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R2,7-10,13,15-17'

@attribute At2 numeric
@attribute At7 numeric
@attribute At8 numeric
@attribute At9 numeric
@attribute At10 numeric
@attribute At13 numeric
@attribute At15 numeric
@attribute At16 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
57,100,100,76,75,28,16,0,1
87,62,64,100,79,84,18,1,9
66,34,28,0,1,58,100,1,2
100,87,47,100,65,71,66,0,4
59,44,42,80,0,33,100,70,8
99,39,0,0,27,46,100,94,5
97,9,29,84,33,77,48,0,4
83,64,69,73,43,50,10,0,3
73,54,0,100,22,52,5,84,0
88,2,0,0,30,45,100,93,5
100,1,21,48,0,70,6,55,6
60,100,92,80,69,55,55,0,1
100,0,27,4,0,78,24,21,6
100,61,0,100,21,54,9,76,0
94,20,0,5,35,42,100,98,5
98,0,13,71,8,29,9,0,6
73,81,1,100,38,44,16,68,0
100,39,0,9,15,42,100,96,5
66,47,25,5,0,50,100,7,2
100,0,42,20,12,94,4,27,6
42,86,94,100,100,62,53,0,1
38,100,100,73,76,25,0,0,1
63,100,100,85,74,71,82,0,1
70,100,89,100,67,84,71,0,1
61,72,73,53,42,58,100,4,2
85,49,0,15,29,66,0,84,8
100,89,62,100,84,31,0,0,4
80,12,0,0,31,51,100,100,5
100,0,28,46,11,100,100,0,4
100,15,26,50,0,67,0,47,6
54,0,82,12,60,95,86,0,9
78,69,58,76,47,49,0,19,3
100,2,42,62,36,92,87,0,4
66,88,32,34,0,61,77,100,8
89,43,61,9,44,62,100,0,2
100,20,28,31,0,48,0,24,6
50,79,8,100,46,37,0,84,0
66,0,67,69,72,92,86,0,9
100,44,50,100,54,52,20,0,4
76,11,0,50,35,73,0,81,8
63,54,45,28,10,50,100,0,2
100,0,28,66,27,82,69,0,4
98,59,42,32,0,47,100,42,7
100,41,0,99,0,47,0,28,6
79,71,60,100,39,41,0,14,3
65,100,90,86,65,55,49,0,1
81,23,95,84,100,74,35,0,9
95,81,45,68,5,46,100,33,7
100,0,47,54,38,91,87,0,4
90,48,31,37,0,49,100,39,7
90,10,0,70,16,96,47,82,0
99,57,28,47,0,45,100,95,8
75,75,47,43,14,49,100,1,2
100,10,39,0,11,54,10,24,6
100,25,44,100,44,68,51,0,4
97,0,53,64,54,75,66,0,4
77,49,0,93,38,48,0,70,0
81,49,52,95,38,50,0,7,3
79,59,64,41,38,54,100,0,2
70,41,36,21,0,50,100,1,1
100,50,14,29,0,50,100,39,7
83,11,0,0,30,52,100,100,5
97,0,25,45,2,61,14,0,6
91,53,77,29,52,38,0,0,5
83,63,46,57,0,60,100,34,7
100,86,62,100,77,22,6,0,4
100,17,3,72,0,59,6,39,6
68,100,100,78,75,59,81,0,1
91,6,0,58,0,100,85,100,0
91,44,55,94,43,53,0,6,3
94,22,76,50,64,66,0,0,5
61,100,95,76,71,24,22,0,1
92,50,3,0,0,45,100,100,5
87,54,65,68,55,60,0,3,3
78,70,42,40,7,56,100,3,2
100,0,28,55,24,66,58,0,4
76,43,52,46,13,71,31,0,1
100,63,37,100,37,80,74,0,4
81,83,37,52,9,47,100,2,2
98,61,74,100,81,67,0,4,9
100,74,46,100,66,78,60,0,4
92,47,80,70,54,43,0,13,5
100,29,11,85,11,46,0,0,6
100,70,34,100,64,57,26,0,4
84,57,34,16,13,50,100,0,2
71,65,37,30,0,30,100,33,7
81,52,47,100,46,46,0,9,3
69,12,68,68,69,50,0,0,9
100,2,22,81,29,56,59,0,4
90,70,98,100,61,51,0,10,9
89,16,53,100,60,57,27,0,4
79,27,90,3,62,70,35,0,9
85,41,36,50,0,58,0,26,6
100,30,40,86,49,75,63,0,4
100,0,28,14,0,46,0,30,6
72,64,33,98,0,26,100,68,8
94,43,35,92,5,3,46,68,8
100,0,27,41,0,76,19,60,6
93,89,63,60,39,44,100,4,2
76,90,80,73,60,50,60,0,1
96,25,0,78,4,77,28,100,0
85,55,53,59,39,55,0,3,3
67,12,0,0,38,55,100,100,5
100,39,9,90,0,51,0,36,6
88,51,87,8,70,47,0,0,5
100,46,15,37,0,53,100,37,7
90,65,34,40,0,14,100,44,7
63,43,75,51,35,0,27,46,8
100,93,84,90,52,45,0,2,9
100,100,86,88,60,43,0,0,9
100,98,51,80,22,91,71,43,7
59,76,77,62,51,38,0,2,1
95,94,92,59,61,49,100,0,2
54,60,82,52,57,88,100,0,1
42,63,74,57,37,44,100,2,1
93,23,0,0,29,100,9,98,8
59,25,19,77,49,43,0,70,8
91,68,44,45,0,0,76,35,7
80,38,44,0,20,58,100,15,2
100,100,93,72,75,44,52,0,7
95,10,68,0,18,100,17,44,8
53,51,61,79,24,0,61,56,8
31,11,81,65,52,38,9,26,8
99,55,12,4,0,100,63,94,8
88,75,0,100,35,50,6,95,0
87,70,0,0,13,100,41,100,8
99,73,32,12,0,19,100,100,5
82,69,44,36,20,48,100,16,2
95,100,13,17,0,99,37,100,8
100,54,38,100,52,68,57,0,4
100,50,0,100,18,59,4,88,0
87,57,57,100,40,41,0,12,3
45,100,100,82,79,41,20,0,1
100,100,83,76,74,55,0,0,9
43,93,100,100,86,49,31,0,1
79,62,59,93,64,46,0,0,9
75,66,69,68,44,60,6,1,3
39,100,100,92,87,71,68,0,1
100,75,46,100,78,65,48,0,4
86,62,42,34,0,45,100,43,7
77,71,70,81,73,53,0,2,9
100,5,34,69,40,72,57,0,4
85,87,39,56,0,25,88,33,7
0,92,56,97,88,57,100,65,9
100,0,26,26,0,53,15,7,6
65,100,100,78,75,32,12,0,1
83,42,63,52,47,60,2,0,3
0,95,52,100,80,46,74,63,9
90,22,57,61,52,51,0,0,5
60,59,52,53,5,60,100,0,1
100,82,47,100,64,77,73,0,4
92,77,48,41,27,35,89,0,2
91,88,5,24,0,29,100,100,5
100,22,47,0,24,36,7,23,6
100,34,39,100,39,61,37,0,4
93,73,41,41,9,19,100,33,7
100,10,9,58,0,49,0,8,6
100,100,54,61,95,75,6,21,0
85,56,0,0,21,100,29,82,8
61,39,55,37,16,50,100,8,1
82,50,5,35,0,66,100,62,7
92,100,43,88,100,61,0,11,0
84,39,52,90,41,52,0,5,3
66,69,41,37,0,76,8,93,8
76,0,0,37,35,100,17,76,8
71,69,63,53,29,57,100,10,2
74,41,0,3,27,100,0,95,8
92,62,40,31,0,38,100,27,7
100,52,0,100,21,53,12,66,0
81,48,40,12,3,50,100,0,2
95,26,77,26,55,43,0,0,5
100,23,0,6,39,48,100,95,5
100,6,0,63,2,93,38,74,0
97,65,0,100,29,66,16,93,0
100,75,44,100,63,73,67,0,4
88,45,0,43,40,68,8,69,8
100,17,98,65,71,68,0,0,9
88,68,34,34,0,0,78,50,7
100,48,32,100,32,60,43,0,4
80,87,11,100,61,26,0,61,0
72,100,88,87,45,61,89,34,7
100,35,0,0,28,100,42,94,8
87,64,70,74,52,62,0,0,3
90,43,0,15,22,38,100,100,5
75,62,35,100,0,31,93,74,8
91,32,83,94,70,73,0,0,9
85,26,55,83,58,55,0,0,3
84,49,33,43,0,41,97,100,8
87,64,58,62,36,55,0,1,3
100,0,32,8,0,55,6,27,6
71,53,37,13,0,34,16,83,8
100,0,23,44,0,84,26,47,6
68,47,100,100,86,75,44,0,9
100,19,58,12,43,0,6,0,1
73,81,63,93,44,50,0,11,3
100,100,70,99,87,84,73,0,4
61,55,57,42,15,50,100,7,1
88,30,0,82,6,74,26,100,0
66,70,79,45,49,66,100,1,2
97,42,0,91,17,60,8,100,0
100,20,46,66,50,87,100,0,4
97,40,82,78,55,52,0,0,9
86,44,44,3,22,54,100,0,2
100,55,0,30,39,94,28,84,8
100,95,88,94,54,41,0,13,9
80,58,72,50,47,53,0,5,3
99,0,0,19,29,100,54,100,8
86,71,0,100,49,29,17,41,0
68,63,46,47,7,49,100,2,1
91,19,0,0,33,100,24,100,8
79,81,73,77,45,0,15,3,1
100,25,28,96,34,77,77,0,4
100,16,0,0,33,54,100,92,5
80,36,37,9,8,54,100,0,2
100,37,0,81,8,70,26,91,0
51,90,13,100,54,27,12,61,0
77,100,80,68,59,40,0,0,3
56,100,99,79,71,60,0,0,1
100,70,38,37,4,22,97,30,7
85,74,35,40,1,0,81,37,7
83,74,47,100,24,32,0,16,3
98,10,96,67,67,50,0,22,9
90,75,71,59,50,39,0,0,3
95,90,36,100,75,76,65,0,4
82,74,68,60,50,41,0,0,3
72,0,78,52,71,69,39,0,9
78,46,39,0,0,24,23,85,8
100,3,22,48,0,57,0,19,6
66,89,58,83,16,0,94,4,1
100,58,24,100,35,82,78,0,4
65,89,11,100,54,23,0,64,0
97,75,38,61,4,0,90,28,7
100,53,34,93,43,80,59,0,4
87,49,64,73,47,60,0,3,3
100,11,29,38,0,55,0,29,6
87,90,82,90,92,43,49,0,9
100,18,18,62,0,55,0,34,6
100,66,56,100,69,90,94,0,4
56,100,100,79,76,47,42,0,1
72,47,35,9,7,50,100,0,2
0,100,70,72,100,36,99,58,9
63,60,57,27,26,50,100,12,2
72,86,66,73,38,42,0,17,3
98,92,96,100,93,43,0,0,9
89,51,34,44,0,55,100,37,7
80,100,70,66,39,23,97,0,2
80,84,67,52,46,0,47,0,2
74,51,64,85,47,53,0,9,3
100,1,34,0,0,45,5,23,6
70,100,100,84,75,81,97,0,1
84,0,0,2,47,54,100,99,5
45,89,24,100,70,36,18,39,0
100,4,24,37,0,67,22,6,6
68,100,100,98,75,92,88,0,1
76,71,64,59,52,42,0,18,3
74,53,60,75,45,55,0,1,3
91,48,57,93,81,74,57,0,9
85,85,66,88,40,52,0,0,3
96,96,52,74,21,19,67,39,7
100,42,0,86,20,73,25,85,0
91,51,59,78,37,56,0,0,3
62,100,100,80,74,42,36,0,1
