@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R4-5,10,13,15-17'

@attribute At4 numeric
@attribute At5 numeric
@attribute At10 numeric
@attribute At13 numeric
@attribute At15 numeric
@attribute At16 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
100,89,30,50,100,0,2
76,0,0,56,15,10,6
100,24,0,77,9,55,6
100,83,39,55,0,0,3
42,11,41,49,9,69,0
79,0,46,46,19,0,4
30,42,56,33,0,73,0
57,0,28,61,8,86,0
47,98,69,71,0,0,9
100,29,6,46,0,30,6
83,97,10,21,100,7,1
100,76,0,68,0,41,7
100,100,62,48,0,0,5
77,18,0,97,23,22,6
67,0,11,100,64,93,0
79,71,74,57,58,0,1
100,58,0,61,100,5,2
67,65,75,47,34,0,1
100,100,48,44,0,16,3
100,100,8,3,84,38,7
100,76,21,50,100,4,2
100,100,50,45,0,11,3
100,91,42,41,0,7,3
100,76,43,50,100,0,2
100,25,0,72,10,51,6
91,7,0,41,19,0,6
100,87,47,55,0,0,3
100,100,23,18,72,1,2
70,0,21,76,72,0,4
46,61,13,35,100,100,5
100,64,2,56,100,0,2
56,68,76,70,70,0,1
100,59,64,51,40,0,7
81,74,75,28,11,0,1
100,13,87,65,0,0,9
100,100,40,38,0,22,3
100,10,8,32,100,55,8
100,87,43,47,0,0,5
100,55,45,78,11,0,5
100,76,7,51,100,6,2
81,100,62,42,63,0,1
100,37,52,51,0,0,9
2,81,100,9,0,0,0
100,40,31,56,100,0,2
48,84,65,84,9,11,8
69,0,23,62,14,84,0
85,100,61,15,0,0,1
80,32,99,60,43,0,4
95,100,46,0,3,0,1
100,19,27,94,100,0,4
100,70,42,50,0,4,3
76,0,41,74,57,0,4
99,58,15,60,100,0,2
64,82,0,28,100,100,5
100,52,12,97,100,32,2
59,100,69,75,0,0,9
82,84,66,76,84,0,1
35,57,72,0,1,31,0
100,96,10,44,100,3,2
61,67,80,68,62,0,1
100,65,36,63,100,0,2
100,55,76,48,38,0,7
100,79,41,63,24,16,3
100,77,0,50,100,7,1
100,29,0,53,100,91,8
75,71,23,45,100,91,5
91,0,24,88,100,0,4
59,8,27,60,0,100,0
100,20,28,88,100,0,4
100,100,24,18,56,46,7
100,73,26,0,100,3,1
100,8,11,100,38,24,6
100,73,32,41,0,19,3
77,81,72,74,85,0,1
41,8,47,42,7,67,0
100,12,53,49,0,5,5
100,9,0,100,90,85,0
37,100,41,60,0,83,8
82,18,0,64,12,7,6
100,83,0,45,100,51,7
95,26,0,45,100,100,8
63,56,75,54,31,0,1
81,0,0,100,61,73,0
100,100,37,52,0,3,3
98,89,0,48,100,47,7
95,64,39,38,0,7,3
100,73,12,49,100,38,7
63,89,14,26,100,100,5
65,0,24,77,26,93,0
100,80,46,52,0,4,3
100,0,0,35,100,86,8
79,0,59,69,68,0,4
100,23,0,100,89,90,0
64,62,1,31,100,100,5
68,0,18,50,57,0,4
87,56,74,65,22,0,9
91,31,0,51,100,87,8
86,85,21,23,100,8,1
80,52,49,65,6,2,9
77,0,35,74,59,0,4
76,0,41,82,73,0,4
67,3,27,54,0,74,0
86,30,0,76,16,35,6
96,75,71,36,47,0,7
100,27,0,58,23,15,6
55,62,80,91,81,0,1
100,77,20,51,100,22,2
88,30,5,49,6,25,6
75,79,73,100,93,0,1
100,0,0,33,98,84,8
100,98,42,45,0,0,3
84,18,0,84,24,27,6
100,55,23,52,100,5,2
100,100,40,41,0,14,3
100,100,48,91,36,0,3
91,45,22,64,16,15,6
61,60,15,51,100,100,5
84,7,30,74,70,0,4
95,100,49,47,0,2,1
9,60,71,32,0,63,0
100,100,43,27,0,16,3
100,73,16,54,100,0,2
82,49,17,50,100,3,2
100,72,12,43,100,0,2
100,70,38,31,100,6,2
89,43,0,35,83,73,8
100,85,48,48,0,12,5
100,96,39,51,0,14,3
100,64,0,47,100,41,7
57,42,36,49,100,98,5
53,33,38,38,0,74,0
100,54,64,50,0,9,9
59,96,71,66,0,0,9
92,16,50,57,1,17,5
63,8,70,89,100,0,4
100,100,2,15,87,38,7
96,1,58,96,39,9,9
83,6,32,89,80,0,4
95,100,56,64,2,0,5
72,0,75,61,43,0,4
76,0,34,93,86,0,4
90,70,22,36,100,3,1
74,0,27,54,14,75,0
100,63,0,48,100,36,7
55,18,52,34,43,5,0
73,0,70,33,8,0,4
100,74,39,64,7,0,3
77,13,0,43,0,5,6
100,100,7,7,81,35,7
79,28,0,58,0,19,6
100,68,15,59,100,0,2
100,91,40,56,0,7,3
94,38,13,51,5,23,6
77,0,36,76,60,0,4
100,89,0,44,100,25,7
70,77,75,44,62,0,1
70,76,5,97,27,91,8
54,25,35,41,6,62,0
94,47,62,91,80,0,9
92,94,0,52,0,80,8
83,0,0,48,32,5,6
77,82,75,9,3,0,1
100,71,39,19,0,27,3
100,50,2,58,100,17,2
61,69,94,48,33,0,1
100,0,71,87,88,0,9
100,46,42,51,0,3,5
100,51,2,65,100,1,2
71,0,58,77,69,0,4
100,78,0,34,100,45,7
95,0,4,74,24,98,0
67,100,48,60,43,52,8
80,41,0,38,0,12,6
74,0,25,95,100,0,4
100,70,46,42,0,3,3
100,59,21,52,100,1,2
61,77,19,12,100,100,5
64,0,27,83,33,79,0
100,65,38,68,91,35,7
100,58,15,50,100,2,2
100,61,0,60,100,1,2
80,75,54,78,49,0,9
79,0,8,74,27,97,0
100,0,80,67,13,0,9
46,54,55,51,100,100,5
31,40,55,37,0,75,0
65,81,75,87,0,0,9
86,61,1,100,35,88,8
72,52,16,48,100,100,5
96,7,86,69,0,0,9
100,60,16,50,100,1,2
100,5,0,32,100,75,8
94,0,61,64,60,0,4
100,76,23,50,100,1,2
69,0,9,88,46,92,0
100,19,82,38,0,0,9
62,0,67,63,56,0,4
46,4,30,59,12,82,0
100,78,41,53,0,0,3
100,87,40,30,0,15,3
75,84,75,77,81,0,1
100,48,77,48,0,0,9
100,11,69,53,0,1,9
92,100,42,35,100,9,2
57,66,76,40,44,0,1
100,79,52,50,0,5,3
100,95,53,57,0,0,3
100,57,22,52,100,0,2
79,18,0,66,3,39,6
49,26,51,24,27,29,0
74,19,0,58,0,10,6
78,0,29,76,55,0,4
79,0,27,76,60,0,4
100,100,57,44,0,0,3
95,62,0,39,100,43,7
42,67,94,51,42,0,1
100,80,0,19,100,52,7
100,60,41,43,0,18,3
41,62,93,24,0,0,1
100,100,65,55,0,0,5
100,87,36,51,100,0,2
100,84,43,68,22,2,3
99,66,49,61,100,0,2
63,0,36,64,43,0,4
66,0,28,59,7,88,0
66,0,100,40,12,0,9
98,27,48,63,3,10,9
38,73,94,73,81,0,1
73,0,3,85,44,98,0
100,61,0,50,100,3,2
100,86,33,49,0,11,3
100,70,45,48,0,6,3
92,88,34,41,100,0,2
100,47,1,50,100,0,2
45,21,41,37,9,59,0
97,55,60,40,0,34,9
70,0,21,69,30,73,0
100,100,39,51,0,6,3
67,59,30,41,100,98,5
100,70,0,52,100,53,7
87,0,62,47,19,0,4
66,100,78,70,59,0,9
100,73,0,46,100,48,7
69,0,37,55,23,0,4
100,0,75,84,51,0,9
96,0,0,57,1,12,6
34,20,66,65,100,100,5
100,0,70,35,6,0,4
100,29,22,100,88,0,4
100,26,55,33,0,16,5
75,11,56,58,60,0,4
100,73,10,51,100,0,2
61,81,9,16,100,99,5
100,78,0,47,100,54,7
70,78,25,40,100,95,5
65,73,0,26,100,100,5
100,90,16,50,100,0,2
98,70,0,45,100,46,7
16,77,96,54,87,48,9
92,15,6,100,45,29,6
75,0,72,48,23,0,4
79,75,75,70,58,0,1
52,47,2,43,100,95,5
100,74,0,34,100,46,7
82,89,67,34,13,0,1
100,57,11,58,100,0,2
60,51,40,42,100,96,5
100,0,52,50,8,12,5
80,96,70,13,0,0,1
99,59,35,59,11,0,3
47,100,35,63,2,72,8
100,43,55,63,0,0,5
