@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R2-3,5,8,10-11,14,17'

@attribute At2 numeric
@attribute At3 numeric
@attribute At5 numeric
@attribute At8 numeric
@attribute At10 numeric
@attribute At11 numeric
@attribute At14 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
100,3,26,35,71,73,49,4
74,54,0,59,67,100,4,9
77,47,100,66,46,99,0,3
58,19,78,62,28,0,1,2
91,9,28,0,38,86,100,0
93,0,50,100,81,43,28,7
91,72,87,43,45,90,0,3
79,61,78,41,16,1,1,2
100,40,18,19,20,92,35,4
100,67,86,37,0,6,45,7
93,0,54,0,9,54,96,8
100,46,13,19,0,100,36,6
100,1,51,0,14,6,93,5
70,53,64,78,57,83,14,1
78,18,59,100,82,66,29,7
92,85,90,34,0,0,43,7
86,44,0,67,94,89,31,9
97,43,58,17,0,8,34,7
100,36,0,37,38,100,25,4
100,68,38,44,14,36,23,6
96,45,100,83,63,45,21,7
92,22,58,0,32,13,98,5
96,40,60,27,0,20,42,7
73,32,0,100,82,96,23,9
74,28,69,63,28,28,0,2
82,34,0,100,85,77,25,9
79,66,83,51,49,91,0,3
100,56,42,7,0,95,37,6
45,95,69,86,59,74,32,9
89,41,87,98,75,68,25,7
80,23,87,68,44,100,0,3
96,66,63,88,53,66,0,9
100,54,17,35,5,66,29,6
100,30,0,49,72,77,28,4
85,100,99,86,60,63,1,5
97,66,30,55,59,61,0,5
65,50,0,46,6,42,45,8
84,40,76,33,0,5,44,7
52,37,76,100,75,53,22,1
76,58,21,27,0,100,36,6
85,50,79,50,44,100,2,3
69,10,67,0,13,17,92,5
99,56,31,73,90,94,13,9
100,51,18,28,0,78,20,6
100,26,1,33,0,0,61,8
100,67,83,33,0,0,31,7
66,56,23,34,0,0,58,8
86,62,92,64,46,100,0,3
96,45,100,83,62,60,17,7
92,39,67,37,0,17,41,7
96,100,44,73,60,85,17,5
71,72,32,35,0,0,45,8
100,4,0,36,50,66,34,4
85,0,18,0,11,100,87,0
100,3,0,51,78,90,27,4
95,17,83,0,14,42,81,8
96,84,100,58,35,90,0,3
96,10,59,87,64,69,22,7
99,16,67,0,17,44,77,8
82,37,83,0,32,81,100,8
100,14,61,0,3,15,91,5
99,19,55,98,58,100,0,9
86,63,20,43,47,90,0,5
87,48,0,100,96,89,31,9
100,0,37,43,80,66,42,4
78,29,13,27,49,100,100,8
82,35,73,60,49,100,4,3
69,29,77,64,38,100,0,3
84,27,0,68,51,20,17,1
49,34,81,53,16,0,3,2
59,57,100,72,44,53,1,1
0,42,79,64,96,40,73,9
79,35,78,50,48,100,0,3
83,32,75,69,49,100,15,3
100,93,79,31,0,0,53,7
53,10,0,6,48,100,84,0
42,10,68,100,75,61,25,1
100,17,60,0,20,0,91,5
70,73,62,26,0,0,3,1
77,78,94,43,15,0,0,2
87,32,67,50,23,16,3,2
94,13,0,0,7,100,83,0
52,56,100,85,51,89,0,1
