@relation penbased

@attribute At2 numeric
@attribute At5 numeric
@attribute At9 numeric
@attribute At11 numeric
@attribute At16 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
100,0,86,100,9,0
92,0,81,100,100,0
89,36,100,77,67,0
80,31,100,72,51,0
97,22,100,83,57,0
99,6,95,100,90,0
68,25,27,77,83,0
37,42,100,73,62,0
100,0,71,100,94,0
100,0,100,100,89,0
95,8,93,100,78,0
84,35,100,65,24,0
81,54,100,48,4,0
100,18,100,96,72,0
97,19,100,98,93,0
100,27,100,85,53,0
93,0,55,92,100,0
100,18,46,95,95,0
100,11,100,95,77,0
100,26,100,92,79,0
88,25,100,94,86,0
91,22,100,82,33,0
100,32,100,79,56,0
100,12,100,97,53,0
88,0,78,100,91,0
100,10,100,94,74,0
100,0,71,100,92,0
98,0,86,100,86,0
57,40,100,81,54,0
90,34,100,57,24,0
91,0,66,90,100,0
100,0,71,100,89,0
100,1,80,100,81,0
82,30,100,70,50,0
93,0,78,100,70,0
53,36,0,52,66,0
47,52,100,62,22,0
100,0,100,96,49,0
100,0,87,100,89,0
93,4,86,100,86,0
100,0,78,100,81,0
91,5,90,100,91,0
97,0,94,100,44,0
92,0,86,100,93,0
86,37,100,74,60,0
76,17,36,81,88,0
100,9,90,100,97,0
59,60,100,65,51,0
100,0,33,82,86,0
47,39,4,55,76,0
47,43,0,31,61,0
96,0,79,100,99,0
77,21,100,67,28,0
100,0,69,100,85,0
94,16,100,98,73,0
100,0,84,100,86,0
80,3,97,100,59,0
87,26,100,92,65,0
83,0,91,100,74,0
83,40,100,71,57,0
80,35,100,77,76,0
100,0,77,100,96,0
70,14,93,100,74,0
94,0,84,100,100,0
94,0,83,100,75,0
70,54,100,68,52,0
100,0,91,100,84,0
100,0,83,100,89,0
95,14,100,91,59,0
97,11,100,92,76,0
78,0,91,100,71,0
59,35,100,80,88,0
96,0,61,97,100,0
72,26,100,85,66,0
55,0,89,100,69,0
100,4,100,73,25,0
87,0,62,100,92,0
92,18,100,72,49,0
100,0,51,94,97,0
100,1,89,100,94,0
100,14,100,77,0,0
100,0,81,100,96,0
77,29,100,84,72,0
92,0,100,86,56,0
70,57,100,69,48,0
100,0,67,97,88,0
100,0,71,100,97,0
100,0,82,100,88,0
82,0,83,100,100,0
94,23,100,84,69,0
74,39,100,83,71,0
89,46,70,44,22,0
89,2,91,100,100,0
84,2,98,100,99,0
81,22,100,87,64,0
92,15,100,96,92,0
94,5,98,100,84,0
58,38,100,82,74,0
91,0,58,97,100,0
40,58,100,70,59,0
99,0,70,100,100,0
98,0,73,100,100,0
91,26,100,86,75,0
45,65,100,72,61,0
66,32,100,82,76,0
100,0,78,100,75,0
78,16,45,99,100,0
98,0,77,100,97,0
93,21,100,100,68,0
81,34,100,70,49,0
100,0,79,100,91,0
100,0,85,100,99,0
97,0,73,100,94,0
100,15,100,92,63,0
91,0,67,100,100,0
93,12,99,100,78,0
100,0,81,100,72,0
100,0,72,100,81,0
97,0,88,100,84,0
63,1,75,100,54,0
89,29,100,85,92,0
78,26,90,100,100,0
89,11,96,100,92,0
62,45,100,86,83,0
92,17,100,91,87,0
95,22,100,100,75,0
100,20,94,100,90,0
100,0,58,100,96,0
65,40,100,87,80,0
54,27,8,53,72,0
62,7,100,92,69,0
97,0,70,100,100,0
74,27,100,82,74,0
63,25,11,57,68,0
90,13,100,90,77,0
72,21,99,100,81,0
82,8,100,99,64,0
100,0,60,100,72,0
70,34,100,90,83,0
73,22,100,94,58,0
100,0,70,100,70,0
100,20,100,93,76,0
63,36,100,68,42,0
91,49,100,62,42,0
88,9,100,100,73,0
62,58,100,69,60,0
90,0,67,100,100,0
98,0,85,100,100,0
26,77,88,55,52,0
100,4,100,100,89,0
95,13,41,91,91,0
96,0,96,100,88,0
59,5,36,95,100,0
70,10,48,100,81,0
90,21,100,86,59,0
77,0,73,100,100,0
97,0,86,100,93,0
91,13,100,100,88,0
100,0,80,100,94,0
75,31,100,57,32,0
77,0,93,100,70,0
94,4,94,100,99,0
100,7,100,89,88,0
100,6,100,88,64,0
85,16,95,100,89,0
100,0,68,100,90,0
75,27,100,96,65,0
79,0,59,100,100,0
75,21,100,88,67,0
86,1,90,100,77,0
100,0,79,100,69,0
95,9,100,98,85,0
100,0,82,100,93,0
67,29,100,64,28,0
100,17,100,89,50,0
99,0,59,100,100,0
83,21,100,87,71,0
100,0,87,100,85,0
75,71,96,66,63,0
81,0,60,100,92,0
80,0,61,100,100,0
98,0,91,100,99,0
91,0,85,100,97,0
100,0,66,100,84,0
100,8,31,75,79,0
100,0,78,100,98,0
100,0,78,100,83,0
49,27,3,41,57,0
100,0,72,100,92,0
46,46,0,29,55,0
80,13,100,79,26,0
100,0,82,100,89,0
100,12,94,100,97,0
100,0,70,100,88,0
86,0,70,100,100,0
85,35,65,21,0,0
100,0,78,100,79,0
84,0,87,100,88,0
100,0,100,91,49,0
64,55,100,74,54,0
25,33,38,100,85,0
82,30,100,74,53,0
85,12,88,100,92,0
96,42,100,76,62,0
100,0,73,100,93,0
100,5,100,95,66,0
100,8,100,96,80,0
82,1,53,100,97,0
59,33,100,94,79,0
100,1,82,100,96,0
82,0,78,100,100,0
42,71,87,45,41,0
73,41,100,78,77,0
67,50,100,72,67,0
100,24,100,74,19,0
100,8,98,100,67,0
71,44,100,69,51,0
64,1,91,100,92,0
100,0,72,100,74,0
63,51,100,55,52,0
86,22,100,78,41,0
100,0,53,95,99,0
100,0,81,100,88,0
100,0,53,97,95,0
92,0,79,100,100,0
94,0,87,100,85,0
62,47,100,76,78,0
55,15,88,100,100,0
87,7,100,99,77,0
78,25,100,90,76,0
59,43,100,65,41,0
72,21,100,90,75,0
96,12,82,100,99,0
92,39,100,79,70,0
75,66,98,68,78,0
98,13,100,81,67,0
49,60,100,75,63,0
76,11,100,97,69,0
87,0,79,100,73,0
87,0,82,100,100,0
97,0,59,94,100,0
100,0,78,100,98,0
65,41,100,70,64,0
72,47,100,73,68,0
90,15,100,97,92,0
100,14,98,100,76,0
85,0,74,100,100,0
93,9,100,95,68,0
100,0,74,100,98,0
85,45,100,81,72,0
100,0,47,95,97,0
100,13,88,100,98,0
88,37,100,77,78,0
76,15,98,100,90,0
90,16,100,76,33,0
82,0,71,100,100,0
100,0,59,100,69,0
100,10,100,98,89,0
100,9,84,100,95,0
98,0,93,100,60,0
80,5,34,85,97,0
100,24,100,90,21,0
93,0,100,95,62,0
100,0,73,100,99,0
86,25,100,86,69,0
87,41,100,70,51,0
56,33,1,54,67,0
77,26,100,87,69,0
100,47,100,74,76,0
100,5,100,100,88,0
100,0,61,100,98,0
84,7,100,100,69,0
100,2,86,100,97,0
56,40,100,90,84,0
67,24,9,57,75,0
100,0,82,100,97,0
67,48,100,69,43,0
51,43,100,75,61,0
