@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R5,10-11,16-17'

@attribute At5 numeric
@attribute At10 numeric
@attribute At11 numeric
@attribute At16 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
72,75,50,0,1
0,79,100,1,9
59,1,16,1,2
15,65,74,0,4
0,0,8,70,8
79,27,8,94,5
0,33,100,0,4
88,43,100,0,3
10,22,95,84,0
40,30,20,93,5
0,0,100,55,6
80,69,65,0,1
28,0,60,21,6
20,21,93,76,0
52,35,0,98,5
0,8,100,0,6
30,38,87,68,0
51,15,5,96,5
80,0,0,7,2
16,12,100,27,6
59,100,80,0,1
92,76,49,0,1
79,74,75,0,1
90,67,92,0,1
59,42,31,4,2
100,29,58,84,8
39,84,63,0,4
35,31,16,100,5
26,11,97,0,4
31,0,100,47,6
65,60,90,0,9
97,47,100,19,3
0,36,100,0,4
30,0,0,100,8
64,44,23,0,2
43,0,77,24,6
38,46,76,84,0
8,72,100,0,9
0,54,82,0,4
83,35,100,81,8
64,10,0,0,2
5,27,100,0,4
78,0,28,42,7
37,0,100,28,6
78,39,85,14,3
82,65,70,0,1
0,100,94,0,9
91,5,55,33,7
15,38,100,0,4
65,0,14,39,7
0,16,100,82,0
17,0,7,95,8
94,14,0,1,2
33,11,35,24,6
0,44,91,0,4
0,54,100,0,4
0,38,100,70,0
68,38,100,7,3
60,38,19,0,2
48,0,0,1,1
62,0,0,39,7
55,30,10,100,5
0,2,100,0,6
90,52,58,0,5
71,0,40,34,7
0,77,48,0,4
0,0,100,39,6
91,75,62,0,1
0,0,97,100,0
74,43,100,6,3
83,64,100,0,5
78,71,49,0,1
51,0,12,100,5
89,55,100,3,3
80,7,14,3,2
14,24,100,0,4
51,13,100,0,1
0,37,89,0,4
98,9,0,2,2
93,81,99,4,9
0,66,89,0,4
85,54,82,13,5
5,11,100,0,6
0,64,89,0,4
76,13,0,0,2
91,0,0,33,7
82,46,98,9,3
44,69,80,0,9
0,29,100,0,4
63,61,98,10,9
0,60,100,0,4
100,62,78,0,9
61,0,93,26,6
0,49,100,0,4
25,0,59,30,6
0,0,7,68,8
0,5,23,68,8
8,0,100,60,6
93,39,28,4,2
100,60,57,0,1
0,4,100,100,0
83,39,100,3,3
57,38,12,100,5
32,0,100,36,6
100,70,32,0,5
47,0,6,37,7
85,0,4,44,7
80,35,47,46,8
83,52,77,2,9
77,60,73,0,9
100,22,72,43,7
100,51,57,2,1
18,61,4,0,2
80,57,60,0,1
70,37,48,2,1
47,29,59,98,8
48,49,100,70,8
100,0,25,35,7
68,20,16,15,2
67,75,53,0,7
84,18,74,44,8
62,24,29,56,8
46,52,100,26,8
0,0,24,94,8
33,35,87,95,0
68,13,45,100,8
48,0,5,100,5
93,20,0,16,2
56,0,48,100,8
0,52,97,0,4
5,18,100,88,0
83,40,90,12,3
72,79,62,0,1
59,74,77,0,9
56,86,75,0,1
41,64,80,0,9
80,44,100,1,3
76,87,82,0,1
0,78,81,0,4
85,0,21,43,7
21,73,78,2,9
0,40,100,0,4
100,0,30,33,7
66,88,61,65,9
21,0,100,7,6
87,75,54,0,1
86,47,100,0,3
74,80,73,63,9
31,52,83,0,5
60,5,16,0,1
20,64,84,0,4
100,27,0,0,2
88,0,0,100,5
46,24,3,23,6
0,39,93,0,4
97,9,27,33,7
23,0,100,8,6
29,95,0,21,0
42,21,45,82,8
41,16,0,8,1
48,0,32,62,7
26,100,13,11,0
57,41,100,5,3
100,0,81,93,8
93,35,100,76,8
64,29,28,10,2
74,27,59,95,8
87,0,0,27,7
5,21,95,66,0
67,3,0,0,2
70,55,64,0,5
57,39,0,95,5
0,2,100,74,0
19,29,98,93,0
0,63,72,0,4
100,40,90,69,8
85,71,100,0,9
100,0,16,50,7
0,32,84,0,4
46,61,69,61,0
77,45,75,34,7
44,28,53,94,8
77,52,100,0,3
51,22,9,100,5
6,0,0,74,8
100,70,94,0,9
28,58,100,0,3
4,0,0,100,8
92,36,100,1,3
14,0,62,27,6
100,0,82,83,8
9,0,99,47,6
0,86,97,0,9
25,43,6,0,1
99,44,100,11,3
43,87,97,0,4
60,15,0,7,1
0,6,100,100,0
45,49,35,1,2
0,17,100,100,0
8,50,77,0,4
68,55,100,0,9
74,22,0,0,2
58,39,100,84,8
71,54,79,13,9
100,47,90,5,3
35,29,60,100,8
22,49,78,41,0
81,7,0,2,1
50,33,65,100,8
100,45,74,3,1
0,34,100,0,4
51,33,8,92,5
43,8,7,0,2
4,8,100,91,0
43,54,75,61,0
86,59,73,0,3
100,71,74,0,1
