@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R5,8,10-11,14,17'

@attribute At5 numeric
@attribute At8 numeric
@attribute At10 numeric
@attribute At11 numeric
@attribute At14 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
0,0,13,100,87,0
100,46,0,93,55,8
6,37,63,73,47,4
4,22,0,100,38,6
100,86,54,99,2,5
44,23,64,70,92,0
73,39,0,0,9,1
71,52,47,100,0,3
52,15,63,72,97,0
7,0,31,91,95,0
5,32,39,100,24,4
0,40,53,98,34,4
30,5,54,70,100,0
0,10,0,100,47,6
100,0,26,51,94,8
95,64,48,82,15,1
78,100,68,93,9,9
100,81,50,66,0,1
17,77,76,92,0,9
100,63,29,42,31,7
59,27,5,5,16,2
48,100,78,72,24,1
37,50,21,22,26,6
4,0,30,100,100,0
0,16,0,100,28,6
84,52,16,0,7,2
36,26,0,81,23,6
22,50,47,68,0,5
25,24,0,79,29,6
20,44,47,89,0,5
26,67,55,74,1,5
63,100,75,88,25,1
0,100,88,80,28,9
54,87,37,40,7,1
66,0,32,100,100,8
12,0,33,94,94,0
47,100,75,75,24,1
47,25,66,76,80,0
51,50,22,12,1,2
90,57,55,100,0,3
80,54,34,77,0,3
21,27,0,75,29,6
0,0,2,100,88,0
26,88,54,69,6,5
14,0,33,96,100,0
88,60,35,100,0,3
70,34,6,0,10,2
100,90,69,54,13,5
100,50,4,77,40,8
75,45,0,82,33,7
100,39,0,22,37,7
90,67,56,100,2,3
68,63,34,6,0,2
61,24,0,3,92,5
95,67,44,18,2,2
52,44,0,0,12,1
0,27,0,40,73,8
10,41,4,4,39,8
0,0,6,100,76,0
93,42,7,36,27,7
5,28,0,100,31,6
88,0,29,62,100,8
96,75,45,51,0,1
77,50,26,0,0,2
70,26,0,7,63,8
0,35,0,22,60,8
82,0,28,0,89,5
0,0,9,100,94,0
35,29,0,0,64,8
62,100,74,68,23,1
93,56,28,71,0,1
0,46,62,94,34,4
77,74,37,95,13,7
62,40,88,60,64,0
70,45,5,54,25,7
46,100,85,78,29,1
99,100,65,100,0,9
66,21,0,15,21,2
99,92,69,93,7,5
66,100,75,85,24,1
63,34,81,54,82,0
100,66,44,97,0,3
71,36,12,15,1,2
81,78,57,100,0,5
46,0,13,43,100,8
0,100,67,100,0,9
89,40,0,35,42,7
0,0,10,100,100,0
90,37,2,27,30,7
63,100,84,86,27,1
95,50,25,0,0,2
61,0,17,0,96,5
49,45,36,66,51,8
23,22,15,100,19,6
2,0,27,100,100,0
0,29,60,100,35,4
88,43,0,36,42,7
100,100,46,0,11,8
20,14,40,75,50,4
0,0,10,100,100,0
57,64,30,11,0,2
72,41,0,22,36,7
0,32,40,100,28,4
56,0,36,12,100,5
36,22,0,0,65,8
51,0,22,4,100,5
0,0,11,100,70,0
24,11,51,82,100,0
62,35,8,5,3,2
26,26,0,12,91,5
27,90,71,100,0,9
1,0,30,98,100,0
49,79,100,84,38,1
13,28,0,90,45,6
65,0,25,4,97,5
73,0,21,0,98,5
42,80,76,94,0,9
86,100,75,92,25,1
19,25,0,87,16,6
80,91,66,91,15,1
92,49,31,78,0,3
26,51,46,86,0,5
60,100,82,74,29,1
5,22,1,100,22,6
37,89,34,24,0,1
100,100,81,82,20,9
0,60,74,100,32,9
0,48,73,100,20,9
39,47,19,22,21,6
100,65,33,34,18,7
0,65,85,83,32,9
0,0,8,100,82,0
0,33,42,87,22,4
48,70,54,85,0,9
43,100,93,77,32,1
100,0,35,83,100,8
71,87,67,76,17,9
41,74,66,95,24,9
77,75,50,30,6,2
0,12,0,100,29,6
32,65,29,3,2,1
20,0,31,99,100,0
14,32,0,100,32,6
64,6,0,1,89,5
66,85,55,55,32,9
94,69,44,14,2,2
0,47,46,100,35,4
0,43,42,100,36,4
52,37,3,6,2,2
24,31,0,67,27,6
11,0,14,100,83,0
42,43,100,30,53,0
27,66,48,95,0,5
0,38,48,91,29,4
72,46,23,2,0,2
22,0,35,78,100,0
96,55,34,98,0,3
70,100,76,70,26,1
91,53,17,83,15,7
78,61,39,78,0,3
33,0,38,85,100,0
66,53,36,94,0,3
27,64,28,3,5,1
44,52,12,0,2,1
81,95,70,57,21,1
0,42,49,96,37,4
47,79,67,91,0,9
93,54,31,0,0,3
71,100,76,59,25,1
65,87,83,100,0,9
100,1,43,89,100,8
0,71,71,73,24,9
0,35,42,100,32,4
58,32,0,0,49,7
97,89,66,100,4,9
29,39,8,95,22,6
76,58,84,59,77,9
53,43,10,13,9,2
47,0,7,63,82,8
54,0,7,13,100,5
100,94,65,46,0,5
60,59,44,100,0,3
22,83,66,80,6,5
81,51,26,0,6,2
45,37,4,76,24,6
72,22,0,3,4,2
89,38,0,27,39,7
100,65,41,93,0,3
64,0,14,4,97,5
100,32,0,50,40,8
90,51,44,100,0,3
0,44,12,29,37,8
51,100,64,100,0,9
19,0,36,87,100,0
98,83,58,79,9,1
38,33,0,68,32,6
100,99,71,53,31,9
24,27,0,74,23,6
52,27,0,100,8,1
8,100,76,77,22,9
19,0,29,86,100,0
77,81,60,60,20,7
100,86,65,39,21,1
65,100,75,75,25,1
28,14,0,100,20,6
23,29,0,91,33,6
62,39,14,15,8,2
92,59,21,58,29,7
95,0,11,0,94,5
54,42,14,2,9,2
100,58,40,74,0,3
100,100,80,61,33,9
66,65,54,100,3,3
100,59,35,73,0,3
35,22,0,0,72,8
0,0,15,100,89,0
13,59,88,96,1,9
80,100,75,98,25,1
0,100,91,79,25,9
65,0,29,84,94,8
82,46,0,100,30,7
58,33,13,27,5,2
73,46,0,28,38,7
84,35,0,35,39,7
94,100,61,100,0,8
