@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R5,7-8,11,16-17'

@attribute At5 numeric
@attribute At7 numeric
@attribute At8 numeric
@attribute At11 numeric
@attribute At16 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
42,29,45,37,6,2
36,34,54,64,2,5
75,51,51,97,7,3
0,82,39,15,94,8
70,100,77,55,0,4
0,36,0,100,74,0
100,91,80,53,0,1
0,36,53,2,67,8
31,17,24,80,39,6
67,53,35,16,42,7
0,1,21,100,3,6
91,71,52,74,37,7
0,42,0,100,84,0
89,13,0,77,100,8
76,43,0,84,89,8
63,84,0,53,78,8
10,0,24,100,81,0
100,17,93,82,0,9
93,100,100,48,0,1
26,36,63,75,0,5
0,74,66,70,0,4
100,74,41,20,35,7
7,62,0,95,83,0
100,40,92,93,0,9
0,13,0,100,9,0
30,1,27,82,48,6
64,43,48,6,20,2
15,23,36,100,6,5
50,50,62,4,0,1
53,100,100,66,0,1
89,100,62,64,34,7
42,85,32,0,74,8
25,14,32,34,7,2
0,56,43,88,0,4
100,66,38,0,0,2
14,19,35,0,88,8
7,61,0,80,36,0
75,52,35,16,52,7
22,100,63,62,0,4
16,84,29,45,100,8
0,4,20,100,25,6
10,53,0,100,100,0
94,60,37,0,0,2
74,47,53,100,9,3
9,89,87,79,0,9
58,54,31,100,8,1
7,0,25,100,19,6
93,59,50,100,3,3
84,54,51,100,6,3
12,6,48,78,2,5
100,72,59,41,50,7
28,55,12,10,92,5
58,51,37,15,32,7
100,90,49,49,41,7
8,24,37,100,0,4
81,50,81,54,12,5
0,41,0,100,92,0
16,16,16,100,9,6
0,22,100,99,0,9
91,69,49,0,0,2
91,35,79,73,11,5
100,76,48,46,26,7
80,80,7,2,100,5
9,0,60,72,8,5
27,26,35,12,5,1
11,34,43,0,76,8
9,81,54,86,0,4
56,22,0,0,100,5
0,7,3,100,11,6
0,39,0,100,100,0
100,86,66,87,0,3
84,53,48,100,0,3
16,0,28,98,24,6
0,46,4,25,99,8
11,0,25,77,26,6
57,43,0,11,100,5
82,60,56,74,0,3
0,52,60,74,0,4
39,17,32,49,12,6
100,85,40,0,3,2
73,62,49,0,5,1
44,64,89,100,5,9
0,44,38,16,87,8
82,66,39,0,0,2
100,76,81,44,0,1
0,49,41,3,91,8
52,8,0,4,98,5
68,64,38,28,37,7
93,49,56,14,0,2
100,20,0,55,100,8
