@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R4-5,8,11,17'

@attribute At4 numeric
@attribute At5 numeric
@attribute At8 numeric
@attribute At11 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
50,72,0,0,5
100,100,66,82,3
100,0,70,15,1
42,16,3,92,0
67,97,100,100,9
54,59,0,4,5
100,100,54,89,3
100,26,38,0,8
76,0,30,100,4
100,25,50,99,9
88,2,19,100,6
100,55,14,30,2
57,88,18,8,5
67,0,0,95,0
41,12,1,100,0
60,0,0,100,0
65,0,9,82,0
60,53,0,0,5
77,0,36,96,4
71,100,99,81,9
83,0,1,100,0
99,93,48,19,7
100,100,54,100,3
88,79,64,0,1
84,0,26,100,4
91,100,78,78,3
79,26,28,58,6
74,40,59,57,4
100,100,59,93,3
90,5,61,85,4
100,21,38,0,8
100,52,34,0,7
61,59,62,100,1
100,24,44,0,8
100,80,53,100,3
44,33,9,64,0
78,25,26,88,6
67,42,100,81,1
66,64,0,0,5
100,100,57,69,7
100,56,67,100,3
100,63,17,18,2
77,100,84,100,9
73,100,3,38,8
94,68,88,74,2
100,0,18,100,0
100,57,87,67,9
64,4,0,73,0
94,38,45,26,6
100,32,39,100,1
87,100,60,45,1
52,77,5,6,5
49,70,0,0,5
77,71,88,100,9
100,4,37,0,8
29,43,25,100,8
38,45,12,81,0
57,60,0,14,5
100,79,55,100,3
100,0,40,13,8
100,90,54,100,3
79,18,99,69,9
100,100,50,51,7
100,85,61,81,3
2,68,35,38,0
100,100,39,85,8
100,25,23,1,8
100,93,58,100,3
100,95,70,100,3
72,100,75,64,1
100,100,38,53,7
78,56,78,100,9
100,100,62,0,7
55,0,0,100,0
70,38,0,70,8
100,0,60,100,9
100,0,42,22,8
100,71,55,100,3
90,30,20,100,6
100,66,55,0,1
100,76,40,0,2
55,73,100,61,1
82,85,100,76,1
75,0,35,80,4
48,0,100,88,9
100,82,53,100,3
90,0,72,81,9
100,56,51,34,2
69,0,0,100,0
60,54,0,0,5
79,79,100,87,1
79,0,43,86,4
100,10,33,0,8
100,100,53,0,2
100,100,52,15,7
73,0,14,100,6
73,0,44,70,4
100,73,39,0,2
100,63,15,24,2
100,8,54,100,5
75,0,41,85,4
100,74,55,15,2
87,9,28,100,6
100,79,35,29,7
99,70,99,33,7
100,99,86,89,5
82,49,0,56,8
63,0,0,86,0
89,57,60,0,1
100,50,28,18,2
69,97,83,96,9
63,42,100,80,1
82,26,20,100,6
100,76,58,100,3
100,58,51,28,6
100,73,35,3,7
90,28,43,37,6
64,21,0,67,0
100,88,23,100,7
79,0,18,100,6
59,67,100,81,1
98,100,68,24,7
100,98,35,13,7
91,25,43,37,6
100,55,32,33,7
100,100,50,46,7
80,68,0,17,8
100,74,68,0,2
75,0,0,100,0
100,99,50,52,7
100,5,57,0,8
87,11,38,75,4
74,100,100,0,8
94,99,73,8,2
84,100,80,29,1
100,75,52,88,3
100,66,54,19,2
59,70,0,6,5
30,29,4,84,0
89,0,15,94,0
100,100,49,0,7
83,0,36,100,4
96,18,35,79,6
100,91,44,35,7
47,13,0,96,0
69,0,0,100,0
100,100,53,0,2
65,0,0,100,0
87,28,30,72,6
100,89,78,100,5
84,32,0,42,8
100,59,36,27,7
36,37,21,73,0
91,68,29,9,7
100,72,60,78,3
75,14,23,89,4
96,37,51,21,6
95,27,29,77,6
75,84,100,100,9
88,40,79,82,9
75,67,83,88,1
87,32,11,100,6
100,98,62,100,3
77,25,100,76,9
21,62,22,61,0
90,100,80,41,1
75,63,0,16,5
100,79,61,0,2
88,100,66,55,1
100,100,70,56,3
89,8,44,100,4
100,90,59,100,3
100,67,36,29,2
82,55,69,74,8
100,14,49,94,4
52,100,100,94,9
56,95,100,100,9
74,0,0,100,0
87,100,79,25,1
100,53,90,100,9
71,45,64,7,1
75,87,0,79,8
100,65,58,0,2
100,100,37,0,7
100,76,39,52,7
99,100,42,79,7
100,79,28,0,7
100,100,45,33,7
75,0,0,100,0
83,28,28,69,6
100,27,40,43,6
68,0,0,100,0
58,8,0,100,0
