@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R2-3,5,8-9,13-14,17'

@attribute At2 numeric
@attribute At3 numeric
@attribute At5 numeric
@attribute At8 numeric
@attribute At9 numeric
@attribute At13 numeric
@attribute At14 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
100,27,57,0,0,100,90,8
100,88,49,47,0,73,16,6
85,38,81,50,84,53,22,7
73,19,72,73,32,46,0,2
77,20,78,0,1,23,98,5
92,7,0,0,77,84,89,0
100,10,34,77,71,22,27,4
72,45,78,41,25,50,6,2
91,84,100,87,32,41,1,5
100,36,58,82,82,53,0,9
100,21,0,42,68,76,25,4
90,9,50,0,5,48,97,5
72,16,96,100,0,100,47,9
94,90,94,57,68,54,0,3
97,72,100,86,93,70,7,9
42,34,64,100,100,62,28,1
100,38,13,40,40,100,22,4
74,19,64,0,1,45,87,5
67,16,64,99,85,95,24,1
80,36,54,0,0,49,95,5
95,94,100,47,41,41,1,2
90,86,87,49,92,53,0,3
100,40,16,21,53,36,30,6
96,80,81,60,100,36,0,3
67,38,62,0,8,100,90,8
100,14,74,97,37,36,0,8
73,5,0,0,98,47,100,0
85,0,16,31,69,34,64,8
97,2,24,0,100,33,100,0
84,34,67,44,31,64,13,2
73,28,73,81,85,36,8,2
32,60,80,93,36,57,0,8
100,98,77,70,60,47,0,5
83,37,81,61,100,54,0,3
100,65,70,33,32,29,39,7
76,62,62,40,0,57,10,2
76,45,77,25,9,53,6,2
77,30,0,13,67,88,83,0
100,34,7,17,47,78,37,6
72,62,74,74,72,51,0,1
80,0,37,53,5,52,2,2
89,64,81,61,100,41,0,3
100,81,39,28,8,66,31,6
95,87,49,43,6,48,29,6
54,0,39,17,100,47,100,0
97,31,61,0,0,41,98,5
64,48,100,87,76,57,22,1
90,46,100,76,56,56,12,3
95,68,34,61,53,31,2,5
68,58,0,42,100,47,41,8
100,93,100,41,37,0,24,7
80,57,72,44,24,50,8,2
100,0,0,38,71,71,20,4
100,82,100,64,91,55,15,1
52,98,64,62,100,42,0,9
100,20,0,42,100,38,32,4
89,52,0,45,96,60,39,4
100,35,0,18,67,27,33,6
89,14,0,0,75,82,86,0
66,37,73,100,98,90,22,1
73,47,62,35,11,49,9,2
100,61,70,92,89,41,6,9
67,14,57,22,95,7,87,0
100,74,38,93,70,67,0,9
100,5,15,53,100,35,28,4
99,90,29,58,60,49,0,5
77,57,0,50,79,81,31,9
70,1,37,5,100,34,100,0
68,0,53,0,22,100,100,8
86,87,100,54,85,29,0,3
84,65,87,45,38,49,6,2
100,57,32,30,26,70,34,6
100,25,4,25,26,100,22,6
91,7,36,0,0,52,100,5
96,0,61,30,49,39,68,8
100,5,71,0,7,100,92,8
73,42,62,30,0,82,0,2
100,43,10,16,57,51,44,6
86,100,95,57,90,42,0,3
83,85,93,57,94,50,0,3
100,43,15,21,50,48,34,6
72,39,62,42,24,50,3,2
100,21,0,28,77,88,25,4
55,41,72,65,63,33,4,1
100,51,100,37,26,38,31,7
89,52,25,34,38,34,47,8
76,75,91,33,28,51,14,2
51,24,66,100,72,26,25,1
71,55,74,39,30,49,0,2
61,15,51,100,100,72,26,1
94,22,71,51,61,52,32,7
85,31,92,63,46,62,0,3
100,18,0,24,71,92,31,4
86,0,21,14,14,100,78,8
86,36,98,100,45,84,10,9
85,100,64,68,80,36,1,5
100,55,13,46,12,78,27,6
100,46,22,3,66,45,34,6
100,32,63,81,86,53,0,9
70,0,41,18,100,25,100,0
78,60,100,57,94,39,0,3
100,17,0,33,100,38,34,4
87,39,30,75,100,57,0,9
73,0,33,6,100,37,100,0
80,0,20,0,100,53,100,0
92,88,100,65,70,36,1,3
96,59,86,36,48,38,34,7
100,17,41,0,0,43,99,5
91,0,2,0,80,82,92,0
91,19,69,85,84,33,21,7
86,59,52,0,0,53,89,5
96,14,48,0,0,47,100,5
57,0,46,100,100,56,27,1
100,56,23,30,14,47,33,6
84,72,83,60,100,39,0,3
100,86,69,34,0,54,2,2
94,40,95,100,88,81,1,9
100,0,6,67,100,44,32,4
100,0,41,12,6,42,93,5
100,62,35,33,31,49,18,6
100,55,79,93,86,48,11,9
90,81,76,80,64,66,15,5
64,30,15,27,52,48,66,8
100,27,1,0,74,51,79,0
73,76,22,43,69,26,30,8
96,53,100,71,55,46,6,3
85,43,68,61,92,55,0,3
100,7,0,34,57,87,24,4
100,6,0,16,74,87,39,4
100,34,0,47,100,90,26,4
100,5,53,6,0,100,77,8
93,46,100,47,47,19,33,7
90,41,72,55,26,56,0,2
78,60,64,64,52,0,0,1
76,55,65,23,0,57,20,2
99,1,0,0,100,20,83,0
100,13,13,22,60,88,30,4
68,27,68,49,21,50,4,2
97,41,69,0,6,45,94,5
73,76,0,64,98,86,32,9
100,41,10,18,45,78,36,6
100,11,0,37,100,45,30,4
87,100,77,77,60,54,4,5
100,100,77,28,39,50,57,8
100,4,0,38,100,91,33,4
77,30,74,63,75,59,0,3
60,21,53,100,100,75,27,1
89,0,38,23,80,100,69,8
62,55,85,100,98,91,25,1
71,29,44,1,0,50,99,5
100,48,15,25,29,65,30,6
86,19,0,0,71,78,95,0
63,29,58,36,11,50,0,2
62,18,56,60,14,55,6,2
29,32,68,100,95,78,25,1
69,23,82,95,86,62,19,1
100,26,0,25,84,76,28,4
51,31,66,100,90,43,28,1
88,39,77,42,72,54,27,7
60,37,41,2,0,63,84,5
100,73,62,33,14,19,43,7
90,15,10,0,100,42,100,0
82,6,28,7,100,32,100,0
98,54,52,95,95,48,0,9
64,65,100,93,0,48,42,9
90,38,68,33,32,35,42,7
88,0,25,20,17,35,97,5
84,12,18,7,100,40,100,0
96,79,71,55,100,43,0,3
100,8,0,4,59,100,64,0
100,7,0,51,71,85,22,4
65,29,46,0,0,58,88,5
90,67,99,71,17,100,25,8
100,0,28,47,100,45,30,4
90,84,100,51,82,38,0,3
100,48,16,31,50,75,27,4
78,32,16,71,100,68,4,9
89,37,65,0,6,38,100,5
93,96,99,55,79,54,0,3
78,10,60,0,0,100,100,8
66,72,100,71,70,0,0,1
81,67,82,54,77,56,0,3
96,100,81,85,30,40,3,5
90,3,31,16,100,25,87,0
79,38,100,66,55,18,0,2
100,64,27,38,71,60,21,4
66,20,51,51,33,62,8,2
87,0,17,28,94,89,71,8
100,18,14,21,54,92,34,4
100,28,79,0,0,37,85,5
97,13,44,0,6,49,98,5
91,98,96,32,17,38,40,7
93,46,10,8,58,66,66,0
99,6,14,3,100,14,83,0
46,100,80,9,38,54,100,8
100,35,2,21,44,68,31,6
85,27,54,55,22,66,2,2
89,4,21,2,100,25,100,0
69,61,100,60,42,26,0,2
90,10,74,0,0,29,94,5
99,52,0,100,80,57,32,9
80,37,55,67,58,35,0,1
100,35,6,25,42,72,42,6
88,44,100,45,60,32,25,7
82,64,83,53,93,52,6,3
89,68,32,32,39,46,26,6
74,75,100,27,34,49,15,2
99,55,77,0,0,49,92,5
100,20,0,42,100,72,23,4
100,0,9,49,100,67,26,4
100,27,6,20,46,53,34,6
100,6,0,0,81,60,87,0
100,43,3,15,57,43,35,6
83,71,99,54,84,56,0,3
58,39,56,0,6,59,83,5
80,0,35,14,100,24,86,0
64,67,100,80,60,15,20,1
88,61,100,67,97,40,6,3
44,36,70,100,82,59,20,1
94,28,65,97,79,50,26,7
83,51,100,50,16,11,34,7
80,60,45,100,88,34,18,9
51,56,100,91,75,80,8,1
88,24,66,2,0,50,92,5
81,60,90,52,34,47,0,2
82,30,75,55,58,62,0,3
100,58,25,43,0,60,23,6
90,79,100,88,32,47,5,5
100,56,17,31,36,73,38,6
92,40,96,100,37,68,19,9
69,100,84,51,47,36,7,1
20,47,78,100,88,40,27,1
99,25,0,0,73,79,100,0
100,34,75,0,0,37,97,5
70,39,100,44,30,22,41,8
100,63,35,34,4,60,21,6
88,37,85,46,48,45,37,7
100,54,66,88,85,39,18,9
100,21,64,0,13,74,100,8
82,67,38,66,90,43,6,9
61,39,74,100,85,44,24,1
100,56,26,27,11,50,19,6
82,36,77,43,73,48,26,7
