@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R2,5,9,11,16-17'

@attribute At2 numeric
@attribute At5 numeric
@attribute At9 numeric
@attribute At11 numeric
@attribute At16 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
100,57,0,56,98,8
100,49,0,37,20,6
85,81,84,58,24,7
73,72,32,5,0,2
77,78,1,0,100,5
92,0,77,100,100,0
100,34,71,49,0,4
72,78,25,0,0,2
91,100,32,74,0,5
100,58,82,100,7,9
100,0,68,100,0,4
90,50,5,0,100,5
72,96,0,65,0,9
94,94,68,100,1,3
97,100,93,89,0,9
42,64,100,81,0,1
100,13,40,88,0,4
74,64,1,0,100,5
67,64,85,89,0,1
80,54,0,5,100,5
95,100,41,0,0,2
90,87,92,100,1,3
100,16,53,100,0,6
96,81,100,75,6,3
67,62,8,45,100,8
100,74,37,0,44,8
73,0,98,100,60,0
85,16,69,6,95,8
97,24,100,82,65,0
84,67,31,26,0,2
73,73,85,58,0,2
32,80,36,100,25,8
100,77,60,100,14,5
83,81,100,97,7,3
100,70,32,15,44,7
76,62,0,12,0,2
76,77,9,0,0,2
77,0,67,100,88,0
100,7,47,100,29,6
72,74,72,79,0,1
80,37,5,4,0,2
89,81,100,81,5,3
100,39,8,75,25,6
95,49,6,52,39,6
54,39,100,89,65,0
97,61,0,17,100,5
64,100,76,67,0,1
90,100,56,74,0,3
95,34,53,61,0,5
68,0,100,39,73,8
100,100,37,5,23,7
80,72,24,0,0,2
100,0,71,71,0,4
100,100,91,82,0,1
52,64,100,83,4,9
100,0,100,79,0,4
89,0,96,100,0,4
100,0,67,96,0,6
89,0,75,100,100,0
66,73,98,96,0,1
73,62,11,0,0,2
100,70,89,74,0,9
67,57,95,54,39,0
100,38,70,100,7,9
100,15,100,69,0,4
99,29,60,100,18,5
77,0,79,86,0,9
70,37,100,78,70,0
68,53,22,53,88,8
86,100,85,64,12,3
84,87,38,0,12,2
100,32,26,89,43,6
100,4,26,94,8,6
91,36,0,4,97,5
96,61,49,5,100,8
100,71,7,78,90,8
73,62,0,38,34,2
100,10,57,100,23,6
86,95,90,81,0,3
83,93,94,100,11,3
100,15,50,100,15,6
72,62,24,0,3,2
100,0,77,90,0,4
55,72,63,31,5,1
100,100,26,15,37,7
89,25,38,0,71,8
76,91,28,0,0,2
51,66,72,47,0,1
71,74,30,0,2,2
61,51,100,86,0,1
94,71,61,42,20,7
85,92,46,100,9,3
100,0,71,100,0,4
86,21,14,42,100,8
86,98,45,100,0,9
85,64,80,72,0,5
100,13,12,64,46,6
100,22,66,100,13,6
100,63,86,100,5,9
70,41,100,75,58,0
78,100,94,89,17,3
100,0,100,58,0,4
87,30,100,91,9,9
73,33,100,78,67,0
80,20,100,93,75,0
92,100,70,70,0,3
96,86,48,16,37,7
100,41,0,7,97,5
91,2,80,100,100,0
91,69,84,59,0,7
86,52,0,18,100,5
96,48,0,6,96,5
57,46,100,78,0,1
100,23,14,59,27,6
84,83,100,77,3,3
100,69,0,9,0,2
94,95,88,100,0,9
100,6,100,64,0,4
100,41,6,24,98,5
100,35,31,76,17,6
100,79,86,80,0,9
90,76,64,100,0,5
64,15,52,0,100,8
100,1,74,100,58,0
73,22,69,0,52,8
96,100,55,79,0,3
