@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R1,8-9,11,14,17'

@attribute At1 numeric
@attribute At8 numeric
@attribute At9 numeric
@attribute At11 numeric
@attribute At14 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
0,45,15,37,2,2
100,54,79,64,0,5
50,51,100,97,0,3
73,39,100,15,57,8
63,77,79,55,23,4
56,0,85,100,100,0
0,80,72,53,20,1
57,53,95,2,36,8
100,24,43,80,43,6
0,35,34,16,42,7
32,21,39,100,21,6
0,52,62,74,32,7
38,0,87,100,100,0
42,0,0,77,92,8
0,0,29,84,100,8
100,0,0,53,100,8
100,24,48,100,68,0
0,93,7,82,35,9
0,100,71,48,25,1
100,63,76,75,1,5
53,66,100,70,42,4
0,41,49,20,32,7
34,0,100,95,100,0
65,92,71,93,5,9
77,0,86,100,51,0
100,27,32,82,51,6
36,48,0,6,0,2
93,36,72,100,0,5
0,62,52,4,5,1
36,100,83,66,21,1
0,62,84,64,17,7
93,32,58,0,47,8
5,32,0,34,5,2
73,43,100,88,39,4
32,38,7,0,18,2
86,35,2,0,59,8
24,0,100,80,93,0
0,35,22,16,48,7
39,63,62,62,40,4
73,29,70,45,69,8
33,20,43,100,31,6
23,0,91,100,97,0
37,37,10,0,24,2
22,53,84,100,0,3
79,87,100,79,30,9
35,31,78,100,5,1
84,25,35,100,30,6
44,50,93,100,0,3
12,51,88,100,0,3
100,48,37,78,0,5
0,59,56,41,39,7
33,12,1,10,84,5
0,37,38,15,33,7
0,49,66,49,32,7
0,37,70,100,28,4
66,81,47,54,0,5
44,0,82,100,100,0
64,16,58,100,23,6
100,100,80,99,23,9
40,49,34,0,1,2
44,79,33,73,0,5
0,48,60,46,24,7
0,7,24,2,91,5
100,60,43,72,0,5
0,35,4,12,2,1
38,43,67,0,48,8
8,54,100,86,32,4
12,0,4,0,94,5
68,3,64,100,39,6
33,0,88,100,89,0
45,66,70,87,6,3
10,48,85,100,0,3
100,28,36,98,35,6
86,4,26,25,83,8
66,25,20,77,24,6
15,0,16,11,93,5
59,56,100,74,14,3
56,60,100,74,30,4
100,32,8,49,18,6
40,40,44,0,19,2
60,49,44,0,4,1
48,89,92,100,0,9
85,38,72,16,55,8
30,39,31,0,3,2
0,81,60,44,20,1
100,41,66,3,66,8
0,0,4,4,100,5
0,38,51,28,40,7
18,56,0,14,10,2
25,0,0,55,95,8
0,95,87,87,23,1
25,0,87,100,100,0
10,62,100,98,0,3
100,34,21,71,28,6
0,55,29,3,3,2
60,10,97,100,92,0
0,60,70,100,4,3
71,100,87,87,0,9
34,37,100,78,36,4
27,15,100,74,95,0
98,98,100,79,18,9
94,52,85,100,0,9
41,67,37,0,2,2
0,54,15,24,4,2
0,61,53,100,7,3
0,35,50,17,28,7
0,0,43,53,90,8
100,41,0,38,25,6
28,20,63,100,100,8
34,0,1,44,100,8
34,100,100,84,26,1
21,80,59,41,19,1
38,52,78,100,0,3
49,72,48,81,8,3
27,21,0,33,0,2
7,80,76,100,0,9
100,55,70,87,9,9
99,23,51,100,35,6
40,5,22,52,90,8
54,16,59,100,30,6
7,51,98,22,1,1
15,51,7,0,8,2
79,22,43,100,31,6
16,40,28,0,3,2
73,16,49,100,21,6
43,61,100,80,31,4
0,0,13,22,40,7
15,69,73,56,0,1
81,41,81,19,44,8
89,34,54,0,56,8
100,16,67,89,32,6
56,33,100,90,30,4
99,65,100,92,8,9
68,29,99,100,32,4
78,0,71,100,28,6
63,38,63,0,36,8
84,0,0,46,85,8
17,48,98,100,25,4
38,20,48,100,24,6
33,99,79,100,11,9
100,53,75,88,39,9
0,49,16,11,5,2
100,30,40,93,41,6
39,57,91,100,0,3
43,0,90,100,99,0
16,12,100,75,88,0
35,60,100,86,0,3
29,27,13,0,18,2
31,63,100,84,0,3
35,50,48,0,0,1
30,98,67,30,25,1
58,0,66,100,32,6
25,35,100,71,90,0
48,46,16,0,3,2
40,54,42,0,4,2
25,0,73,100,79,0
0,100,89,72,25,1
51,35,83,0,39,8
48,56,100,89,0,3
64,64,25,74,14,5
30,0,94,100,100,0
0,13,100,73,100,0
12,76,34,0,4,1
0,65,69,100,5,3
11,0,11,3,87,5
49,61,90,100,14,3
81,26,41,100,44,6
90,68,95,100,11,9
0,23,26,21,46,7
38,51,100,98,25,4
100,26,35,0,53,8
18,0,0,0,94,5
37,36,16,0,22,2
12,0,0,54,100,8
7,24,100,63,97,0
88,85,90,80,0,9
22,54,40,0,2,1
20,26,88,100,29,4
59,33,100,81,43,4
