@relation penbased

@attribute At1 numeric
@attribute At8 numeric
@attribute At9 numeric
@attribute At11 numeric
@attribute At14 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
85,9,62,100,88,0
35,0,91,100,97,0
13,19,100,84,100,0
16,23,100,69,78,0
17,0,100,96,100,0
56,0,79,100,97,0
19,4,100,90,100,0
19,0,96,100,100,0
14,24,100,83,100,0
46,1,87,100,100,0
49,14,100,71,100,0
27,1,100,91,100,0
30,0,100,90,97,0
76,60,8,53,29,0
6,9,100,82,100,0
63,13,67,100,83,0
23,0,83,100,100,0
41,0,100,91,100,0
74,25,44,94,60,0
32,0,97,100,99,0
21,18,100,82,100,0
51,0,69,100,79,0
24,0,82,100,86,0
42,0,85,100,100,0
5,9,100,70,95,0
24,2,100,88,100,0
19,1,88,100,100,0
91,27,39,89,53,0
33,0,82,100,85,0
52,0,87,100,96,0
44,0,100,92,100,0
35,0,100,100,97,0
43,4,75,100,78,0
46,0,77,100,83,0
8,16,100,97,97,0
71,31,42,86,56,0
63,17,59,94,64,0
47,0,74,100,86,0
66,100,57,33,31,0
59,5,60,97,74,0
10,12,100,89,100,0
21,0,84,100,88,0
26,0,96,100,100,0
23,0,84,100,85,0
29,0,87,100,86,0
49,0,97,100,100,0
81,15,51,94,64,0
0,10,100,76,100,0
27,0,100,73,79,0
38,0,100,83,91,0
0,32,100,65,70,0
34,0,81,100,83,0
30,0,81,100,75,0
30,0,87,100,100,0
26,21,100,69,88,0
96,65,0,42,20,0
42,0,83,100,100,0
76,66,3,41,21,0
72,0,79,100,97,0
9,4,100,84,100,0
55,0,83,100,97,0
27,0,100,97,97,0
41,0,95,100,87,0
66,0,97,100,100,0
11,1,100,87,100,0
37,4,59,91,64,0
0,2,100,78,100,0
17,0,90,100,93,0
35,0,73,100,80,0
69,0,80,100,99,0
62,2,55,92,78,0
42,30,100,65,79,0
32,0,100,97,100,0
28,5,100,70,100,0
74,0,75,100,100,0
95,18,42,88,53,0
32,8,100,95,100,0
28,0,98,100,100,0
26,23,100,74,91,0
7,0,84,100,100,0
32,0,93,100,100,0
9,0,100,93,91,0
34,0,88,100,92,0
43,0,100,85,100,0
21,25,100,87,100,0
79,15,53,95,63,0
23,0,89,100,91,0
88,23,40,88,61,0
62,17,55,96,60,0
75,10,46,84,73,0
49,0,79,100,90,0
1,56,85,42,65,0
40,0,88,100,100,0
0,25,100,76,80,0
99,35,30,77,45,0
0,10,100,66,100,0
35,0,88,100,87,0
63,0,61,100,78,0
73,22,57,100,82,0
34,0,100,79,100,0
19,19,100,73,99,0
23,0,100,92,100,0
31,0,86,100,93,0
30,0,100,97,100,0
17,12,100,79,100,0
36,0,77,100,89,0
24,20,100,78,90,0
7,0,91,100,94,0
21,7,100,85,100,0
10,0,100,96,95,0
17,28,100,55,91,0
9,3,100,82,100,0
3,20,100,53,78,0
0,21,72,100,100,0
97,23,100,77,53,0
27,0,100,98,100,0
25,0,100,78,100,0
28,0,78,100,73,0
18,21,100,72,93,0
15,18,100,93,100,0
49,0,73,100,89,0
54,0,93,100,100,0
62,0,77,100,100,0
26,20,100,64,74,0
34,0,80,100,90,0
53,0,67,100,86,0
70,0,58,97,63,0
22,10,100,68,87,0
38,0,73,100,77,0
15,7,100,64,85,0
32,36,87,45,81,0
19,0,93,100,98,0
34,0,88,100,100,0
21,7,100,77,100,0
55,0,58,91,74,0
78,24,46,93,59,0
60,3,75,100,91,0
65,0,67,100,91,0
16,13,100,71,91,0
17,1,100,88,99,0
16,23,100,75,94,0
27,0,81,100,93,0
8,0,96,100,95,0
30,0,80,100,93,0
23,0,87,100,100,0
28,0,74,100,100,0
35,0,100,82,100,0
40,5,100,99,100,0
13,0,100,86,94,0
51,0,70,100,88,0
30,0,84,100,94,0
9,16,100,77,100,0
22,0,89,100,100,0
43,0,75,100,97,0
17,14,97,100,100,0
77,27,42,89,52,0
6,14,100,94,100,0
26,0,100,87,100,0
21,0,94,100,100,0
45,0,79,100,100,0
43,0,85,100,100,0
13,20,100,63,68,0
62,0,77,100,81,0
51,0,100,86,100,0
97,25,41,91,56,0
33,0,100,73,77,0
47,0,74,100,85,0
46,0,100,76,85,0
47,0,100,100,96,0
23,0,98,100,99,0
57,0,81,100,100,0
61,0,79,100,100,0
7,10,100,85,100,0
27,0,79,100,96,0
0,15,99,61,75,0
