@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R7-9,16-17'

@attribute At7 numeric
@attribute At8 numeric
@attribute At9 numeric
@attribute At16 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
79,68,100,16,9
34,0,4,100,5
88,52,100,64,9
30,0,0,100,5
100,81,77,0,3
41,0,84,100,0
83,28,72,43,7
5,42,88,0,4
0,22,48,37,6
27,97,80,22,9
89,29,19,100,5
11,25,38,25,6
0,22,45,35,6
70,86,93,0,9
77,76,94,28,3
14,32,0,11,2
67,63,100,13,3
54,0,8,99,5
92,100,100,0,1
19,42,69,0,4
25,0,0,100,5
94,61,100,53,9
13,29,11,20,6
55,0,100,46,0
15,31,60,0,4
0,25,52,0,4
75,71,56,0,1
82,43,75,20,7
69,24,100,0,4
69,39,44,73,8
64,40,49,46,7
62,25,0,100,5
24,87,91,32,9
64,66,85,0,3
70,53,29,55,7
62,28,100,0,4
51,0,84,98,0
90,14,100,34,0
89,31,100,0,4
82,99,100,0,9
100,95,83,0,9
64,43,25,0,2
12,18,60,10,6
73,0,12,100,5
52,0,91,96,0
82,37,48,38,7
77,21,27,100,5
47,34,14,0,2
72,11,8,100,5
49,37,18,0,2
69,11,11,96,5
68,37,54,37,7
94,50,83,26,7
41,53,7,0,2
75,0,100,79,0
44,34,0,22,2
100,100,87,0,1
43,54,92,0,4
54,0,20,100,5
34,53,0,0,2
0,74,16,0,5
10,60,87,0,9
59,61,99,10,3
0,25,26,19,6
15,13,61,19,6
86,67,100,0,3
100,0,32,71,8
8,12,55,12,6
29,42,0,0,2
53,0,13,100,5
100,100,89,0,7
64,65,31,6,2
0,24,28,29,6
81,100,62,48,8
54,58,25,2,2
45,0,15,100,5
65,0,0,99,5
17,27,35,8,6
46,35,100,0,4
100,100,83,0,1
55,55,87,1,5
53,7,73,75,8
0,15,55,5,6
38,38,28,10,1
30,32,0,0,2
33,0,0,100,5
75,80,100,0,9
59,0,17,95,5
11,19,59,47,6
53,38,100,0,4
88,50,79,37,7
55,61,44,2,1
38,96,58,23,9
80,59,66,4,3
24,34,0,3,2
35,39,0,0,2
13,0,0,98,5
49,31,100,0,4
100,75,68,0,3
85,44,100,0,4
69,44,31,0,2
66,52,100,3,3
75,52,100,0,4
73,61,92,0,3
50,28,31,30,7
18,73,48,0,5
100,100,95,0,1
69,3,100,54,0
100,92,86,0,1
46,65,100,0,9
53,62,100,0,9
63,39,58,41,7
44,50,100,0,4
30,0,0,98,5
46,0,11,100,5
40,95,63,0,9
0,39,23,0,6
24,98,41,15,8
31,0,80,71,0
76,88,100,0,1
100,100,67,0,1
45,68,49,0,3
100,96,71,0,9
39,56,75,0,5
10,0,2,84,8
85,83,94,0,9
32,42,0,0,2
50,33,23,58,7
45,27,100,0,4
80,73,68,0,3
0,23,40,23,6
71,0,14,100,8
100,71,63,0,2
100,85,94,0,7
22,17,55,17,6
77,56,40,0,2
31,100,44,12,1
26,40,100,0,4
60,58,93,0,9
88,85,62,0,1
76,54,55,17,7
0,20,56,0,4
11,16,93,19,6
22,0,0,100,5
0,82,55,0,9
69,41,38,26,7
100,64,83,40,7
37,0,80,100,0
0,43,54,0,4
80,100,49,0,9
76,30,36,5,2
0,34,2,20,6
5,27,29,2,6
24,0,70,100,0
53,100,32,17,8
5,0,0,100,5
31,71,100,0,9
75,50,43,12,2
81,100,72,0,1
100,100,77,0,1
8,12,57,23,6
53,0,20,100,5
17,100,11,53,8
74,10,100,67,0
18,31,58,0,4
70,73,79,12,3
55,31,7,19,2
40,0,13,93,5
96,46,100,0,4
40,0,94,100,0
46,38,43,39,7
57,0,100,87,0
36,29,0,10,2
36,40,0,2,2
33,40,9,10,2
75,100,100,0,9
64,58,99,0,3
91,93,88,0,1
68,54,70,3,1
64,67,85,0,3
72,43,100,0,4
50,2,0,100,5
90,98,100,0,9
44,48,4,6,2
0,0,5,100,8
0,0,18,100,5
7,0,0,96,5
33,0,47,81,8
57,39,100,0,4
53,21,11,93,8
0,35,22,46,6
0,55,17,29,8
16,45,61,7,5
39,18,0,10,2
86,81,97,18,9
18,0,0,97,5
27,55,70,16,5
29,0,81,83,0
85,53,100,0,4
66,57,100,13,3
56,35,42,35,7
62,7,15,100,5
