@relation penbased

@attribute At5 numeric
@attribute At10 numeric
@attribute At11 numeric
@attribute At16 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
40,43,95,85,0
4,24,100,76,0
0,22,100,93,0
60,71,75,63,0
15,18,100,79,0
14,53,100,62,0
0,6,100,91,0
5,0,85,97,0
0,7,91,96,0
0,9,100,100,0
0,18,100,96,0
0,57,82,25,0
38,55,75,60,0
1,30,98,72,0
0,6,100,70,0
0,0,100,100,0
42,56,84,73,0
0,3,100,98,0
0,17,100,91,0
20,19,100,90,0
0,0,96,95,0
2,0,88,100,0
0,15,100,100,0
1,36,100,86,0
0,28,100,88,0
13,33,100,82,0
0,23,100,80,0
36,45,77,67,0
39,71,53,43,0
25,11,57,68,0
6,0,77,79,0
8,44,92,55,0
0,3,100,100,0
36,44,82,86,0
0,8,100,100,0
12,29,100,91,0
12,29,100,78,0
23,39,78,64,0
0,3,100,100,0
31,71,57,32,0
34,34,90,83,0
7,26,100,84,0
58,92,65,17,0
0,4,100,100,0
0,6,100,100,0
14,24,96,73,0
22,32,90,90,0
12,0,86,90,0
0,24,100,93,0
62,88,60,17,0
8,35,89,83,0
44,64,70,52,0
0,9,100,100,0
0,0,100,85,0
20,15,100,100,0
27,37,85,71,0
0,0,100,99,0
65,72,72,61,0
25,37,96,80,0
0,21,100,91,0
0,0,100,98,0
21,37,87,71,0
62,68,71,67,0
0,0,100,98,0
33,38,85,80,0
0,25,100,85,0
0,15,90,100,0
18,11,100,100,0
1,10,100,100,0
1,27,100,84,0
9,24,100,97,0
24,44,85,71,0
0,24,100,95,0
33,53,98,83,0
0,18,100,86,0
0,0,98,73,0
0,0,100,94,0
54,94,48,4,0
0,6,100,95,0
8,32,100,78,0
22,46,87,58,0
17,46,89,50,0
0,23,100,93,0
39,54,89,65,0
9,22,100,68,0
0,23,100,83,0
19,35,92,78,0
0,34,100,76,0
40,61,87,80,0
33,46,94,79,0
31,61,70,38,0
11,23,100,72,0
2,20,100,100,0
0,48,73,20,0
0,18,100,99,0
0,16,100,95,0
0,2,100,98,0
0,0,100,100,0
0,32,95,62,0
0,26,100,80,0
24,39,91,79,0
24,42,74,19,0
8,40,82,54,0
49,65,67,57,0
0,6,100,100,0
0,22,100,96,0
0,21,100,80,0
35,67,65,24,0
35,56,89,84,0
18,53,72,49,0
23,36,84,69,0
0,12,100,94,0
0,8,100,99,0
25,35,85,84,0
7,30,100,88,0
4,30,100,92,0
0,0,100,100,0
14,31,100,84,0
0,12,96,93,0
0,18,100,100,0
0,8,100,100,0
24,43,82,65,0
0,13,100,98,0
18,45,93,67,0
19,35,93,89,0
30,27,96,73,0
39,61,70,64,0
18,30,87,75,0
40,66,81,54,0
27,49,88,70,0
22,40,83,57,0
12,27,95,63,0
5,38,85,42,0
5,28,98,60,0
0,6,100,100,0
25,62,63,25,0
9,25,100,94,0
6,33,100,66,0
0,43,100,65,0
46,100,44,22,0
29,43,85,73,0
2,31,100,83,0
30,59,74,53,0
0,1,97,100,0
19,36,79,39,0
9,25,100,87,0
35,57,72,52,0
32,62,86,57,0
40,54,71,57,0
0,24,100,85,0
29,37,84,72,0
0,24,100,86,0
4,29,100,83,0
15,56,68,36,0
6,30,100,74,0
36,60,77,44,0
66,100,45,0,0
0,0,100,100,0
0,0,100,100,0
26,42,97,87,0
0,29,100,68,0
35,61,71,40,0
0,19,100,73,0
41,50,78,77,0
0,21,100,79,0
0,14,100,94,0
12,36,100,79,0
0,27,100,95,0
27,15,53,72,0
58,65,69,60,0
11,17,99,45,0
8,0,88,100,0
46,28,29,55,0
