@relation 'coil2000-weka.filters.unsupervised.attribute.Remove-V-R1,3,5-7,10,19-20,22,26,31-34,37,39,46,49-51,56,64,72-73,75,79,81,83,85-86'

@attribute MOSTYPE numeric
@attribute MGEMOMV numeric
@attribute MOSHOOFD numeric
@attribute MGODRK numeric
@attribute MGODPR numeric
@attribute MRELGE numeric
@attribute MBERHOOG numeric
@attribute MBERZELF numeric
@attribute MBERMIDD numeric
@attribute MSKB1 numeric
@attribute MHKOOP numeric
@attribute MAUT1 numeric
@attribute MAUT2 numeric
@attribute MAUT0 numeric
@attribute MINKM30 numeric
@attribute MINK4575 numeric
@attribute PWALAND numeric
@attribute PMOTSCO numeric
@attribute PVRAAUT numeric
@attribute PAANHANG numeric
@attribute PPERSONG numeric
@attribute PBYSTAND numeric
@attribute AAANHANG numeric
@attribute ATRACTOR numeric
@attribute ABROM numeric
@attribute AWAOREG numeric
@attribute AZEILPL numeric
@attribute AFIETS numeric
@attribute ABYSTAND numeric
@attribute CARAVAN {0,1}

@data
37,2,8,1,4,6,0,0,5,2,7,7,1,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,4,10,1,4,7,0,5,0,0,5,6,2,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4,3,1,4,7,0,0,9,0,9,6,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,3,8,0,6,6,1,0,4,2,7,7,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2,8,0,7,5,0,0,2,2,1,5,1,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2,9,0,5,4,2,1,3,2,3,6,1,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3,2,0,7,7,2,0,7,3,9,7,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,1,2,7,7,2,1,3,3,9,6,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3,3,0,6,7,1,0,5,3,9,9,0,0,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,3,1,1,7,8,4,0,2,1,9,6,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
