@relation 'coil2000-weka.filters.unsupervised.attribute.Remove-V-R1,4-5,9,12-13,15-17,19-20,25-29,31,38-39,41,43,49-51,56-57,59,62-63,65,70-71,73-74,83,86'

@attribute MOSTYPE numeric
@attribute MGEMLEEF numeric
@attribute MOSHOOFD numeric
@attribute MGODGE numeric
@attribute MRELOV numeric
@attribute MFALLEEN numeric
@attribute MFWEKIND numeric
@attribute MOPLHOOG numeric
@attribute MOPLMIDD numeric
@attribute MBERHOOG numeric
@attribute MBERZELF numeric
@attribute MSKA numeric
@attribute MSKB1 numeric
@attribute MSKB2 numeric
@attribute MSKC numeric
@attribute MSKD numeric
@attribute MHKOOP numeric
@attribute MINK3045 numeric
@attribute MINK4575 numeric
@attribute MINK123M numeric
@attribute MKOOPKLA numeric
@attribute PMOTSCO numeric
@attribute PVRAAUT numeric
@attribute PAANHANG numeric
@attribute PPERSONG numeric
@attribute PGEZONG numeric
@attribute PBRAND numeric
@attribute PFIETS numeric
@attribute PINBOED numeric
@attribute AWAPART numeric
@attribute AMOTSCO numeric
@attribute AVRAAUT numeric
@attribute ATRACTOR numeric
@attribute AWERKT numeric
@attribute AFIETS numeric
@attribute CARAVAN {0,1}

@data
37,2,8,4,4,4,2,0,5,0,0,0,5,0,4,0,2,5,0,0,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
13,2,3,2,2,1,6,3,5,6,0,6,1,3,1,0,5,1,8,0,6,4,0,0,0,0,4,0,0,1,1,0,0,0,0,0
24,3,5,3,2,0,9,0,0,2,1,0,0,5,4,0,0,5,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
33,4,8,4,1,1,2,2,2,2,0,2,1,3,4,1,3,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,3,5,3,2,2,3,1,2,1,0,1,1,1,6,2,0,3,3,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
36,3,8,2,2,1,4,1,2,1,0,1,1,2,6,1,4,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,4,7,3,1,2,3,2,3,1,1,1,1,3,5,1,5,3,4,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
3,4,1,2,2,2,4,0,4,1,0,0,1,4,3,2,7,4,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,2,2,3,0,7,4,4,3,1,2,2,3,2,1,8,3,4,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,3,3,6,0,0,6,5,2,2,0,2,5,0,2,0,9,4,5,0,8,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0
7,2,2,9,0,0,5,3,6,3,0,3,2,4,0,0,9,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,1,5,2,2,2,3,5,6,1,6,0,2,2,0,3,4,4,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
12,2,3,5,3,0,7,1,7,2,0,2,1,6,2,0,5,5,1,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
10,3,3,1,1,1,8,1,5,1,0,1,3,3,3,0,8,2,4,0,8,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0
32,4,7,3,4,4,2,0,2,0,0,0,1,1,3,5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,3,8,2,2,0,5,0,0,0,0,0,0,0,9,0,0,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,4,8,3,0,0,3,0,5,2,0,2,3,2,4,0,6,4,4,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,4,8,0,4,4,3,0,3,0,0,2,0,0,5,3,9,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2,3,0,0,0,8,2,4,2,0,2,0,3,5,0,5,4,5,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
33,3,8,2,2,0,4,1,4,1,1,1,2,0,6,0,7,6,3,0,3,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0
36,5,8,2,3,3,1,1,5,3,1,2,3,3,2,1,4,3,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,3,1,3,2,0,7,8,1,6,0,5,3,2,1,0,9,1,4,1,8,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1
