@relation 'contraceptive-weka.filters.unsupervised.attribute.Remove-V-R1-2,4,7,10'

@attribute Wife_age numeric
@attribute Wife_education numeric
@attribute Children numeric
@attribute Husband_occupation numeric
@attribute Contraceptive_method {1,2,3}

@data
45,1,10,3,1
42,1,4,1,1
40,2,8,3,1
29,4,0,1,1
26,2,0,1,1
26,4,0,1,1
25,4,1,3,1
29,2,1,1,1
21,3,0,2,1
20,2,1,3,1
44,4,3,2,1
21,1,4,3,1
34,4,4,2,1
30,2,4,1,1
34,4,2,1,1
19,3,2,3,1
34,2,3,3,1
40,3,1,3,1
27,3,2,2,1
22,2,1,3,1
45,1,1,2,1
47,1,8,3,1
28,3,0,3,1
24,4,1,3,1
40,3,4,2,1
27,4,1,1,1
44,1,7,3,1
42,3,10,3,1
47,2,5,2,1
49,3,6,1,1
23,4,1,2,1
47,3,3,2,1
36,3,2,2,1
25,1,2,3,1
40,4,3,3,1
49,4,4,3,1
30,2,4,3,1
25,2,3,3,1
34,2,7,3,1
40,3,3,2,1
32,2,5,2,1
25,3,0,3,1
30,2,3,3,2
25,3,3,2,2
45,4,7,1,2
48,4,7,2,2
49,4,10,1,2
46,4,4,1,2
36,4,3,1,2
40,4,4,1,2
44,4,5,1,2
24,2,2,3,2
27,4,3,1,2
38,4,6,3,2
33,4,3,3,2
36,4,3,2,2
36,3,4,2,2
32,4,4,2,2
43,4,6,1,2
42,4,3,1,2
24,4,1,1,2
44,4,3,1,2
36,3,3,3,2
34,4,6,3,2
41,4,7,2,2
44,4,4,1,2
25,2,3,1,2
48,4,16,1,3
33,2,3,2,3
35,4,1,1,3
40,4,2,1,3
33,3,3,3,3
21,4,1,2,3
32,4,3,1,3
27,2,1,3,3
44,4,11,1,3
24,2,2,1,3
39,4,2,1,3
32,4,2,3,3
36,4,4,1,3
31,3,5,3,3
40,3,6,1,3
31,1,3,4,3
37,4,6,3,3
25,2,2,2,3
35,3,5,1,3
22,3,1,1,3
30,4,3,2,3
25,1,3,2,3
28,4,4,2,3
25,3,2,2,3
26,4,2,3,3
35,4,3,3,3
23,2,2,3,3
31,3,4,3,3
35,3,9,3,3
31,4,1,1,3
22,3,2,2,3
35,4,4,1,3
25,2,5,2,3
28,3,3,1,3
29,3,4,1,1
43,3,10,3,1
28,3,1,2,1
34,3,4,1,1
43,1,8,2,1
36,2,6,2,1
28,1,0,4,1
25,1,1,4,1
22,4,0,2,1
42,4,3,1,1
26,3,1,2,1
47,2,12,3,1
33,4,3,1,1
45,4,1,1,1
25,3,1,2,1
31,3,2,3,1
47,3,5,4,1
22,3,2,2,1
28,4,3,1,1
47,4,1,1,1
46,4,6,1,1
26,3,2,3,2
29,3,2,1,2
37,4,4,1,2
37,4,3,3,2
26,3,2,1,2
40,4,5,1,2
42,4,3,1,2
42,2,5,2,2
32,3,5,3,3
24,4,2,3,3
38,4,9,3,3
35,2,6,2,3
37,2,9,3,3
30,2,3,3,3
33,4,5,3,3
35,1,5,3,3
20,3,2,2,3
28,2,7,3,3
22,3,3,3,3
26,4,1,2,3
37,4,6,1,3
27,4,1,1,3
31,3,5,1,3
27,3,5,2,3
37,4,5,2,3
