@relation 'contraceptive-weka.filters.unsupervised.attribute.Remove-V-R1,4,7,10'

@attribute Wife_age numeric
@attribute Children numeric
@attribute Husband_occupation numeric
@attribute Contraceptive_method {1,2,3}

@data
45,10,3,1
42,4,1,1
40,8,3,1
29,0,1,1
26,0,1,1
26,0,1,1
25,1,3,1
29,1,1,1
21,0,2,1
20,1,3,1
44,3,2,1
21,4,3,1
34,4,2,1
30,4,1,1
34,2,1,1
19,2,3,1
34,3,3,1
40,1,3,1
27,2,2,1
22,1,3,1
45,1,2,1
47,8,3,1
28,0,3,1
24,1,3,1
40,4,2,1
27,1,1,1
44,7,3,1
42,10,3,1
47,5,2,1
49,6,1,1
23,1,2,1
47,3,2,1
36,2,2,1
25,2,3,1
40,3,3,1
49,4,3,1
30,4,3,1
25,3,3,1
34,7,3,1
40,3,2,1
32,5,2,1
25,0,3,1
30,3,3,2
25,3,2,2
45,7,1,2
48,7,2,2
49,10,1,2
46,4,1,2
36,3,1,2
40,4,1,2
44,5,1,2
24,2,3,2
27,3,1,2
38,6,3,2
33,3,3,2
36,3,2,2
36,4,2,2
32,4,2,2
43,6,1,2
42,3,1,2
24,1,1,2
44,3,1,2
36,3,3,2
34,6,3,2
41,7,2,2
44,4,1,2
25,3,1,2
48,16,1,3
33,3,2,3
35,1,1,3
40,2,1,3
33,3,3,3
21,1,2,3
32,3,1,3
27,1,3,3
44,11,1,3
24,2,1,3
39,2,1,3
32,2,3,3
36,4,1,3
31,5,3,3
40,6,1,3
31,3,4,3
37,6,3,3
25,2,2,3
35,5,1,3
22,1,1,3
30,3,2,3
25,3,2,3
28,4,2,3
25,2,2,3
26,2,3,3
35,3,3,3
23,2,3,3
31,4,3,3
35,9,3,3
31,1,1,3
22,2,2,3
35,4,1,3
25,5,2,3
28,3,1,3
29,4,1,1
43,10,3,1
28,1,2,1
34,4,1,1
43,8,2,1
36,6,2,1
28,0,4,1
25,1,4,1
22,0,2,1
42,3,1,1
26,1,2,1
47,12,3,1
33,3,1,1
45,1,1,1
25,1,2,1
31,2,3,1
47,5,4,1
22,2,2,1
28,3,1,1
47,1,1,1
46,6,1,1
26,2,3,2
29,2,1,2
37,4,1,2
37,3,3,2
26,2,1,2
40,5,1,2
42,3,1,2
42,5,2,2
32,5,3,3
24,2,3,3
38,9,3,3
35,6,2,3
37,9,3,3
30,3,3,3
33,5,3,3
35,5,3,3
20,2,2,3
28,7,3,3
22,3,3,3
26,1,2,3
37,6,1,3
27,1,1,3
31,5,1,3
27,5,2,3
37,5,2,3
