@relation 'contraceptive-weka.filters.unsupervised.attribute.Remove-V-R1,4,6,10'

@attribute Wife_age numeric
@attribute Children numeric
@attribute Wife_working numeric
@attribute Contraceptive_method {1,2,3}

@data
45,8,1,1
38,2,0,1
44,1,0,1
31,2,1,1
47,2,0,1
23,2,1,1
45,3,1,1
38,1,0,1
35,3,1,1
24,3,0,1
26,3,1,1
23,2,1,1
36,5,1,1
31,2,1,1
25,0,1,1
26,1,1,1
30,2,1,1
43,5,1,1
23,2,1,1
36,4,1,1
30,4,1,1
32,2,1,1
32,1,1,1
31,2,0,1
47,4,1,1
32,4,1,1
47,7,0,1
43,5,0,1
49,6,1,1
48,3,1,1
41,5,1,1
23,2,0,1
22,2,1,1
32,4,1,1
37,0,1,1
17,1,1,1
37,2,1,1
45,4,0,1
38,4,0,2
37,2,0,2
30,1,0,2
36,3,1,2
38,2,1,2
42,8,1,2
31,3,0,2
31,2,0,2
48,4,1,2
36,4,1,2
38,5,1,2
47,7,1,2
47,6,0,2
43,2,0,2
36,7,1,2
47,10,1,2
29,2,1,2
33,3,1,2
45,6,1,2
35,3,0,2
31,3,1,2
36,2,0,3
35,4,1,3
41,1,1,3
41,5,1,3
24,1,1,3
22,1,1,3
19,3,1,3
27,5,1,3
24,2,1,3
35,6,1,3
22,3,1,3
30,4,1,3
39,4,1,3
25,2,1,3
27,3,1,3
34,2,1,3
30,3,0,3
23,2,1,3
25,3,1,3
21,2,1,3
41,9,1,3
23,2,0,3
24,1,1,3
41,8,1,3
29,2,1,3
23,3,1,3
26,2,1,3
24,3,1,3
22,2,1,3
31,3,1,3
36,3,0,3
46,4,1,3
34,6,1,3
17,0,0,3
29,3,0,3
21,3,0,3
36,11,1,3
46,9,0,3
35,6,0,1
49,1,1,1
20,0,1,1
35,6,0,1
25,1,1,1
48,6,1,1
38,8,1,1
20,2,1,1
28,5,1,1
20,1,1,1
28,1,0,1
19,1,1,1
38,4,0,1
44,2,1,1
22,2,1,1
24,4,1,1
33,3,0,1
38,4,0,1
22,1,1,1
41,3,0,1
37,0,1,1
24,2,1,1
47,5,1,1
31,2,1,1
32,4,1,1
35,3,1,2
21,1,1,2
34,3,1,2
21,3,1,2
29,3,1,2
43,6,0,2
24,1,1,2
27,1,1,2
27,2,1,2
48,3,1,2
25,2,0,2
48,7,0,2
31,4,1,3
37,6,1,3
16,1,1,3
26,2,1,3
22,1,1,3
30,4,0,3
44,5,0,3
26,2,0,3
18,1,1,3
36,3,1,3
41,5,0,3
27,3,1,3
27,4,1,3
30,2,1,3
