@relation vehicle

@attribute Distance_circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
89,61,151,187,199,van
80,54,160,182,193,van
66,63,137,188,194,van
70,50,137,183,183,van
82,63,146,199,206,van
85,58,152,187,197,van
84,57,149,189,199,van
55,53,132,176,183,van
83,133,158,184,194,van
77,59,139,201,209,van
84,62,145,199,206,van
81,67,145,194,202,van
85,64,161,185,195,van
70,58,136,186,187,van
66,65,137,193,202,van
84,57,156,182,191,van
85,65,155,184,196,van
53,58,118,180,183,van
91,70,157,190,200,van
88,67,157,192,200,van
85,138,155,188,196,van
66,58,134,191,197,van
83,64,156,185,196,van
85,66,153,196,204,van
53,59,123,179,183,van
81,64,156,184,193,van
70,61,133,194,202,van
78,59,160,183,192,van
51,52,119,179,183,van
58,56,118,184,186,van
73,58,161,182,193,van
79,63,144,195,203,van
90,65,153,194,203,van
68,60,130,195,203,van
66,64,128,195,200,van
85,58,153,186,197,van
81,60,150,185,195,van
82,63,144,199,207,van
64,61,129,194,201,van
83,56,157,184,197,van
76,55,132,191,192,van
80,58,156,183,193,van
60,62,114,190,194,van
86,126,153,185,194,van
64,69,136,193,204,van
74,59,157,184,191,van
57,48,135,183,182,van
76,59,142,189,196,van
73,58,161,183,191,van
81,102,155,183,192,van
68,52,128,182,187,van
66,62,131,196,201,van
77,56,157,182,191,van
90,67,157,192,200,van
63,59,131,197,204,van
85,60,155,185,196,van
68,54,127,195,196,van
72,60,133,192,195,van
62,61,122,200,208,van
58,58,122,197,203,van
85,59,158,183,193,van
70,52,127,191,190,van
88,67,158,194,202,van
62,56,130,184,186,van
53,53,132,176,183,van
84,66,159,186,197,van
71,63,143,187,196,van
62,59,127,204,210,van
85,68,157,187,195,van
84,58,149,188,200,van
66,53,131,188,191,van
58,58,122,199,206,van
68,59,139,189,196,van
87,64,157,183,194,van
70,62,136,194,202,van
60,56,118,193,199,van
74,59,136,189,193,van
91,63,151,197,205,van
85,64,163,189,196,van
57,56,114,197,202,van
84,55,155,183,195,van
70,58,126,199,207,van
76,62,137,201,209,van
47,55,117,180,184,van
66,61,133,201,208,van
81,68,146,189,199,van
82,56,159,182,191,van
85,66,151,195,204,van
58,51,133,181,182,van
84,55,157,182,192,van
82,58,159,183,194,van
69,63,138,189,195,van
85,66,156,183,195,van
80,66,148,189,199,van
66,57,123,193,198,van
78,56,160,182,192,van
73,58,136,187,188,van
58,55,117,190,194,van
51,56,119,181,184,van
70,52,130,186,185,van
88,64,159,189,198,van
85,57,159,182,192,van
70,56,127,189,190,van
66,48,139,182,183,van
80,62,146,188,197,van
81,97,150,186,196,van
70,55,130,190,194,van
85,64,163,185,195,van
66,55,120,186,190,van
64,62,130,203,210,van
60,54,119,186,190,van
81,62,147,188,198,van
78,64,137,203,210,van
82,54,155,186,197,van
82,65,145,199,207,van
80,64,147,188,199,van
62,59,116,199,204,van
63,57,132,193,201,van
82,68,143,191,201,van
82,56,159,183,192,van
82,56,159,183,193,van
72,64,137,196,203,van
