@relation vehicle

@attribute Compactness numeric
@attribute Major_variance numeric
@attribute Gyration_radius numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
91,165,140,207,van
89,168,143,200,van
95,175,172,193,van
89,170,188,193,van
86,141,129,190,van
93,170,143,203,van
95,176,185,198,van
95,176,184,197,van
86,170,185,192,van
94,179,203,194,van
88,174,164,196,van
100,176,170,196,van
88,156,124,209,van
89,148,150,188,van
91,166,167,194,van
95,173,185,191,van
89,137,125,185,van
87,157,159,201,van
93,161,127,204,van
96,167,174,201,van
92,142,116,203,van
84,159,140,202,van
84,166,176,193,van
92,159,148,183,van
92,160,161,184,van
94,179,186,195,van
91,157,124,192,van
93,171,188,195,van
86,145,143,208,van
83,144,146,184,van
91,139,118,198,van
93,180,188,197,van
97,173,182,202,van
96,167,159,202,van
92,164,172,185,van
90,200,164,196,van
94,159,115,201,van
89,143,153,199,van
93,160,127,207,van
98,160,171,207,van
93,180,189,194,van
89,175,174,193,van
85,173,176,199,van
85,139,127,184,van
94,164,179,202,van
87,168,175,196,van
93,172,178,195,van
90,173,200,195,van
94,161,128,195,van
90,173,185,192,van
86,140,141,207,van
89,168,166,187,van
97,166,171,205,van
100,170,184,200,van
94,178,186,194,van
89,166,127,196,van
93,169,179,204,van
93,166,137,188,van
90,155,151,182,van
90,149,157,208,van
87,171,181,198,van
94,155,116,196,van
91,170,158,199,van
89,170,163,199,van
89,173,174,196,van
87,138,138,183,van
83,169,179,199,van
86,141,112,208,van
91,161,153,201,van
86,163,124,195,van
93,164,155,185,van
89,170,176,194,van
87,157,159,201,van
85,136,139,184,van
85,171,179,196,van
88,135,125,183,van
85,168,176,191,van
86,137,145,204,van
91,159,123,209,van
89,138,147,183,van
93,163,170,201,van
85,150,121,203,van
90,165,162,191,van
87,135,144,190,van
88,169,161,197,van
89,168,149,197,van
90,154,162,204,van
92,165,137,206,van
90,175,184,197,van
91,159,156,194,van
85,148,142,187,van
95,163,166,206,van
89,169,176,192,van
94,174,162,199,van
94,176,186,192,van
86,168,171,201,van
90,173,171,192,van
90,172,186,193,van
82,231,172,199,van
89,177,173,193,van
93,164,149,185,van
94,176,161,197,van
91,163,164,197,van
88,176,164,195,van
90,159,171,203,van
85,169,174,199,van
86,140,152,186,van
84,156,121,205,van
89,146,150,206,van
92,135,137,194,van
91,171,147,199,van
96,161,124,208,van
89,200,177,192,van
91,162,130,202,van
89,173,161,197,van
95,176,171,200,van
89,229,176,194,van
98,157,132,185,van
83,145,157,183,van
89,147,112,207,van
83,143,135,185,van
89,175,186,197,van
90,162,164,202,van
90,173,186,192,van
86,153,127,202,van
86,161,174,201,van
89,153,119,209,van
97,173,157,200,van
88,148,113,206,van
94,154,119,208,van
90,169,185,192,van
88,137,136,183,van
89,172,162,200,van
89,162,162,191,van
96,162,139,183,van
93,160,156,184,van
87,167,157,199,van
90,169,186,193,van
92,149,150,210,van
91,168,199,200,van
88,142,158,183,van
96,161,161,207,van
90,272,200,194,van
93,165,134,203,van
95,173,159,200,van
95,158,140,183,van
94,177,187,196,van
86,167,138,196,van
94,170,176,195,van
88,150,161,210,van
89,173,176,197,van
88,147,109,209,van
83,142,157,183,van
84,141,133,183,van
86,139,137,183,van
96,154,150,182,van
90,158,167,209,van
89,171,177,191,van
89,170,177,191,van
90,170,186,193,van
86,140,148,194,van
94,154,159,196,van
91,159,155,194,van
93,156,119,190,van
93,164,143,206,van
89,167,128,193,van
93,158,121,201,van
90,179,186,196,van
88,147,160,198,van
85,134,145,202,van
97,148,112,200,van
85,170,173,193,van
95,168,150,204,van
94,320,187,196,van
93,174,165,196,van
93,156,159,210,van
96,160,139,184,van
98,160,123,194,van
98,159,134,187,van
91,170,149,189,saab
107,223,224,204,saab
104,217,168,207,saab
83,152,141,183,saab
93,211,230,196,saab
103,202,178,208,saab
107,221,217,198,saab
109,229,213,200,saab
95,210,169,200,saab
116,231,222,206,saab
108,227,215,198,saab
91,197,152,194,saab
105,217,218,199,saab
105,226,201,203,saab
104,226,209,201,saab
91,168,165,191,saab
82,151,143,185,saab
108,229,214,201,saab
95,178,125,208,saab
109,225,213,202,saab
108,224,214,199,saab
89,163,174,201,saab
84,175,177,187,saab
113,216,183,204,saab
99,221,199,197,saab
96,205,160,202,saab
108,228,240,197,saab
98,207,231,199,saab
78,162,146,185,saab
85,164,164,186,saab
85,130,127,183,saab
89,188,190,201,saab
85,136,127,185,saab
105,207,194,205,saab
96,197,160,200,saab
85,137,127,189,saab
92,181,144,196,saab
111,217,216,205,saab
107,221,216,197,saab
88,200,198,199,saab
102,228,238,200,saab
112,232,203,202,saab
103,217,210,199,saab
86,174,131,203,saab
98,195,197,201,saab
91,194,165,205,saab
90,187,139,203,saab
