@relation vehicle

@attribute Praxis_aspect_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Length_rectangular numeric
@attribute Major_variance numeric
@attribute Gyration_radius numeric
@attribute Class {van,saab,bus,opel}

@data
48,8,134,141,160,139,van
63,8,143,147,171,179,van
55,5,117,134,140,148,van
56,7,127,145,156,152,van
62,9,147,152,171,181,van
52,9,127,137,156,119,van
69,8,143,148,173,176,van
68,9,142,147,168,171,van
57,6,123,144,147,160,van
65,9,144,141,168,143,van
64,10,157,158,179,203,van
60,11,161,159,172,186,van
63,10,158,157,174,162,van
70,12,157,155,172,192,van
65,9,145,145,163,140,van
65,12,155,157,179,178,van
64,7,128,143,154,159,van
53,6,132,140,142,157,van
55,3,117,122,136,139,van
60,8,133,134,153,119,van
59,9,157,158,170,177,van
58,11,159,160,180,189,van
63,8,138,134,163,124,van
67,9,157,150,170,184,van
66,11,162,155,175,172,van
58,11,156,157,166,176,van
60,6,128,141,149,157,van
64,10,133,141,157,159,van
67,10,154,149,167,174,van
68,9,134,142,163,170,van
64,9,147,148,169,174,van
59,7,136,133,167,128,van
51,7,140,141,164,149,van
59,7,128,129,147,109,van
52,8,133,140,158,140,van
56,11,160,167,169,185,van
61,7,122,127,141,112,van
58,9,149,145,172,162,van
66,10,155,150,167,159,van
55,11,154,150,174,164,van
56,11,157,155,176,175,van
63,11,156,165,171,188,van
59,8,142,131,167,138,van
58,10,153,151,175,186,van
64,11,156,163,170,188,van
66,25,140,139,162,130,van
54,2,119,121,139,137,van
59,6,127,130,148,113,van
52,10,156,160,171,177,van
63,7,137,146,166,167,van
59,7,122,139,145,143,van
64,9,138,143,161,174,van
52,7,139,143,160,161,van
54,10,156,151,163,176,van
64,8,137,145,156,159,van
53,7,131,144,162,162,van
60,7,119,134,140,141,van
61,9,147,152,168,199,van
62,9,136,134,159,140,van
64,11,161,167,175,186,van
63,9,146,140,165,137,van
56,10,159,160,176,186,van
55,5,120,128,140,131,van
51,6,133,139,154,150,van
55,8,130,146,159,156,van
58,11,161,153,172,185,van
56,11,159,156,170,173,van
53,9,157,165,168,176,van
64,10,163,160,177,185,van
63,8,144,150,165,134,van
51,7,135,144,164,155,van
54,10,155,149,176,161,van
59,11,158,158,177,173,van
57,10,151,149,173,159,van
63,8,142,148,160,171,van
61,8,129,142,161,153,van
55,11,160,161,173,171,van
133,48,158,163,229,176,van
58,6,122,132,142,116,van
58,11,161,158,170,186,van
64,9,151,148,173,182,van
67,10,157,157,173,157,van
63,9,146,148,161,161,van
56,7,130,143,158,157,van
102,43,155,160,200,177,van
57,10,156,170,171,187,van
59,11,160,160,173,185,van
54,5,119,132,141,129,van
63,10,151,148,166,171,van
58,10,161,163,170,185,van
50,8,137,141,162,139,van
58,9,152,155,175,184,van
49,7,134,142,164,134,van
52,5,119,128,135,125,van
54,7,127,132,155,116,van
56,8,131,144,159,134,van
59,8,139,130,166,127,van
64,9,144,139,168,149,van
54,5,120,127,138,147,van
58,7,126,128,147,112,van
58,6,136,138,166,137,van
58,8,140,148,168,175,van
57,9,149,143,170,158,van
105,55,139,145,231,172,van
64,11,163,163,176,170,van
57,11,159,167,173,186,van
63,11,160,157,176,171,van
48,7,135,139,155,151,van
62,8,146,144,169,161,van
55,12,155,158,176,164,van
67,10,158,149,173,154,van
61,8,133,135,154,119,van
62,8,140,150,161,124,van
53,6,122,129,143,135,van
57,6,116,125,138,123,van
53,7,132,137,145,157,van
64,8,137,144,159,171,van
62,11,159,156,169,186,van
64,10,133,142,157,159,van
56,6,118,137,143,153,van
64,7,135,145,165,162,van
62,8,137,137,156,124,van
62,9,131,127,159,115,van
56,5,119,124,139,127,van
68,8,142,144,169,179,van
138,49,155,155,320,187,van
54,11,160,163,175,174,van
56,6,114,135,134,145,van
55,11,157,160,169,176,van
59,8,139,139,159,123,van
59,8,127,139,149,150,van
65,10,153,156,170,143,van
61,11,151,145,170,163,van
58,6,136,146,168,166,van
68,10,155,148,173,182,van
59,6,116,135,137,145,van
52,6,139,144,164,172,van
58,10,152,144,173,161,van
64,10,156,153,177,187,van
97,46,150,149,200,164,van
54,6,115,126,135,144,van
61,7,137,140,156,121,van
126,49,153,156,272,200,van
58,9,134,142,163,164,van
54,11,158,162,178,186,van
60,9,133,135,161,128,van
55,8,132,135,157,124,van
62,8,130,142,150,161,van
56,10,157,164,169,187,van
52,8,130,139,157,132,van
69,8,136,136,161,127,van
60,10,155,155,179,186,van
53,7,132,139,142,158,van
68,10,157,156,170,176,van
56,6,119,130,139,118,van
62,10,145,148,163,166,van
55,7,130,138,160,123,van
64,11,159,157,176,185,van
66,8,139,140,157,126,van
59,6,123,137,148,150,van
61,9,133,130,153,127,van
56,9,126,144,159,155,van
64,11,155,151,173,174,van
64,8,128,129,148,112,van
64,10,157,161,179,186,van
61,9,149,157,165,140,van
59,5,123,125,141,133,van
68,10,143,137,164,158,van
66,11,159,159,173,176,van
66,9,151,147,169,179,van
66,11,156,158,172,178,van
58,7,122,140,146,150,van
63,9,144,143,160,127,van
56,10,157,155,180,188,van
66,9,153,144,168,150,van
56,4,118,129,140,152,van
72,10,162,159,176,184,van
67,9,145,147,164,179,van
48,7,139,140,159,148,van
57,11,211,168,224,218,saab
58,11,208,159,223,186,saab
62,7,149,129,174,153,saab
65,12,213,167,223,232,saab
58,6,116,121,137,127,saab
64,10,220,168,224,214,saab
59,9,197,158,218,234,saab
55,6,123,118,148,118,saab
61,10,198,149,214,186,saab
64,10,201,152,214,178,saab
60,10,215,169,224,218,saab
59,9,167,134,186,129,saab
57,4,116,123,135,128,saab
60,7,150,128,174,131,saab
63,9,185,138,206,173,saab
70,12,215,168,226,228,saab
56,7,149,140,168,165,saab
62,11,202,164,216,235,saab
59,9,186,138,208,168,saab
63,10,201,152,221,199,saab
64,10,187,150,202,158,saab
56,7,152,134,173,160,saab
68,10,208,166,217,218,saab
58,7,128,134,149,158,saab
66,7,173,151,197,205,saab
62,10,180,143,200,153,saab
60,12,196,162,207,184,saab
69,8,183,156,211,230,saab
63,10,196,159,214,201,saab
60,9,197,147,222,198,saab
73,10,221,174,232,214,saab
63,12,222,168,226,201,saab
