@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R3,8,13,18-19'

@attribute Distance_circularity numeric
@attribute Elongatedness numeric
@attribute Gyration_radius numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
82,46,127,207,van
75,43,184,192,bus
54,53,139,183,saab
66,46,120,202,opel
98,31,218,197,saab
68,46,172,184,bus
98,31,221,193,opel
89,44,163,199,van
60,56,129,190,van
66,46,177,188,bus
100,32,189,195,opel
88,43,157,200,van
75,43,185,192,van
63,46,172,182,bus
85,42,170,196,van
103,26,239,183,bus
91,31,198,198,opel
84,44,188,195,van
106,32,238,200,saab
86,41,147,191,opel
72,44,178,186,bus
78,43,185,192,van
77,42,126,205,opel
65,45,172,183,bus
68,45,184,184,bus
66,50,165,187,opel
110,31,222,206,saab
66,51,123,194,van
81,44,177,192,van
83,43,188,197,van
88,39,144,204,saab
80,41,137,197,saab
103,30,213,200,saab
73,44,152,194,bus
106,28,253,185,bus
101,35,169,200,opel
81,41,197,193,opel
71,48,174,197,opel
77,47,124,208,van
71,45,176,196,bus
70,47,173,199,bus
74,43,127,205,bus
70,48,140,202,van
91,32,186,191,bus
105,32,221,197,saab
74,44,177,191,van
68,46,171,184,bus
70,46,168,186,bus
100,31,221,194,saab
72,46,149,189,saab
92,42,171,200,van
105,31,223,195,opel
103,33,174,196,opel
93,31,196,199,saab
87,44,174,201,van
103,30,212,199,saab
82,40,164,208,opel
66,54,139,190,opel
83,37,157,193,opel
68,52,134,187,van
101,33,186,203,opel
105,31,218,197,saab
88,38,169,210,saab
66,45,185,183,bus
109,27,268,183,bus
92,36,153,205,saab
83,39,196,201,opel
102,31,221,198,saab
88,38,147,205,saab
74,39,191,200,bus
108,31,228,201,saab
77,43,145,191,opel
104,31,212,199,saab
75,37,137,199,bus
103,31,188,200,saab
64,51,161,210,van
98,35,178,194,opel
100,31,214,197,saab
66,46,174,181,bus
80,45,161,197,van
60,50,141,188,opel
84,36,201,201,bus
101,33,204,204,opel
109,31,215,199,saab
84,43,176,197,van
