@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R1,11,13,18-19'

@attribute Compactness numeric
@attribute Major_variance numeric
@attribute Gyration_radius numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
104,223,220,196,saab
101,227,223,193,opel
102,217,163,193,bus
80,168,158,185,saab
87,186,130,205,opel
97,225,218,198,opel
77,167,136,187,opel
109,226,212,201,saab
85,168,173,184,bus
89,151,146,185,saab
98,164,134,186,van
88,141,145,188,saab
93,156,152,190,van
91,170,180,198,opel
98,223,217,195,opel
88,185,148,197,bus
86,177,173,185,bus
101,219,224,192,opel
94,191,121,209,opel
90,175,157,197,bus
88,176,175,195,van
100,225,211,197,opel
93,179,178,196,van
91,177,123,201,saab
106,224,218,197,saab
90,211,220,199,saab
82,172,152,195,bus
105,232,202,199,saab
87,169,171,182,bus
106,197,180,209,opel
89,163,176,193,van
102,224,203,198,opel
88,163,157,183,saab
87,181,174,196,opel
95,196,185,198,saab
84,168,180,187,bus
104,232,203,201,saab
82,146,128,184,saab
98,189,129,203,bus
91,165,149,191,saab
98,227,193,196,opel
90,172,185,191,van
91,164,158,201,van
106,218,200,201,opel
100,206,198,199,bus
105,254,206,184,bus
94,190,193,198,opel
88,184,140,198,opel
109,212,186,201,opel
98,173,154,202,van
108,264,228,185,bus
85,169,175,182,bus
89,170,166,198,opel
101,192,187,210,saab
85,173,163,182,bus
85,138,123,203,van
96,215,162,196,bus
93,157,126,208,van
97,158,157,186,van
96,173,182,199,van
96,214,214,201,saab
90,177,185,195,van
110,223,210,203,saab
94,172,192,200,van
97,214,201,191,bus
108,214,201,205,saab
92,184,127,202,bus
106,228,191,198,opel
100,224,240,196,saab
94,171,178,206,bus
96,173,182,202,van
85,178,179,184,bus
94,171,187,191,van
106,263,222,184,bus
81,175,171,185,bus
97,219,219,194,opel
90,169,187,191,van
81,186,186,185,bus
90,175,186,195,van
95,163,140,207,van
86,185,157,190,opel
92,185,184,191,saab
94,181,181,199,saab
86,155,148,195,saab
85,140,131,190,van
