@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R1-2,12,17-19'

@attribute Compactness numeric
@attribute Circularity numeric
@attribute Minor_variance numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
97,43,361,200,204,bus
86,34,223,200,208,van
94,49,465,197,199,bus
88,42,293,198,205,saab
90,48,346,185,194,van
95,48,628,186,193,opel
107,53,653,191,201,opel
91,39,445,188,194,saab
91,42,446,196,201,bus
104,52,583,191,198,saab
94,48,363,184,195,van
95,46,602,191,202,opel
92,40,319,199,206,van
89,42,323,186,189,bus
100,46,578,189,197,saab
103,54,728,189,200,opel
93,36,279,193,204,van
87,39,337,187,196,saab
84,39,469,190,198,opel
107,56,705,189,196,saab
81,46,342,180,186,bus
90,36,367,197,204,saab
89,40,225,199,206,van
83,44,325,185,191,bus
85,39,195,197,202,van
99,55,722,186,196,opel
94,35,258,196,201,van
85,34,197,185,189,saab
83,37,245,180,184,saab
93,47,452,195,202,saab
96,47,598,187,194,opel
82,37,252,183,187,saab
94,37,385,200,204,bus
97,45,334,197,205,van
91,46,323,189,200,van
87,45,350,184,189,opel
106,54,923,182,182,bus
100,51,704,189,199,opel
90,49,467,189,195,saab
87,42,265,193,201,van
88,36,287,194,202,opel
101,53,685,190,201,opel
93,34,263,200,206,saab
85,45,326,181,184,bus
89,36,266,193,203,opel
85,42,328,181,185,bus
93,42,262,185,185,van
91,46,362,192,199,bus
94,37,394,198,204,opel
95,43,322,195,200,bus
85,40,340,180,183,opel
82,43,330,181,186,bus
94,45,533,195,198,bus
104,57,718,186,195,opel
108,54,709,189,201,saab
95,37,365,196,208,saab
88,39,281,201,209,van
86,43,326,179,182,bus
104,49,637,193,207,saab
88,43,342,186,189,bus
97,35,246,195,200,van
104,55,623,189,196,opel
108,53,712,189,199,saab
83,40,250,177,183,van
88,42,227,193,198,van
88,44,312,188,193,bus
95,46,543,190,200,saab
85,40,295,182,186,saab
91,39,289,201,209,van
96,46,427,200,203,bus
108,49,635,189,198,saab
102,54,766,188,187,bus
104,53,667,187,198,saab
85,45,307,190,199,van
88,40,249,176,183,van
100,50,719,189,189,bus
107,45,526,195,203,opel
88,39,332,193,201,bus
97,48,602,193,202,opel
92,52,536,188,195,opel
85,38,219,195,201,opel
98,38,427,200,202,bus
95,43,534,190,197,opel
90,44,283,196,203,van
