@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R3,5,7,17-19'

@attribute Distance_circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
100,61,216,185,195,saab
76,63,164,192,197,saab
63,51,142,181,185,saab
101,70,210,188,197,opel
98,63,193,198,204,opel
75,56,146,184,188,opel
78,68,142,190,201,van
80,55,147,181,193,opel
57,55,125,178,184,opel
80,62,159,185,193,van
68,54,150,179,183,bus
79,64,144,188,197,van
68,64,147,181,184,bus
73,68,151,196,205,bus
66,66,145,201,207,bus
98,59,240,186,184,bus
79,64,162,191,198,opel
64,55,149,179,182,bus
72,56,138,187,192,opel
106,68,208,189,199,saab
68,53,151,179,183,bus
104,59,208,187,198,saab
64,68,134,192,201,van
74,74,165,196,200,bus
65,56,151,179,184,bus
75,51,140,184,185,van
103,65,212,188,196,opel
68,67,142,198,203,bus
60,60,119,200,207,van
62,53,122,181,185,van
106,51,257,181,184,bus
73,71,154,197,206,bus
70,58,151,181,186,bus
100,59,192,196,202,opel
66,56,126,191,194,van
51,54,120,181,183,van
78,63,142,201,207,van
96,59,188,193,200,opel
75,62,140,183,190,opel
77,59,151,202,208,opel
105,61,198,192,205,saab
85,58,152,186,197,van
70,66,140,192,202,van
51,56,120,177,184,opel
60,56,119,192,198,van
73,68,142,191,199,van
101,57,225,186,198,opel
78,60,161,184,193,van
76,60,157,198,206,saab
66,57,151,180,183,bus
98,68,215,189,201,opel
108,68,218,190,204,saab
89,58,177,189,196,saab
83,60,160,186,191,saab
69,54,150,180,182,bus
108,63,222,189,203,saab
103,66,214,188,201,saab
65,55,150,179,183,bus
72,62,153,182,188,bus
70,61,137,196,205,van
69,58,140,199,206,opel
70,69,143,188,193,bus
76,73,178,197,200,bus
83,69,177,196,198,bus
78,62,161,203,211,opel
92,63,179,197,204,opel
60,59,128,202,209,van
83,61,164,187,193,saab
80,67,154,190,195,saab
69,59,130,193,200,opel
85,62,169,200,210,saab
105,64,201,192,204,saab
107,61,225,187,201,opel
74,66,145,195,200,bus
101,65,197,189,197,saab
68,53,150,179,184,bus
69,64,135,187,191,van
96,62,218,187,198,saab
52,54,115,186,190,van
82,56,154,188,193,saab
105,56,210,187,196,saab
71,53,137,181,186,saab
100,54,224,185,198,opel
76,57,151,187,200,van
101,67,222,187,201,saab
