@relation vehicle

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Max_length_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Elongatedness numeric
@attribute Major_skewness numeric
@attribute Class {van,saab,bus,opel}

@data
90,77,10,157,44,78,van
89,85,10,153,44,74,van
93,64,8,136,49,67,van
84,53,5,123,55,82,van
95,83,10,162,42,70,van
89,68,8,139,47,73,van
98,70,8,130,53,74,van
95,76,10,151,44,71,van
90,80,11,159,43,74,van
90,69,7,135,49,75,van
96,58,6,133,52,86,van
89,80,11,160,43,77,van
84,70,7,137,49,64,van
91,60,6,119,56,67,van
97,88,10,157,43,67,van
89,70,7,126,53,64,van
85,66,5,120,56,73,van
93,70,9,127,53,71,van
83,62,6,122,55,79,van
86,78,9,142,46,70,van
90,85,9,152,44,73,van
89,58,7,122,54,63,van
93,70,7,127,53,74,van
90,75,11,160,43,77,van
89,60,6,118,56,65,van
85,80,9,147,45,71,van
89,83,48,158,43,97,van
85,64,6,116,57,65,van
90,57,7,135,51,85,van
93,78,8,137,48,63,van
90,81,46,150,45,91,van
90,85,10,163,42,73,van
89,79,9,144,46,71,van
86,44,2,119,57,90,van
89,81,11,156,44,76,van
84,80,11,156,44,74,van
85,51,5,119,57,81,van
94,68,7,128,52,69,van
98,68,7,134,51,75,van
94,66,8,133,50,62,van
84,70,9,136,48,68,van
95,92,11,160,42,70,van
90,78,11,160,43,76,van
89,85,11,155,43,72,van
97,62,7,130,52,78,van
93,85,9,151,44,67,van
83,73,8,142,46,71,van
89,74,7,136,49,72,van
90,85,10,155,43,75,van
94,83,10,156,43,74,van
89,51,5,120,56,82,van
98,68,8,131,52,72,van
90,62,6,128,52,61,van
86,69,8,138,48,71,van
93,85,12,155,43,76,van
94,85,49,155,43,135,van
91,70,25,140,47,67,van
88,64,8,130,51,63,van
91,88,9,149,45,64,van
86,60,5,119,56,72,van
96,64,8,134,52,80,van
86,68,9,138,48,69,van
90,86,49,153,44,118,van
94,72,9,133,50,69,van
87,52,6,115,58,74,van
91,64,8,129,51,68,van
88,55,7,132,53,87,van
100,85,11,163,42,71,van
86,60,7,119,55,61,van
93,64,7,135,51,78,van
94,87,11,158,43,75,van
86,70,9,133,50,66,van
94,84,10,156,44,77,van
92,82,9,146,45,64,van
88,66,6,123,54,66,van
92,58,6,122,55,64,van
89,84,9,149,45,72,van
83,59,7,132,52,84,van
89,70,6,136,49,78,van
93,64,9,134,49,71,van
91,76,8,132,51,69,van
89,84,11,157,44,74,van
91,82,10,143,46,68,van
91,66,7,137,48,72,van
90,85,11,159,43,75,van
86,58,5,117,57,69,van
93,73,6,136,49,73,van
89,77,9,144,46,70,van
85,71,8,143,46,72,van
94,85,10,158,43,68,van
89,81,43,155,44,90,van
