@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R3,6,12,17-19'

@attribute Distance_circularity numeric
@attribute Max_length_aspect_ratio numeric
@attribute Minor_variance numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
83,10,379,187,197,van
106,6,957,181,183,bus
85,10,345,187,197,van
80,9,324,188,199,van
98,11,696,187,199,saab
90,9,363,192,200,van
81,11,352,184,193,van
62,6,341,202,209,bus
62,7,330,180,185,saab
94,5,666,193,191,bus
92,5,671,191,189,bus
106,6,998,181,182,bus
83,48,364,184,194,van
80,9,373,201,209,saab
96,10,527,195,206,saab
84,6,525,196,197,bus
53,5,259,177,183,opel
78,8,349,203,211,saab
104,12,674,191,199,saab
70,8,243,186,185,van
75,5,479,197,197,bus
86,7,373,190,196,saab
69,8,284,189,195,van
79,8,309,195,203,van
59,7,320,179,182,bus
66,8,253,184,183,van
69,7,333,198,203,opel
73,7,341,185,189,bus
84,11,350,185,196,van
57,6,265,180,184,saab
76,5,362,189,193,bus
75,7,345,195,204,bus
77,6,457,199,201,bus
68,8,265,201,209,van
103,11,676,189,198,opel
96,10,533,191,199,saab
90,9,472,193,201,saab
109,10,635,191,202,saab
59,7,264,179,185,saab
60,6,281,179,186,opel
107,11,756,186,198,opel
106,5,966,182,181,bus
73,7,341,196,200,bus
71,7,330,180,184,bus
89,9,428,193,202,opel
104,11,639,191,202,saab
109,11,586,194,208,saab
74,9,388,197,206,opel
62,8,241,204,210,van
66,8,252,183,187,opel
94,10,573,188,197,opel
112,11,667,190,206,saab
74,7,278,189,193,van
63,6,223,186,188,van
74,7,375,195,201,bus
58,6,243,199,206,van
70,8,311,196,203,bus
103,11,673,188,198,saab
66,8,321,179,182,bus
96,9,713,187,194,opel
100,9,600,189,198,opel
78,7,314,187,194,opel
105,10,737,188,196,opel
63,7,246,198,204,saab
75,6,290,189,195,saab
84,7,520,196,199,bus
107,12,644,191,200,opel
105,11,709,190,197,opel
98,9,562,190,199,opel
79,6,393,198,205,bus
100,9,561,194,203,saab
75,11,369,182,192,van
83,7,417,187,192,opel
78,8,281,203,210,van
100,9,557,194,202,opel
76,8,256,191,192,van
68,7,372,202,206,bus
100,12,573,198,208,saab
106,10,660,187,197,saab
70,8,332,181,184,bus
72,9,262,192,195,van
104,10,631,188,196,opel
80,6,396,194,199,opel
105,10,597,190,198,opel
