@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R1,3,11,14,17-19'

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Major_variance numeric
@attribute Major_skewness numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
91,84,170,72,189,199,van
86,70,153,66,194,202,van
87,70,164,69,192,199,bus
99,105,221,68,191,201,saab
92,71,181,70,189,195,saab
97,96,202,66,191,199,saab
77,63,145,79,183,187,opel
93,86,203,72,194,197,bus
89,76,174,72,193,197,bus
89,84,172,72,188,200,van
97,108,232,72,188,197,opel
89,80,166,74,185,189,saab
95,85,168,65,196,204,van
94,68,154,69,192,196,van
80,68,170,80,180,185,bus
89,77,168,70,190,200,van
88,50,132,74,182,187,opel
95,88,176,71,189,198,van
90,78,173,76,183,192,van
90,57,137,68,190,195,saab
86,77,174,66,196,203,saab
91,76,169,68,192,200,bus
90,72,174,61,203,209,saab
85,78,168,64,197,203,opel
108,103,222,67,190,200,opel
106,103,266,85,181,183,bus
78,60,141,78,178,185,opel
103,106,217,70,191,199,saab
111,103,227,69,190,198,opel
103,100,217,73,187,194,opel
87,81,171,72,188,198,van
100,81,206,74,197,198,bus
86,66,155,74,183,189,saab
107,98,221,71,188,197,saab
85,47,136,89,180,184,van
93,73,182,65,195,201,opel
104,103,231,71,187,196,opel
84,80,166,74,183,193,van
112,110,232,71,191,202,saab
100,93,202,66,193,198,opel
91,98,194,66,195,205,saab
90,63,173,81,180,184,bus
95,105,202,64,198,211,saab
99,101,228,74,187,196,opel
81,69,171,75,183,188,bus
93,88,208,70,189,197,opel
96,77,188,69,199,203,bus
87,70,177,76,184,187,bus
104,108,226,67,188,201,saab
101,91,231,78,192,192,bus
92,70,164,79,183,185,van
90,62,149,61,201,208,van
107,105,234,72,189,196,opel
83,71,174,80,181,186,bus
82,86,174,71,183,189,opel
102,108,219,66,191,201,opel
105,96,231,75,187,195,opel
107,103,269,83,179,186,bus
86,66,145,63,202,208,van
88,84,176,75,183,195,van
86,66,162,74,186,190,saab
89,68,166,73,189,196,van
88,79,200,66,189,199,opel
108,103,232,73,187,197,saab
106,108,229,73,190,205,saab
86,77,174,72,187,192,opel
85,75,171,75,183,188,saab
84,76,179,75,187,193,bus
100,109,234,72,187,198,opel
105,80,214,75,194,194,bus
86,70,170,84,180,183,bus
106,107,285,86,180,184,bus
83,71,172,74,184,190,bus
95,96,199,67,193,200,opel
94,85,170,73,187,195,van
102,104,220,68,188,197,saab
91,72,168,72,186,191,saab
96,101,218,73,189,197,saab
85,66,166,85,179,182,bus
90,85,189,71,186,192,saab
86,68,161,69,192,201,van
83,53,142,86,176,183,van
85,66,172,83,180,183,bus
97,70,167,65,201,208,bus
