@relation vehicle

@attribute Compactness numeric
@attribute Praxis_rectangular numeric
@attribute Length_rectangular numeric
@attribute Major_variance numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
90,18,145,165,191,van
93,20,155,180,197,van
90,19,156,173,195,van
85,17,125,138,203,van
90,18,142,154,204,van
87,18,148,168,196,van
86,18,143,161,201,van
95,20,155,175,193,van
94,20,155,172,200,van
89,20,158,170,191,van
93,20,160,180,194,van
92,17,132,135,194,van
82,18,145,231,199,van
90,20,164,169,191,van
90,20,167,173,192,van
89,18,134,153,209,van
93,18,145,156,210,van
92,17,139,149,210,van
91,18,146,166,194,van
95,20,157,176,198,van
88,17,128,137,183,van
91,18,146,159,194,van
84,18,134,159,202,van
87,19,139,167,199,van
83,18,144,169,199,van
86,17,134,140,207,van
97,19,148,166,205,van
96,19,149,167,201,van
94,18,143,154,196,van
90,18,141,149,208,van
89,17,137,148,188,van
89,19,144,173,197,van
95,20,162,173,191,van
86,17,132,141,190,van
94,19,149,176,197,van
88,19,150,174,196,van
98,18,138,160,194,van
92,18,143,160,184,van
91,18,144,159,194,van
89,19,139,168,197,van
92,19,140,165,206,van
91,18,139,162,202,van
98,18,144,159,187,van
90,20,161,173,192,van
100,20,163,176,196,van
89,20,160,200,192,van
96,19,148,161,207,van
93,18,145,156,190,van
95,19,148,163,206,van
93,18,136,161,204,van
89,20,160,169,192,van
89,17,140,146,206,van
89,17,128,147,207,van
84,18,140,156,205,van
93,18,144,164,185,van
85,17,135,134,202,van
88,18,129,147,209,van
85,20,165,168,191,van
94,20,170,171,191,van
88,20,158,176,195,van
95,19,144,168,204,van
88,17,128,135,183,van
88,17,144,147,198,van
85,18,148,173,199,van
90,19,156,272,194,van
97,18,129,148,200,van
85,18,130,150,203,van
90,18,139,155,182,van
90,20,167,169,192,van
89,20,159,173,197,van
86,20,163,170,192,van
88,18,137,156,209,van
91,17,130,139,198,van
89,17,129,137,185,van
90,19,155,179,196,van
90,20,160,177,195,van
93,20,158,172,195,van
95,19,149,173,200,van
90,18,145,158,209,van
93,20,165,171,195,van
83,17,128,144,184,van
94,19,153,177,196,van
85,17,128,140,190,van
91,19,152,168,200,van
91,18,135,157,192,van
96,18,150,161,208,van
90,20,156,169,193,van
93,18,141,164,185,van
96,19,148,173,199,van
95,19,145,163,207,van
93,18,138,166,188,van
87,17,126,135,190,van
85,17,122,136,184,van
98,18,148,160,207,van
98,18,139,157,185,van
90,20,153,172,191,van
90,20,159,172,193,van
93,19,147,164,206,van
94,20,157,174,199,van
97,20,149,173,202,van
89,20,163,229,194,van
88,20,155,176,195,van
93,19,157,179,196,van
95,20,159,176,197,van
87,17,125,138,183,van
95,20,157,176,200,van
94,20,161,179,195,van
93,18,142,163,201,van
90,18,144,159,203,van
91,18,142,161,201,van
94,18,135,161,195,van
89,19,145,170,199,van
89,17,127,138,183,van
93,19,150,165,203,van
83,18,140,142,183,van
92,17,132,142,203,van
86,17,129,140,186,van
89,20,158,177,193,van
93,18,140,157,208,van
88,18,130,148,206,van
94,18,135,154,208,van
97,20,157,173,200,van
100,20,150,170,200,van
89,18,133,167,193,van
91,18,139,159,209,van
90,19,155,175,197,van
93,19,156,170,203,van
90,19,149,200,196,van
91,19,137,164,201,van
93,18,137,156,190,van
87,18,141,157,201,van
96,19,148,173,202,van
89,18,144,162,191,van
93,19,143,160,207,van
89,19,141,168,200,van
90,20,158,170,193,van
94,18,127,159,201,van
86,18,147,168,201,van
91,19,143,170,199,van
86,17,121,139,183,van
97,18,143,158,186,van
89,18,130,166,196,van
93,19,153,174,196,van
98,18,142,164,186,van
90,18,146,162,202,van
89,20,151,163,193,van
87,19,152,171,198,van
94,20,156,170,195,van
92,18,144,164,185,van
84,20,157,166,193,van
93,19,147,169,204,van
85,17,124,139,184,van
85,20,156,170,193,van
83,17,129,143,185,van
95,18,140,158,183,van
88,18,139,142,183,van
86,18,130,153,202,van
96,18,141,160,184,van
90,20,167,175,195,van
91,19,145,171,199,van
89,20,163,170,193,van
86,17,139,145,208,van
89,20,160,170,194,van
89,17,137,143,199,van
93,18,136,158,201,van
86,18,134,163,195,van
90,20,160,173,192,van
83,18,137,145,183,van
94,20,158,179,194,van
88,19,144,169,197,van
91,18,142,163,197,van
94,20,160,176,192,van
85,18,135,148,187,van
88,18,142,150,210,van
89,19,145,172,200,van
85,19,148,169,199,van
98,20,149,173,202,van
93,18,145,160,184,van
86,17,127,141,208,van
82,18,126,146,184,saab
107,24,162,226,198,saab
82,18,127,148,187,saab
91,19,128,163,200,saab
85,17,121,137,189,saab
93,21,151,197,202,saab
109,25,172,229,199,saab
88,18,125,151,184,saab
101,24,168,229,199,saab
91,19,133,166,205,saab
107,25,172,221,197,saab
110,24,171,222,198,saab
90,17,118,148,202,saab
104,25,172,226,203,saab
89,20,153,188,201,saab
104,24,168,216,198,saab
104,23,158,223,196,saab
93,22,156,211,196,saab
95,22,150,202,211,saab
95,22,148,210,200,saab
91,21,135,194,205,saab
104,23,158,218,198,saab
89,18,127,151,185,saab
79,19,128,153,183,saab
100,23,164,224,196,saab
93,18,123,158,206,saab
89,19,139,166,189,saab
115,25,166,229,199,saab
83,18,125,143,183,saab
103,24,163,222,196,saab
108,24,159,229,199,saab
92,19,129,180,195,saab
89,20,150,189,193,saab
85,17,119,130,183,saab
109,24,156,225,202,saab
106,25,173,228,201,saab
104,24,168,226,201,saab
101,21,153,192,210,saab
86,18,136,155,189,saab
93,22,146,202,204,saab
106,24,153,227,203,saab
94,20,139,184,210,saab
88,18,130,141,188,saab
84,17,123,135,190,saab
107,25,170,223,204,saab
86,19,128,174,203,saab
85,19,131,171,188,saab
91,21,132,197,198,saab
111,24,156,223,200,saab
109,25,175,229,200,saab
108,23,155,227,198,saab
90,21,132,200,195,saab
86,18,133,162,190,saab
96,18,141,162,209,saab
90,17,127,137,195,saab
