@relation vehicle

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Praxis_rectangular numeric
@attribute Minor_variance numeric
@attribute Class {van,saab,bus,opel}

@data
95,84,62,10,19,312,van
93,75,51,7,18,284,van
93,85,66,9,19,339,van
96,87,67,10,19,351,van
96,85,66,10,19,355,van
92,60,62,5,17,194,van
94,68,54,7,18,242,van
95,85,66,9,19,347,van
94,87,64,10,20,363,van
90,81,60,9,19,333,van
83,59,53,7,18,250,van
93,73,58,6,18,275,van
89,70,58,6,18,273,van
87,66,58,8,18,294,van
90,81,97,46,19,332,van
89,84,66,11,20,368,van
91,60,56,6,17,211,van
94,82,54,10,19,359,van
93,79,63,8,19,309,van
86,44,54,2,17,208,van
89,85,59,11,20,362,van
90,62,60,6,18,246,van
93,78,64,8,18,281,van
88,55,53,7,18,249,van
95,76,57,10,19,339,van
87,64,64,10,18,264,van
86,69,63,8,18,284,van
95,66,52,8,18,253,van
86,78,68,9,18,305,van
92,66,52,7,18,275,van
86,76,59,8,18,301,van
97,88,67,10,20,365,van
93,84,63,11,20,354,van
94,66,61,8,18,265,van
83,53,53,6,18,247,van
92,62,59,8,17,241,van
90,85,60,10,19,355,van
90,69,64,7,18,272,van
89,80,54,11,20,369,van
97,91,63,10,19,334,van
86,60,54,5,17,209,van
85,57,56,6,17,195,van
89,81,102,43,20,347,van
89,85,64,11,19,356,van
89,78,63,11,20,367,van
89,51,54,5,17,213,van
92,82,63,9,19,319,van
88,53,57,3,17,204,van
89,58,58,7,17,225,van
91,77,59,8,18,289,van
88,76,62,8,18,281,van
95,83,72,10,20,379,van
84,70,62,9,18,280,van
94,85,68,10,20,357,van
83,49,55,5,17,219,van
91,66,56,9,18,237,van
93,83,56,10,20,364,van
87,81,62,9,19,325,van
88,80,62,8,19,318,van
89,79,64,9,19,311,van
86,62,59,6,17,203,van
100,85,64,11,20,387,van
89,84,58,9,19,330,van
86,58,55,5,17,204,van
86,68,64,9,18,285,van
90,75,55,11,20,369,van
90,85,58,9,19,345,van
90,80,62,11,20,366,van
91,78,61,9,19,323,van
88,58,59,6,18,243,van
87,53,58,4,17,205,van
92,58,58,6,17,222,van
86,58,56,4,17,208,van
89,63,59,6,17,223,van
89,70,58,7,17,237,van
86,62,61,7,17,223,van
90,86,126,49,19,346,van
84,53,59,5,17,221,van
90,66,65,9,18,281,van
92,70,52,6,18,282,van
89,68,60,8,18,265,van
85,71,63,8,19,307,van
96,77,62,8,18,294,van
98,66,55,7,18,251,van
89,77,52,10,20,351,van
93,85,66,11,20,355,van
85,47,55,3,17,203,van
82,70,105,55,18,289,van
85,75,53,9,20,358,van
94,85,138,49,19,354,van
85,73,69,8,18,307,van
89,81,64,11,20,352,van
89,89,61,11,19,338,van
90,85,57,11,20,365,van
90,78,56,11,20,366,van
95,92,63,11,20,372,van
90,72,64,8,18,283,van
93,64,51,7,18,262,van
91,84,57,9,19,330,van
94,87,64,10,20,363,van
98,70,52,8,18,243,van
89,68,59,8,18,291,van
90,78,60,11,20,374,van
96,64,48,8,18,258,van
96,70,50,8,18,269,van
90,57,48,7,18,261,van
93,88,66,9,19,334,van
86,66,59,7,17,225,van
93,64,68,9,18,268,van
88,84,55,11,19,350,van
97,66,64,8,18,246,van
87,81,68,10,19,317,van
97,87,64,9,20,359,van
94,68,64,7,18,246,van
91,76,55,8,18,256,van
98,68,56,8,18,251,van
96,58,51,6,18,255,van
94,87,54,11,20,366,van
87,52,54,6,17,196,van
94,66,62,9,18,258,van
93,90,65,10,19,348,van
94,83,64,10,19,357,van
83,62,53,6,17,218,van
89,66,53,7,18,254,van
94,72,60,9,18,262,van
91,80,66,8,19,331,van
91,64,61,8,18,249,van
87,64,64,10,18,265,van
94,81,67,9,19,313,van
84,70,61,7,18,278,van
93,82,63,9,19,309,van
91,66,58,9,18,268,van
88,51,52,5,17,207,van
89,51,52,6,17,206,van
93,62,49,7,18,249,van
88,60,59,7,18,246,van
85,68,52,5,18,241,van
90,72,64,8,18,279,van
88,64,62,8,18,253,van
88,66,57,6,17,227,van
93,63,57,8,18,260,van
96,80,63,9,19,316,van
83,73,68,8,18,305,van
84,80,58,11,20,349,van
89,85,58,10,19,349,van
85,68,60,6,18,253,van
94,85,63,10,20,367,van
92,66,48,7,19,277,van
95,88,64,11,20,371,van
89,85,58,10,19,345,van
98,78,63,8,18,300,van
90,63,59,7,18,259,van
85,51,56,5,17,207,van
89,74,59,7,18,278,van
94,82,56,10,20,367,van
91,70,55,8,18,253,van
86,75,58,10,20,371,van
86,60,60,7,17,212,van
89,74,59,9,20,356,van
89,84,55,11,20,354,van
93,85,54,10,19,351,van
91,66,63,7,18,280,van
90,78,59,11,20,370,van
93,64,69,8,18,279,van
88,84,55,12,20,351,van
93,82,58,11,20,371,van
91,70,66,25,18,296,van
93,70,52,9,18,238,van
85,80,64,9,19,324,van
95,82,56,11,20,365,van
90,73,58,11,20,373,van
100,90,67,9,20,363,van
89,83,133,48,20,364,van
91,88,61,9,19,326,van
86,70,61,9,18,266,van
85,82,56,11,20,362,van
89,60,56,6,17,209,van
89,77,65,9,19,314,van
95,76,66,11,20,381,van
90,72,59,8,19,360,saab
107,108,64,12,23,627,saab
88,82,56,8,19,357,saab
98,96,66,10,22,533,saab
109,103,63,11,25,720,saab
112,110,56,11,24,676,saab
106,106,64,9,24,645,saab
104,105,61,11,24,637,saab
89,52,57,4,17,220,saab
106,108,64,12,25,709,saab
104,105,54,10,24,641,saab
115,100,60,12,23,573,saab
108,103,62,10,23,635,saab
95,71,61,9,20,365,saab
105,105,57,11,24,661,saab
87,74,58,6,19,337,saab
89,77,54,8,19,308,saab
85,75,56,7,19,339,saab
100,81,61,9,20,415,saab
104,108,64,11,25,707,saab
86,64,61,5,19,333,saab
90,80,58,9,20,373,saab
109,96,64,9,23,586,saab
104,100,59,9,23,583,saab
93,63,58,7,18,246,saab
86,63,56,5,18,262,saab
90,89,62,8,21,458,saab
107,103,68,11,25,709,saab
98,81,64,9,20,415,saab
98,109,59,11,23,586,saab
98,90,61,9,21,480,saab
106,98,54,10,24,691,saab
83,54,61,4,18,271,saab
102,101,67,12,25,719,saab
108,109,55,12,24,687,saab
87,60,57,6,18,243,saab
89,83,61,8,20,402,saab
103,106,66,10,23,612,saab
93,81,64,7,20,383,saab
99,105,66,11,23,623,saab
82,59,63,7,18,264,saab
89,82,59,8,19,351,saab
104,107,68,11,24,703,saab
84,77,59,5,19,344,saab
100,104,60,9,23,578,saab
104,100,66,10,24,680,saab
84,53,57,4,17,196,saab
92,86,60,7,20,373,saab
88,90,60,8,21,460,saab
101,101,72,10,24,698,saab
88,57,62,6,18,265,saab
93,87,64,8,20,422,saab
91,72,56,7,19,327,saab
106,107,61,10,24,635,saab
89,69,63,6,18,291,saab
85,53,58,6,17,197,saab
94,88,60,7,21,435,saab
85,66,58,6,19,295,saab
104,96,65,10,22,527,saab
83,54,55,4,18,245,saab
115,100,64,11,25,710,saab
110,104,57,12,24,674,saab
93,98,63,9,22,508,saab
106,101,67,12,25,721,saab
91,83,59,7,20,426,saab
92,76,57,7,20,381,saab
83,54,57,6,18,238,saab
112,104,58,11,24,639,saab
97,88,59,9,21,459,saab
105,108,62,11,25,711,saab
98,101,65,9,23,584,saab
86,66,56,6,18,274,saab
93,76,57,7,19,335,saab
107,98,65,11,25,696,saab
110,102,64,11,24,669,saab
90,66,59,7,18,298,saab
82,66,54,7,18,252,saab
105,106,68,10,24,640,saab
89,77,62,7,19,327,saab
108,103,64,10,25,711,saab
85,50,53,4,17,193,saab
95,95,65,10,22,559,saab
109,109,68,11,24,675,saab
93,76,63,8,20,405,saab
111,103,60,11,24,663,saab
103,100,60,10,22,518,saab
89,77,64,9,20,390,saab
79,55,55,5,19,295,saab
96,78,58,7,21,455,saab
93,88,66,7,21,452,saab
86,66,59,4,18,279,saab
92,78,57,8,19,349,saab
91,83,60,8,21,445,saab
104,108,61,11,24,694,saab
91,79,59,9,20,404,saab
105,100,61,10,23,586,saab
113,98,62,9,23,613,saab
85,75,54,7,19,318,saab
115,100,62,10,24,697,saab
98,78,65,8,20,430,saab
97,96,63,9,22,512,saab
116,110,67,12,24,692,saab
88,77,58,8,18,293,saab
96,69,56,7,18,297,saab
84,83,54,7,19,327,saab
91,72,55,7,19,314,saab
93,98,62,11,22,505,saab
89,80,59,7,20,389,saab
104,101,63,10,24,664,saab
98,104,67,9,23,629,saab
90,85,64,6,20,385,saab
84,75,55,6,18,290,saab
107,96,62,12,24,694,saab
107,108,68,12,25,700,saab
109,103,66,11,24,677,saab
89,89,58,8,21,471,saab
104,101,64,11,24,669,saab
99,104,63,10,23,604,saab
108,103,73,10,25,718,saab
78,63,51,6,19,299,saab
109,103,63,11,25,707,saab
109,109,59,10,24,635,saab
107,108,63,11,25,704,saab
102,104,67,10,23,621,saab
107,104,71,11,25,705,saab
90,74,60,8,19,367,saab
93,72,56,6,18,263,saab
92,71,66,7,19,355,saab
90,57,57,6,17,216,saab
91,88,63,9,21,457,saab
97,95,66,9,22,526,saab
99,89,63,8,22,521,saab
101,98,60,10,22,572,saab
96,101,66,9,22,552,saab
90,83,63,7,21,467,saab
107,103,56,11,24,673,saab
96,74,68,8,20,378,saab
101,101,62,9,22,527,saab
108,109,57,11,25,709,saab
93,90,69,8,22,506,saab
82,51,53,4,18,268,saab
108,103,65,11,24,648,saab
104,101,65,11,24,667,saab
91,72,60,8,19,334,saab
102,106,68,11,24,638,saab
94,85,62,9,20,430,saab
100,104,59,10,24,642,saab
85,40,57,3,17,184,saab
102,105,64,10,23,600,saab
105,108,63,12,25,712,saab
98,90,63,9,21,472,saab
111,108,61,11,23,636,saab
100,88,60,10,21,440,saab
108,105,62,11,23,608,saab
86,86,60,9,21,433,saab
113,93,62,11,24,688,saab
100,92,62,10,21,489,saab
119,106,65,12,24,675,saab
108,104,56,11,25,712,saab
101,112,59,11,24,667,saab
97,101,59,9,22,511,saab
95,105,64,10,22,520,saab
95,104,66,9,22,543,saab
109,104,60,12,24,691,saab
90,85,59,7,20,396,saab
94,69,59,7,19,349,saab
90,66,55,6,17,224,saab
117,110,65,12,24,668,saab
91,98,64,9,21,465,saab
91,83,60,8,20,383,saab
101,108,69,12,24,684,saab
97,76,60,9,20,370,saab
104,100,61,10,24,686,saab
87,71,53,8,18,277,saab
89,85,64,8,20,427,saab
87,66,58,6,19,318,saab
106,101,64,11,23,607,saab
97,104,71,9,24,658,saab
86,62,62,7,19,330,saab
103,106,55,10,24,660,saab
89,80,62,6,19,308,saab
91,83,61,8,19,298,saab
101,105,61,10,23,578,saab
93,86,59,9,20,418,saab
96,100,58,8,21,486,saab
108,109,61,11,24,665,saab
105,105,60,11,22,545,saab
85,72,59,5,18,260,saab
92,80,67,8,19,353,saab
107,98,66,11,24,704,saab
97,105,71,12,25,713,saab
103,105,56,11,24,650,saab
105,108,70,12,24,687,saab
86,77,60,7,19,331,saab
110,100,61,9,22,561,saab
97,72,71,5,20,399,bus
107,98,59,7,26,866,bus
91,76,69,7,19,340,bus
87,70,75,6,19,326,bus
102,92,60,6,25,731,bus
97,73,65,6,19,361,bus
86,68,62,7,19,337,bus
99,88,62,5,23,625,bus
82,72,64,7,19,350,bus
80,71,60,7,19,330,bus
80,68,53,8,19,333,bus
84,76,75,7,19,359,bus
87,76,65,5,19,362,bus
98,77,61,6,21,457,bus
85,70,54,7,19,326,bus
99,91,74,5,23,629,bus
86,70,56,6,19,317,bus
97,70,66,7,19,346,bus
94,84,74,6,22,525,bus
109,96,57,6,26,857,bus
93,73,68,7,19,347,bus
96,77,64,5,21,485,bus
95,73,73,6,19,374,bus
100,98,63,6,24,719,bus
82,73,65,7,19,341,bus
88,70,66,7,19,332,bus
86,66,57,8,19,321,bus
81,68,73,6,19,336,bus
89,72,66,7,19,312,bus
81,68,60,7,19,333,bus
110,109,57,5,27,928,bus
90,79,69,6,20,393,bus
83,70,65,7,19,309,bus
98,77,71,7,20,422,bus
100,81,67,6,22,531,bus
95,73,70,7,20,430,bus
80,71,56,7,19,337,bus
101,106,57,7,26,833,bus
