@relation vehicle

@attribute Distance_circularity numeric
@attribute Length_rectangular numeric
@attribute Major_variance numeric
@attribute Class {van,saab,bus,opel}

@data
85,147,169,van
73,158,170,van
88,157,173,van
57,135,134,van
70,139,162,van
75,163,170,van
80,156,169,van
80,157,166,van
88,157,176,van
68,135,148,van
53,125,138,van
64,142,161,van
81,152,171,van
86,156,272,van
70,130,153,van
82,160,176,van
91,155,172,van
78,140,157,van
83,155,180,van
64,136,161,van
63,142,154,van
66,144,162,van
47,122,136,van
78,160,173,van
51,127,138,van
87,161,179,van
84,145,172,van
49,128,144,van
66,140,158,van
66,143,160,van
75,141,164,van
73,148,173,van
77,164,169,van
69,145,165,van
70,134,159,van
82,160,180,van
53,128,137,van
57,139,155,van
60,132,135,van
51,124,139,van
70,128,147,van
60,137,143,van
83,159,176,van
66,139,145,van
69,134,163,van
77,139,159,van
77,141,168,van
85,167,175,van
66,144,147,van
70,137,156,van
81,163,170,van
87,149,167,van
64,125,138,van
80,148,169,van
44,121,139,van
79,150,165,van
85,155,179,van
82,145,163,van
70,140,156,van
68,130,150,van
62,127,141,van
78,160,170,van
85,163,176,van
78,167,169,van
79,139,168,van
70,146,159,van
74,158,170,van
51,129,137,van
66,135,154,van
85,155,176,van
84,158,176,van
89,145,170,van
82,162,173,van
70,145,231,van
63,137,148,van
76,135,157,van
81,139,167,van
72,135,161,van
73,144,169,van
78,159,172,van
51,128,135,van
83,163,229,van
76,137,156,van
83,153,177,van
68,143,154,van
58,130,148,van
68,142,164,van
84,143,170,van
87,149,173,van
62,129,143,van
70,145,156,van
87,158,179,van
73,138,166,van
82,143,160,van
66,146,166,van
78,148,160,van
76,149,173,van
76,151,163,van
85,160,177,van
88,148,173,van
85,144,173,van
84,160,169,van
85,158,177,van
85,158,172,van
55,139,142,van
74,133,167,van
78,147,168,van
76,155,175,van
84,159,173,van
81,160,200,van
64,142,150,van
92,157,176,van
66,142,163,van
62,145,160,van
58,140,146,van
90,156,170,van
66,146,162,van
68,144,159,van
70,144,164,van
53,140,142,van
66,144,159,van
60,132,141,van
58,129,140,van
68,130,166,van
82,156,170,van
73,153,172,van
75,161,173,van
64,141,157,van
84,150,174,van
77,150,161,van
52,126,135,van
66,148,168,van
72,145,158,van
85,155,175,van
78,152,168,van
88,148,173,van
64,142,163,van
66,129,148,van
85,153,174,van
81,149,200,van
59,137,145,van
80,148,161,van
60,130,139,van
80,145,171,van
70,139,157,van
62,143,158,van
85,167,173,van
66,128,140,van
63,136,158,van
82,149,176,van
84,165,171,van
68,143,161,van
60,134,140,van
60,129,147,van
90,150,170,van
75,165,168,van
81,156,173,van
82,140,165,van
88,149,173,van
58,132,142,van
64,144,164,van
82,137,164,van
68,134,153,van
80,144,169,van
62,141,149,van
84,170,171,van
72,144,159,van
85,156,170,van
66,127,159,van
85,157,174,van
85,157,179,van
88,147,164,van
84,148,163,van
78,145,156,van
85,144,168,van
91,148,166,van
62,139,149,van
66,138,160,van
64,141,160,van
85,153,188,saab
82,149,180,saab
66,124,165,saab
81,152,196,saab
75,131,171,saab
86,134,191,saab
109,159,229,saab
59,128,151,saab
66,118,148,saab
104,172,226,saab
63,135,152,saab
90,152,200,saab
63,130,162,saab
110,159,232,saab
105,163,222,saab
108,168,226,saab
54,126,146,saab
77,143,175,saab
72,140,168,saab
90,155,195,saab
80,129,180,saab
109,174,229,saab
53,123,135,saab
78,136,197,saab
100,173,225,saab
104,164,223,saab
52,125,139,saab
