@relation vehicle

@attribute Compactness numeric
@attribute Radius_ratio numeric
@attribute Scatter_ratio numeric
@attribute Length_rectangular numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
97,133,130,143,186,van
90,157,136,145,209,van
93,169,151,147,204,van
94,166,145,147,202,van
97,173,157,157,200,van
94,138,156,170,191,van
90,143,159,156,193,van
88,140,127,130,206,van
86,140,119,134,207,van
89,147,153,151,197,van
85,121,157,165,191,van
86,140,122,127,208,van
86,129,116,135,204,van
91,164,143,137,201,van
87,150,133,142,201,van
88,135,155,158,195,van
84,121,123,125,183,van
89,131,118,137,199,van
91,131,126,144,194,van
90,114,135,139,182,van
91,153,139,139,209,van
98,136,131,144,187,van
83,114,132,140,183,van
90,142,160,160,192,van
93,133,155,153,196,van
87,116,115,126,190,van
88,147,146,144,197,van
93,164,139,140,208,van
88,133,123,144,198,van
92,124,139,144,185,van
96,174,155,148,202,van
96,117,133,139,182,van
88,136,154,150,196,van
89,133,157,160,192,van
92,144,127,139,210,van
90,157,137,144,203,van
96,160,151,148,199,van
86,115,119,132,190,van
93,159,144,143,207,van
89,137,122,140,206,van
89,109,118,129,185,van
89,150,160,160,194,van
91,157,149,157,207,van
89,134,123,137,188,van
85,126,114,135,202,van
89,322,158,163,194,van
91,160,140,139,202,van
93,150,156,165,195,van
93,165,136,136,204,van
86,143,133,130,202,van
89,138,126,128,207,van
91,148,147,152,200,van
95,178,162,159,197,van
85,150,143,147,196,van
94,146,133,135,195,van
93,123,135,144,185,van
89,246,155,160,192,van
85,110,117,122,184,van
89,135,157,158,191,van
86,150,138,143,201,van
87,117,118,125,183,van
93,166,153,156,203,van
92,163,146,140,206,van
95,162,162,155,193,van
89,147,156,163,193,van
90,144,150,156,195,van
94,147,131,127,201,van
94,137,158,162,194,van
88,155,137,137,209,van
93,117,131,145,184,van
96,120,137,141,183,van
98,125,130,139,185,van
94,127,127,132,196,van
86,150,138,134,195,van
90,132,157,164,191,van
96,111,134,141,184,van
98,160,142,148,207,van
93,162,137,145,210,van
95,162,159,157,198,van
93,170,150,147,206,van
88,151,130,142,210,van
88,114,132,139,183,van
89,131,160,163,193,van
95,142,151,149,200,van
89,137,136,146,187,van
84,145,136,134,202,van
83,116,132,137,183,van
90,152,135,145,191,van
89,163,159,159,197,van
92,111,139,140,183,van
85,119,128,135,187,van
93,163,156,158,195,van
96,169,154,149,201,van
89,125,156,151,193,van
96,160,140,150,208,van
89,149,133,134,209,van
82,250,139,145,199,van
97,151,128,129,200,van
89,125,156,160,191,van
89,111,120,127,183,van
