@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R4,8,10,13-14,18-19'

@attribute Radius_ratio numeric
@attribute Elongatedness numeric
@attribute Length_rectangular numeric
@attribute Gyration_radius numeric
@attribute Major_skewness numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
186,31,173,220,74,195,saab
183,40,134,139,67,197,saab
115,47,130,146,77,185,saab
228,31,168,245,72,197,opel
212,34,161,185,64,204,opel
143,46,137,156,76,188,opel
164,46,147,171,70,201,van
133,47,135,144,76,193,opel
116,54,125,132,81,184,opel
143,43,156,186,74,193,van
120,45,145,176,85,183,bus
154,46,139,149,71,197,van
139,46,143,184,80,184,bus
174,43,131,135,68,205,bus
169,44,140,159,67,207,bus
199,27,168,245,80,184,bus
176,41,149,178,67,198,opel
121,46,146,172,85,182,bus
141,48,126,130,72,192,opel
215,32,166,218,69,199,saab
120,45,147,178,86,183,bus
189,32,163,197,70,198,saab
158,49,142,170,71,201,van
199,39,128,136,72,200,bus
128,45,145,186,81,184,bus
124,49,141,149,77,185,van
211,31,165,249,72,196,opel
170,46,142,177,65,203,bus
140,55,134,141,61,207,van
113,55,129,135,79,185,van
179,26,172,232,83,184,bus
186,42,127,132,67,206,bus
130,45,146,187,79,186,bus
197,34,161,195,64,202,opel
131,53,144,155,72,194,van
111,56,127,147,82,183,van
160,47,148,171,63,207,van
188,35,161,205,67,200,opel
146,48,135,162,72,190,opel
167,44,145,177,64,208,opel
195,34,150,195,66,205,saab
145,44,155,184,73,197,van
160,47,139,130,67,202,van
116,57,124,135,84,184,opel
126,56,130,118,67,198,van
161,46,144,179,71,199,van
183,30,177,204,71,198,opel
143,43,159,186,75,193,van
175,42,149,169,63,206,saab
130,45,143,168,86,183,bus
224,31,170,214,68,201,opel
228,31,170,224,67,204,saab
174,37,133,155,70,196,saab
166,41,133,155,72,191,saab
123,46,144,177,87,182,bus
206,31,168,201,71,203,saab
220,31,167,212,70,201,saab
128,46,148,176,82,183,bus
141,44,144,174,78,188,bus
150,49,140,121,64,205,van
153,48,138,151,64,206,opel
166,46,143,170,69,193,bus
203,36,157,186,72,200,bus
198,36,139,163,68,198,bus
181,41,131,117,62,211,opel
197,37,140,136,63,204,opel
143,52,129,109,62,209,van
169,40,150,190,72,193,saab
180,43,129,144,69,195,saab
146,51,134,144,64,200,opel
186,39,139,133,61,210,saab
214,33,152,178,64,204,saab
200,30,178,204,74,201,opel
165,45,134,139,70,200,bus
203,33,152,174,68,197,saab
123,46,147,176,81,184,bus
152,49,145,162,75,191,van
201,31,170,217,71,198,saab
116,58,126,144,74,190,van
155,43,149,170,69,193,saab
174,32,163,222,73,196,saab
123,49,127,145,75,186,saab
177,30,188,213,72,198,opel
142,44,149,159,71,200,van
222,30,173,200,70,201,saab
