@relation vehicle

@attribute Distance_circularity numeric
@attribute Max_length_aspect_ratio numeric
@attribute Minor_variance numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
80,11,349,183,193,van
78,11,374,184,193,van
83,10,357,185,196,van
85,10,349,186,197,van
85,10,351,184,196,van
77,9,314,190,200,van
82,9,314,199,207,van
58,7,225,199,206,van
78,8,290,201,208,van
92,11,372,189,200,van
87,11,366,183,194,van
84,12,351,183,195,van
85,49,354,188,196,van
75,7,284,184,185,van
52,6,196,186,190,van
47,3,203,180,184,van
82,11,371,183,194,van
53,4,205,180,183,van
85,11,356,185,196,van
86,49,346,185,194,van
62,7,223,200,208,van
72,8,283,196,203,van
77,10,354,182,191,van
88,11,371,189,198,van
64,8,249,194,201,van
84,9,330,189,199,van
60,7,212,200,207,van
51,6,206,181,185,van
66,6,227,193,198,van
82,10,359,186,197,van
58,4,208,184,186,van
64,7,262,185,185,van
57,6,195,197,202,van
76,10,352,184,193,van
64,6,200,196,203,van
76,8,281,201,209,van
80,11,366,185,193,van
88,9,326,197,207,van
78,9,323,189,200,van
85,10,355,185,196,van
53,5,221,179,183,van
84,11,368,186,197,van
84,9,330,188,200,van
88,9,334,196,206,van
80,9,316,199,207,van
81,9,313,194,202,van
84,10,312,199,206,van
77,8,289,201,209,van
81,43,347,183,192,van
66,7,225,202,208,van
62,6,218,181,185,van
62,6,246,201,208,van
66,8,246,195,200,van
68,7,261,186,186,van
85,10,367,189,199,van
66,9,237,191,194,van
68,7,246,192,196,van
73,6,275,187,188,van
73,11,373,182,193,van
90,10,348,194,203,van
70,8,269,183,183,van
88,10,354,194,202,van
70,6,273,186,187,van
70,6,282,183,185,van
51,5,213,181,183,van
70,9,280,194,202,van
85,10,389,185,195,van
87,10,363,184,195,van
70,55,289,190,199,van
85,11,365,182,192,van
66,7,254,188,191,van
66,7,280,188,194,van
68,6,253,195,203,van
87,10,363,183,194,van
91,10,334,197,205,van
60,7,246,202,209,van
72,8,279,201,209,van
68,5,241,182,187,van
70,9,238,191,190,van
73,8,305,191,199,van
81,9,333,185,195,van
66,7,277,182,183,van
82,10,367,183,192,van
85,11,387,189,196,van
85,11,362,183,193,van
81,9,325,188,198,van
78,11,370,183,192,van
78,9,305,190,201,van
62,6,203,199,204,van
88,10,365,192,200,van
74,9,356,184,191,van
78,11,366,182,192,van
58,6,255,181,182,van
64,10,265,193,201,van
76,10,339,187,200,van
75,10,371,183,192,van
82,11,362,183,193,van
77,8,294,201,208,van
88,9,339,192,199,van
73,8,307,190,199,van
85,12,354,184,196,van
82,9,319,199,206,van
66,9,281,193,202,van
60,6,211,192,198,van
66,9,268,191,197,van
89,11,338,187,199,van
66,9,258,196,201,van
78,8,300,201,207,van
70,7,278,196,205,van
70,7,237,199,207,van
70,8,253,190,194,van
49,5,219,180,184,van
70,9,266,194,202,van
85,11,375,185,195,van
68,7,242,195,196,van
63,7,259,197,204,van
68,8,251,186,187,van
80,8,318,188,197,van
88,10,367,194,202,van
85,10,357,187,195,van
62,7,249,184,184,van
84,11,354,185,195,van
55,7,249,176,183,van
69,7,272,187,191,van
66,7,251,191,194,van
82,11,365,182,191,van
68,8,291,189,196,van
53,3,204,180,183,van
62,7,247,184,186,van
66,8,265,201,208,van
81,46,332,186,196,van
85,9,347,196,204,van
60,5,209,186,190,van
85,11,355,183,195,van
66,8,294,188,196,van
60,5,194,190,194,van
66,7,275,182,184,van
85,11,363,184,195,van
84,10,351,182,191,van
64,8,258,183,184,van
68,9,285,192,201,van
91,12,358,190,200,van
77,10,351,183,191,van
87,10,351,192,201,van
76,8,301,189,196,van
82,9,309,199,207,van
64,10,264,193,201,van
59,7,250,177,183,van
78,11,367,185,194,van
44,2,208,180,183,van
82,10,308,191,201,van
84,11,354,182,192,van
70,25,296,192,202,van
87,9,359,192,202,van
53,6,247,176,183,van
79,9,311,188,197,van
85,9,339,195,204,van
58,6,222,197,203,van
64,8,279,193,204,van
51,5,207,179,183,van
66,5,212,186,190,van
57,7,261,183,182,van
58,5,204,190,194,van
75,9,358,182,191,van
64,8,253,203,210,van
64,9,268,192,201,van
85,9,345,186,197,van
85,10,355,192,202,van
76,11,381,184,193,van
83,10,364,184,197,van
70,7,240,189,190,van
80,11,369,182,193,van
71,8,307,187,196,van
81,10,317,189,199,van
80,8,331,189,199,van
51,5,207,181,184,van
63,8,260,193,201,van
60,6,209,193,199,van
73,11,376,183,191,van
87,8,422,188,195,saab
77,8,373,193,199,saab
77,8,308,194,201,saab
90,10,492,191,199,saab
80,7,389,192,197,saab
106,10,612,191,199,saab
63,5,262,187,191,saab
108,12,700,190,204,saab
109,11,675,189,202,saab
72,8,360,203,209,saab
95,10,559,188,196,saab
76,7,381,190,195,saab
106,12,675,192,202,saab
101,11,607,192,204,saab
71,7,355,189,195,saab
54,6,238,179,183,saab
54,5,266,184,185,saab
105,11,661,186,197,saab
71,8,277,181,186,saab
103,10,718,187,197,saab
98,9,508,189,197,saab
69,6,291,193,204,saab
105,12,713,186,200,saab
104,9,629,187,196,saab
108,12,712,189,203,saab
89,8,471,189,196,saab
63,5,230,184,188,saab
94,9,525,193,201,saab
57,6,216,190,195,saab
63,6,299,181,185,saab
82,8,357,188,193,saab
101,9,511,194,206,saab
100,10,697,188,197,saab
60,6,243,186,192,saab
66,6,295,182,186,saab
98,9,613,193,204,saab
106,10,640,189,199,saab
98,11,704,188,197,saab
101,9,552,189,197,saab
108,12,627,194,205,saab
76,9,370,198,206,saab
98,11,505,195,204,saab
108,11,707,189,203,saab
63,7,314,180,185,saab
81,9,415,197,205,saab
101,10,698,187,197,saab
108,11,636,196,205,saab
64,5,333,182,185,saab
100,11,710,189,199,saab
85,6,385,195,203,saab
80,6,308,185,189,saab
92,10,489,195,205,saab
50,4,193,179,185,saab
75,7,339,182,187,saab
98,10,691,187,197,saab
100,10,718,187,199,saab
89,8,458,189,195,saab
74,8,367,197,204,saab
101,9,527,193,202,saab
83,8,383,186,191,saab
83,7,467,189,195,saab
72,7,314,184,189,saab
103,11,720,187,200,saab
82,8,351,187,192,saab
66,7,252,183,187,saab
103,11,663,190,200,saab
109,11,709,189,201,saab
104,9,543,190,200,saab
104,9,658,186,196,saab
40,3,184,181,183,saab
72,8,334,196,205,saab
51,4,268,181,182,saab
100,10,686,185,195,saab
108,12,687,189,201,saab
104,10,642,187,198,saab
81,7,383,192,199,saab
103,11,677,188,201,saab
109,12,687,189,201,saab
77,7,331,196,203,saab
52,4,220,181,184,saab
81,9,415,198,207,saab
66,6,224,196,202,saab
105,10,600,192,204,saab
104,10,604,188,197,saab
98,9,465,195,205,saab
83,8,402,187,193,saab
108,11,704,190,203,saab
106,9,645,190,202,saab
88,7,452,195,202,saab
66,6,318,181,185,saab
54,7,229,180,184,saab
104,9,578,189,197,saab
76,8,405,192,197,saab
86,9,433,191,199,saab
72,7,327,186,191,saab
53,6,197,185,189,saab
74,8,378,190,197,saab
105,11,545,196,205,saab
100,10,680,185,194,saab
77,7,361,195,201,saab
83,7,426,192,199,saab
75,7,318,183,188,saab
80,8,353,190,195,saab
85,8,427,195,201,saab
90,9,480,199,208,saab
86,9,418,197,204,saab
81,7,425,191,198,saab
66,7,298,201,207,saab
93,11,688,188,199,saab
66,6,274,183,189,saab
77,9,390,194,201,saab
66,4,279,186,190,saab
102,11,669,188,198,saab
108,11,694,188,201,saab
103,11,707,188,199,saab
85,9,430,200,210,saab
103,10,711,188,199,saab
100,10,518,198,208,saab
105,10,641,187,197,saab
104,10,621,188,197,saab
101,12,719,187,199,saab
104,12,691,189,199,saab
105,10,520,198,211,saab
108,11,711,189,200,saab
106,10,635,188,196,saab
100,10,576,194,205,saab
83,8,445,188,194,saab
107,11,703,188,199,saab
100,8,486,192,202,saab
108,12,684,188,199,saab
105,10,578,192,205,saab
104,11,712,189,199,saab
110,11,676,191,202,saab
75,6,305,186,191,saab
77,5,344,183,187,saab
74,6,337,187,196,saab
89,8,521,191,199,saab
85,11,458,197,210,saab
58,5,319,180,183,saab
83,6,382,186,191,saab
101,12,721,187,201,saab
79,9,404,199,208,saab
96,12,694,187,198,saab
78,8,430,192,199,saab
69,7,349,193,198,saab
110,12,668,194,205,saab
77,7,327,188,193,saab
69,7,297,202,209,saab
54,4,245,180,184,saab
101,10,664,188,198,saab
53,4,196,183,190,saab
101,11,667,187,198,saab
55,5,295,180,183,saab
103,11,709,187,197,saab
105,11,608,190,200,saab
101,11,669,187,196,saab
83,7,327,185,191,saab
90,8,506,189,196,saab
108,12,709,190,205,saab
103,10,635,189,198,saab
83,8,298,193,200,saab
78,7,455,191,200,saab
77,8,293,198,205,saab
105,11,650,187,196,saab
104,10,659,190,203,saab
98,10,572,192,201,saab
104,11,705,189,196,saab
72,6,263,200,206,saab
85,7,396,186,192,saab
98,10,681,188,197,saab
95,9,526,190,197,saab
76,7,335,189,194,saab
71,9,365,196,208,saab
109,11,665,190,199,saab
88,9,459,196,205,saab
88,7,435,195,204,saab
54,4,271,180,183,saab
110,12,692,192,206,saab
109,12,712,188,201,saab
107,10,635,190,203,saab
101,9,584,189,197,saab
100,10,586,192,200,saab
103,11,648,189,197,saab
108,11,694,190,201,saab
96,9,586,190,198,saab
88,9,457,191,198,saab
88,10,440,201,210,saab
78,7,270,190,195,saab
105,11,623,191,201,saab
90,8,460,192,199,saab
102,10,587,187,196,saab
106,11,638,189,200,saab
100,9,583,191,198,saab
105,11,637,193,207,saab
72,5,260,191,195,saab
96,9,512,191,199,saab
103,7,904,179,186,bus
101,4,844,184,184,bus
72,5,399,196,203,bus
74,6,341,201,205,bus
102,6,870,184,183,bus
76,7,373,191,195,bus
73,7,430,200,206,bus
68,6,310,198,203,bus
73,6,374,199,204,bus
100,4,923,182,182,bus
71,6,343,186,190,bus
63,8,320,179,182,bus
73,7,341,190,194,bus
78,6,379,193,197,bus
70,5,306,188,193,bus
83,5,576,193,191,bus
74,6,318,195,200,bus
66,7,326,180,183,bus
64,7,323,179,182,bus
76,7,342,193,197,bus
75,8,365,192,200,bus
74,7,349,183,189,bus
72,5,427,200,202,bus
69,6,325,180,182,bus
73,7,362,197,206,bus
66,7,325,201,207,bus
71,7,312,188,193,bus
71,6,321,187,191,bus
88,6,563,194,197,bus
98,7,866,186,184,bus
76,7,339,187,193,bus
70,7,324,180,183,bus
68,8,329,179,183,bus
70,6,326,194,201,bus
68,6,317,183,187,bus
70,7,309,188,195,bus
63,7,329,179,182,bus
85,6,570,195,193,bus
70,8,319,181,186,bus
66,7,325,180,182,bus
64,6,319,179,182,bus
83,6,484,196,198,bus
70,19,342,186,189,bus
88,5,625,191,190,bus
71,7,336,192,197,bus
82,5,534,195,196,bus
73,7,347,196,205,bus
106,8,954,181,184,bus
68,5,322,181,184,bus
68,8,333,180,185,bus
68,7,330,182,185,bus
75,6,363,198,202,bus
68,6,320,181,184,bus
70,7,346,201,208,bus
89,6,622,193,193,bus
70,6,317,179,182,bus
98,4,838,185,184,bus
103,5,928,184,183,bus
72,6,373,193,198,bus
66,6,317,180,182,bus
71,7,342,180,186,bus
74,5,408,196,200,bus
70,7,328,187,195,bus
84,7,476,198,201,bus
84,6,446,196,201,bus
91,5,629,192,191,bus
91,6,636,192,192,bus
102,7,822,187,187,bus
68,22,335,180,185,bus
66,6,333,180,183,bus
70,7,326,181,184,bus
81,5,434,198,204,bus
76,6,350,195,200,bus
105,5,891,181,182,bus
66,52,326,181,185,bus
63,7,336,180,184,bus
95,7,605,192,194,bus
75,6,356,188,194,bus
72,7,340,180,185,bus
71,7,347,182,187,bus
70,7,327,185,188,bus
66,7,324,179,182,bus
64,7,344,199,206,bus
