@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R1,9-11,18-19'

@attribute Compactness numeric
@attribute Praxis_rectangular numeric
@attribute Length_rectangular numeric
@attribute Major_variance numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
84,17,125,141,183,van
94,19,142,169,206,bus
89,19,151,173,196,van
94,20,162,178,194,van
119,24,167,223,202,saab
91,20,148,184,208,saab
96,18,141,162,183,van
92,21,137,196,200,opel
73,18,128,135,184,opel
94,18,132,155,196,van
94,20,130,196,195,opel
87,19,144,170,182,bus
82,19,144,237,185,bus
102,22,146,225,191,bus
108,25,168,224,199,saab
99,22,153,202,195,bus
85,19,147,171,196,van
85,19,139,173,191,bus
97,22,138,208,206,saab
87,18,142,157,201,van
106,24,161,224,206,opel
95,20,145,188,204,opel
94,19,147,164,202,van
89,18,146,168,187,van
103,22,160,202,208,saab
91,19,157,165,207,van
83,19,146,167,191,bus
89,20,160,171,191,van
83,19,141,168,195,bus
86,19,140,171,182,bus
91,19,144,170,201,bus
108,24,171,229,201,saab
89,19,151,175,197,van
109,25,158,262,186,bus
87,18,129,154,192,saab
99,22,144,210,199,saab
94,19,155,320,196,van
85,19,126,179,197,opel
96,18,139,154,182,van
84,19,132,177,191,saab
101,22,162,208,202,saab
97,20,150,193,198,opel
96,24,175,221,194,opel
105,25,163,232,200,saab
104,24,170,223,196,opel
86,18,131,167,196,van
93,20,147,180,199,saab
102,24,174,228,198,opel
85,19,134,173,187,saab
97,22,144,216,197,saab
95,20,152,184,206,bus
102,25,177,226,199,saab
92,19,140,159,183,van
113,23,151,216,204,saab
89,20,163,175,193,van
104,24,172,218,196,saab
80,18,124,147,191,opel
98,20,150,184,203,bus
86,17,135,137,204,van
80,17,119,131,183,opel
92,20,128,180,202,bus
85,17,118,136,185,saab
81,18,128,147,184,opel
102,22,142,202,204,opel
91,19,131,169,203,opel
82,19,145,181,188,bus
89,19,136,181,195,bus
105,22,162,207,205,saab
86,19,146,172,191,bus
105,23,149,214,200,saab
91,20,134,196,198,opel
85,18,125,144,194,opel
96,19,150,167,202,van
86,17,134,140,194,van
81,19,151,167,183,bus
87,19,142,177,188,bus
87,19,140,171,195,bus
111,23,167,217,205,saab
103,24,173,219,194,opel
92,19,131,179,200,bus
106,25,173,225,196,opel
95,21,154,200,206,opel
111,29,174,285,183,bus
93,18,120,151,207,opel
93,20,134,200,195,saab
