@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R1,4,7,10,18-19'

@attribute Compactness numeric
@attribute Radius_ratio numeric
@attribute Scatter_ratio numeric
@attribute Length_rectangular numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
85,205,149,144,183,bus
90,136,123,118,202,saab
81,169,151,146,189,bus
88,105,119,128,183,van
94,151,133,135,208,van
89,113,150,147,182,bus
102,163,213,173,195,opel
93,172,149,124,210,opel
85,139,132,135,195,saab
96,187,213,152,189,bus
89,160,144,147,198,bus
91,193,169,137,204,bus
98,166,157,148,196,opel
93,149,149,143,194,saab
82,136,147,143,185,bus
86,149,149,146,188,bus
104,216,219,176,196,opel
91,176,169,132,199,saab
99,196,201,152,197,saab
98,208,226,182,196,opel
96,162,146,148,207,van
86,125,151,147,184,bus
93,166,151,141,197,opel
86,152,149,145,196,bus
102,194,220,162,186,bus
99,220,221,176,200,opel
83,131,135,127,183,saab
95,158,145,148,206,van
89,147,132,137,209,opel
108,203,202,164,200,saab
97,187,161,144,203,bus
105,209,217,173,199,opel
81,141,153,148,187,bus
94,159,157,158,194,van
86,113,152,141,183,bus
90,158,140,124,207,saab
102,238,238,163,184,bus
95,228,212,175,193,opel
106,213,201,158,204,saab
103,221,218,173,195,opel
86,122,148,143,182,bus
94,136,155,149,197,van
93,162,150,125,198,opel
76,125,133,127,184,opel
89,162,140,131,204,saab
90,231,150,149,196,van
105,207,218,167,203,opel
92,162,159,147,195,saab
88,178,175,152,199,saab
93,180,167,134,204,saab
79,127,142,135,189,opel
87,190,177,153,199,opel
101,231,217,171,197,saab
98,182,155,124,205,bus
108,212,208,162,197,saab
89,195,178,156,194,opel
100,231,220,163,198,opel
97,225,221,167,200,saab
103,183,210,173,196,opel
90,141,159,167,192,van
97,170,216,173,193,opel
96,178,181,134,202,saab
104,190,213,166,198,saab
84,180,155,143,190,bus
89,149,158,158,193,van
95,196,190,161,198,opel
90,137,161,158,193,van
92,125,139,143,184,van
92,136,122,132,203,van
94,137,159,160,192,van
94,160,158,157,199,van
103,170,236,160,184,bus
91,142,134,142,197,van
85,115,119,124,184,van
100,199,162,127,204,bus
91,162,150,133,205,saab
91,148,129,142,201,van
91,162,142,128,200,saab
93,126,127,137,190,van
98,191,192,147,197,bus
104,204,220,172,203,saab
93,192,185,138,197,saab
104,231,220,172,195,opel
89,125,131,144,191,van
87,139,140,148,196,van
