@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R1,3-5,10,18-19'

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Radius_ratio numeric
@attribute Praxis_aspect_ratio numeric
@attribute Length_rectangular numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
104,100,186,61,173,195,saab
93,76,183,63,134,197,saab
78,63,115,51,130,185,saab
98,101,228,70,168,197,opel
103,98,212,63,161,204,opel
89,75,143,56,137,188,opel
86,78,164,68,147,201,van
79,80,133,55,135,193,opel
80,57,116,55,125,184,opel
90,80,143,62,156,193,van
80,68,120,54,145,183,bus
89,79,154,64,139,197,van
82,68,139,64,143,184,bus
93,73,174,68,131,205,bus
91,66,169,66,140,207,bus
107,98,199,59,168,184,bus
92,79,176,64,149,198,opel
85,64,121,55,146,182,bus
89,72,141,56,126,192,opel
105,106,215,68,166,199,saab
81,68,120,53,147,183,bus
100,104,189,59,163,198,saab
93,64,158,68,142,201,van
96,74,199,74,128,200,bus
85,65,128,56,145,184,bus
93,75,124,51,141,185,van
103,103,211,65,165,196,opel
94,68,170,67,142,203,bus
86,60,140,60,134,207,van
83,62,113,53,129,185,van
107,106,179,51,172,184,bus
94,73,186,71,127,206,bus
85,70,130,58,146,186,bus
109,100,197,59,161,202,opel
91,66,131,56,144,194,van
89,51,111,54,127,183,van
98,78,160,63,148,207,van
104,96,188,59,161,200,opel
86,75,146,62,135,190,opel
88,77,167,59,145,208,opel
101,105,195,61,150,205,saab
90,85,145,58,155,197,van
91,70,160,66,139,202,van
78,51,116,56,124,184,opel
91,60,126,56,130,198,van
83,73,161,68,144,199,van
101,101,183,57,177,198,opel
90,78,143,60,159,193,van
97,76,175,60,149,206,saab
85,66,130,57,143,183,bus
106,98,224,68,170,201,opel
107,108,228,68,170,204,saab
89,89,174,58,133,196,saab
91,83,166,60,133,191,saab
86,69,123,54,144,182,bus
105,108,206,63,168,203,saab
109,103,220,66,167,201,saab
84,65,128,55,148,183,bus
79,72,141,62,144,188,bus
84,70,150,61,140,205,van
92,69,153,58,138,206,opel
83,70,166,69,143,193,bus
97,76,203,73,157,200,bus
95,83,198,69,139,198,bus
97,78,181,62,131,211,opel
97,92,197,63,140,204,opel
88,60,143,59,129,209,van
89,83,169,61,150,193,saab
92,80,180,67,129,195,saab
88,69,146,59,134,200,opel
94,85,186,62,139,210,saab
102,105,214,64,152,204,saab
101,107,200,61,178,201,opel
87,74,165,66,134,200,bus
98,101,203,65,152,197,saab
80,68,123,53,147,184,bus
90,69,152,64,145,191,van
107,96,201,62,170,198,saab
87,52,116,54,126,190,van
88,82,155,56,149,193,saab
103,105,174,56,163,196,saab
87,71,123,53,127,186,saab
99,100,177,54,188,198,opel
95,76,142,57,149,200,van
106,101,222,67,173,201,saab
