@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R3,10-11,19'

@attribute Distance_circularity numeric
@attribute Length_rectangular numeric
@attribute Major_variance numeric
@attribute Class {van,saab,bus,opel}

@data
53,125,141,van
64,142,169,bus
85,151,173,van
87,162,178,van
106,167,223,saab
79,148,184,saab
70,141,162,van
91,137,196,opel
53,128,135,opel
68,132,155,van
84,130,196,opel
65,144,170,bus
66,144,237,bus
83,146,225,bus
103,168,224,saab
79,153,202,bus
71,147,171,van
66,139,173,bus
101,138,208,saab
64,142,157,van
107,161,224,opel
80,145,188,opel
81,147,164,van
70,146,168,van
100,160,202,saab
88,157,165,van
73,146,167,bus
77,160,171,van
70,141,168,bus
65,140,171,bus
76,144,170,bus
109,171,229,saab
85,151,175,van
95,158,262,bus
60,129,154,saab
89,144,210,saab
85,155,320,van
80,126,179,opel
58,139,154,van
83,132,177,saab
101,162,208,saab
81,150,193,opel
104,175,221,opel
108,163,232,saab
91,170,223,opel
76,131,167,van
81,147,180,saab
98,174,228,opel
75,134,173,saab
95,144,216,saab
73,152,184,bus
101,177,226,saab
66,140,159,van
98,151,216,saab
80,163,175,van
101,172,218,saab
69,124,147,opel
77,150,184,bus
62,135,137,van
42,119,131,opel
75,128,180,bus
50,118,136,saab
53,128,147,opel
96,142,202,opel
66,131,169,opel
73,145,181,bus
76,136,181,bus
105,162,207,saab
71,146,172,bus
100,149,214,saab
76,134,196,opel
72,125,144,opel
85,150,167,van
58,134,140,van
68,151,167,bus
70,142,177,bus
76,140,171,bus
108,167,217,saab
100,173,219,opel
76,131,179,bus
96,173,225,opel
92,154,200,opel
105,174,285,bus
66,120,151,opel
87,134,200,saab
