@relation vehicle

@attribute Praxis_aspect_ratio numeric
@attribute Length_rectangular numeric
@attribute Major_variance numeric
@attribute Gyration_radius numeric
@attribute Major_skewness numeric
@attribute Class {van,saab,bus,opel}

@data
51,141,164,149,77,van
58,155,175,184,73,van
59,158,170,177,79,van
64,148,169,174,71,van
56,155,180,188,75,van
56,156,170,173,76,van
63,148,166,171,65,van
59,131,167,138,71,van
53,137,145,157,84,van
63,160,170,176,73,van
59,137,148,150,76,van
63,140,165,137,64,van
64,151,173,174,72,van
59,125,141,133,82,van
58,163,170,185,75,van
105,145,231,172,99,van
61,142,161,153,68,van
56,137,143,153,65,van
66,158,172,178,74,van
54,132,141,129,72,van
58,145,172,162,72,van
62,148,163,166,64,van
52,128,135,125,86,van
57,167,173,186,75,van
62,127,159,115,66,van
54,162,178,186,75,van
58,144,173,161,72,van
68,142,163,170,71,van
66,144,168,150,65,van
64,163,170,188,76,van
59,135,137,145,64,van
58,151,175,186,74,van
54,132,155,116,66,van
138,155,320,187,135,van
58,140,146,150,63,van
65,146,162,164,67,van
64,161,179,186,75,van
61,152,168,199,70,van
67,147,164,179,66,van
66,147,164,143,65,van
55,160,169,176,74,van
48,140,159,148,85,van
54,153,174,165,75,van
51,144,164,155,78,van
51,139,154,150,86,van
66,159,173,176,72,van
59,139,159,123,62,van
61,130,153,127,66,van
64,143,154,159,69,van
58,142,163,164,69,van
60,135,161,128,69,van
68,156,170,176,73,van
53,165,168,176,77,van
52,135,148,142,75,van
53,144,162,162,73,van
58,132,142,116,64,van
59,139,149,150,62,van
55,122,136,139,89,van
64,142,157,159,67,van
62,134,159,140,68,van
53,139,142,158,87,van
56,135,134,145,64,van
59,160,173,185,76,van
58,128,147,112,64,van
55,138,160,123,69,van
58,125,138,138,85,van
60,159,172,186,75,van
64,149,173,182,68,van
56,167,169,185,76,van
54,126,135,144,74,van
52,129,137,125,80,van
52,139,157,132,74,van
53,140,142,157,86,van
63,146,166,167,72,van
58,158,170,186,76,van
64,158,179,203,75,van
55,158,176,164,75,van
53,129,143,135,79,van
60,134,153,119,62,van
60,156,173,200,75,van
63,147,171,179,72,van
58,160,180,189,77,van
61,140,156,121,64,van
49,145,160,156,78,van
59,130,166,127,73,van
62,142,150,161,63,van
57,128,137,136,88,van
50,141,162,139,80,van
64,143,161,174,69,van
61,145,170,163,72,van
66,150,167,159,67,van
64,157,176,185,71,van
62,137,156,124,63,van
69,136,161,127,67,van
58,138,166,137,73,van
48,139,155,151,85,van
62,132,135,137,72,van
67,157,173,157,67,van
56,160,176,186,76,van
62,150,161,124,62,van
66,139,162,130,67,van
67,149,167,174,67,van
56,130,139,118,67,van
64,144,159,171,65,van
63,165,171,188,73,van
59,133,167,128,72,van
66,147,169,179,67,van
64,145,158,167,64,van
60,155,179,186,75,van
126,156,272,200,118,van
72,159,176,184,70,van
56,124,139,127,81,van
54,149,176,161,74,van
64,145,165,162,75,van
63,143,160,127,63,van
55,135,157,124,69,van
133,163,229,176,97,van
69,148,173,176,71,van
64,139,168,149,71,van
60,130,150,121,65,van
68,139,167,157,70,van
60,134,140,141,61,van
62,156,169,186,74,van
59,129,147,109,62,van
64,129,148,112,66,van
60,141,149,157,61,van
65,141,168,143,70,van
61,157,165,140,64,van
55,128,144,146,85,van
57,136,158,121,67,van
59,158,177,173,75,van
52,160,171,177,78,van
58,146,168,166,78,van
64,145,156,159,63,van
56,129,140,152,78,van
56,144,159,134,72,van
68,144,169,179,71,van
66,145,171,147,70,van
55,146,159,156,70,van
58,157,166,176,74,van
55,150,174,164,73,van
63,150,165,134,67,van
59,142,154,162,65,van
62,152,171,181,72,van
67,150,170,184,67,van
61,127,141,112,64,van
52,144,164,172,79,van
63,148,160,171,63,van
64,153,177,187,74,van
64,163,176,170,71,van
52,143,160,161,81,van
62,144,169,161,71,van
55,134,140,148,69,van
59,130,148,113,63,van
63,134,163,124,71,van
64,141,157,159,67,van
102,160,200,177,90,van
66,155,175,172,74,van
68,147,168,171,70,van
54,163,175,174,77,van
52,140,158,140,78,van
56,162,173,185,75,van
59,139,145,143,63,van
48,141,160,139,80,van
63,157,176,171,70,van
63,157,174,162,68,van
54,121,139,137,90,van
52,137,156,119,71,van
57,149,173,159,71,van
97,149,200,164,91,van
57,143,170,158,72,van
56,144,159,155,72,van
54,127,138,147,82,van
63,148,161,161,64,van
61,135,154,119,62,van
57,144,147,160,66,van
65,156,170,143,66,van
58,148,168,175,73,van
55,161,173,171,77,van
59,131,189,158,71,saab
55,132,170,149,77,saab
71,172,226,217,71,saab
66,167,229,212,70,saab
57,127,137,132,68,saab
61,144,189,138,61,saab
58,139,197,160,68,saab
60,131,181,144,68,saab
60,161,219,219,67,saab
61,138,165,173,80,saab
66,157,207,231,68,saab
62,151,216,183,64,saab
66,149,217,210,70,saab
69,156,211,230,70,saab
54,131,171,145,75,saab
57,143,172,176,69,saab
59,133,162,151,74,saab
64,151,190,174,66,saab
68,173,232,229,71,saab
65,152,216,174,68,saab
59,135,159,150,68,saab
63,144,210,166,68,saab
60,134,191,138,68,saab
54,171,235,218,74,saab
61,150,213,195,66,saab
59,138,208,168,67,saab
64,150,202,158,64,saab
53,126,150,144,86,saab
63,131,164,126,66,saab
57,123,135,128,76,saab
59,158,218,234,70,saab
61,168,226,209,67,saab
67,167,223,220,72,saab
62,125,151,144,83,saab
54,132,177,149,74,saab
64,168,224,214,73,saab
60,162,207,194,64,saab
68,164,228,238,71,saab
63,154,205,222,70,saab
71,167,226,202,70,saab
63,132,197,156,69,saab
61,159,229,215,71,saab
55,127,146,140,81,saab
65,168,216,221,72,saab
65,167,223,232,66,saab
64,163,216,202,65,saab
56,162,226,217,72,saab
60,131,188,144,66,saab
62,165,221,196,72,saab
57,147,184,177,69,saab
57,119,130,127,86,saab
67,173,228,200,70,saab
56,134,173,160,76,saab
66,148,210,169,68,saab
61,167,217,216,64,saab
64,138,184,131,62,saab
63,152,221,199,73,saab
60,155,186,169,59,saab
63,172,229,212,71,saab
60,134,197,152,72,saab
62,170,221,217,71,saab
65,163,228,220,66,saab
61,154,189,175,63,saab
63,138,206,173,70,saab
60,152,200,198,68,saab
58,133,202,155,70,saab
60,133,189,155,72,saab
73,174,232,214,73,saab
56,136,155,162,74,saab
57,125,143,139,82,saab
59,163,220,197,70,saab
59,131,186,137,68,saab
56,135,152,166,70,saab
64,135,194,165,66,saab
68,172,221,216,70,saab
59,140,192,147,63,saab
58,132,172,115,60,saab
59,143,175,177,77,saab
59,162,223,194,65,saab
63,128,151,143,82,saab
54,146,163,174,64,saab
65,160,220,237,71,saab
51,130,162,146,77,saab
62,146,202,152,64,saab
61,149,209,160,65,saab
59,156,225,213,70,saab
65,162,228,240,71,saab
