@relation vehicle

@attribute Compactness numeric
@attribute Radius_ratio numeric
@attribute Praxis_aspect_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
93,139,57,8,132,van
88,140,59,6,127,van
91,160,66,25,140,van
93,142,56,10,157,van
84,150,61,7,137,van
90,157,64,11,161,van
91,141,57,9,149,van
88,151,62,8,130,van
93,166,65,10,153,van
89,125,52,10,156,van
86,143,59,8,142,van
88,155,62,8,137,van
94,150,64,7,128,van
89,137,58,6,136,van
89,147,58,10,153,van
89,141,59,8,139,van
89,154,64,9,144,van
88,113,57,3,118,van
95,142,57,10,151,van
95,139,56,11,159,van
86,129,59,6,116,van
88,133,57,6,123,van
96,160,64,9,151,van
95,126,52,8,133,van
88,143,59,7,128,van
86,136,58,10,161,van
86,139,59,7,122,van
98,160,63,8,142,van
90,143,62,11,159,van
90,142,59,11,160,van
93,169,66,9,151,van
89,147,64,11,156,van
85,129,57,6,116,van
94,147,62,9,131,van
97,161,63,10,151,van
89,138,58,7,126,van
90,132,56,10,157,van
90,134,56,11,160,van
93,165,69,8,136,van
98,136,56,8,131,van
93,150,63,11,156,van
93,161,65,12,155,van
95,162,64,11,159,van
97,164,64,9,156,van
90,114,48,7,135,van
96,120,50,8,137,van
94,163,68,10,157,van
94,138,57,10,156,van
93,164,66,8,139,van
96,160,62,8,140,van
86,143,61,9,133,van
94,166,67,9,145,van
90,133,55,11,160,van
86,115,54,5,119,van
88,139,56,11,157,van
89,147,61,11,151,van
83,112,55,5,122,van
92,130,62,5,114,van
95,159,63,11,160,van
91,153,59,8,139,van
83,161,68,8,142,van
93,158,68,9,134,van
86,119,56,4,118,van
89,137,58,7,122,van
91,138,55,8,132,van
89,138,59,7,136,van
90,147,60,6,128,van
87,149,62,9,147,van
86,110,54,2,119,van
93,139,58,6,136,van
96,166,66,10,155,van
91,164,68,10,143,van
98,176,67,10,158,van
85,167,69,8,143,van
97,133,56,7,130,van
92,144,59,8,127,van
94,137,54,11,158,van
98,121,49,7,134,van
95,162,66,11,162,van
90,157,65,9,137,van
84,140,58,11,156,van
85,123,55,5,120,van
88,114,53,7,132,van
87,150,64,10,133,van
87,117,58,4,118,van
85,110,55,3,117,van
98,125,52,8,130,van
83,116,53,7,132,van
94,146,60,9,133,van
83,114,53,6,132,van
95,174,66,9,153,van
93,133,54,10,155,van
90,144,59,7,131,van
86,125,55,5,117,van
87,150,64,10,133,van
85,150,63,8,143,van
83,113,53,6,122,van
94,162,64,10,157,van
84,145,62,9,136,van
89,141,58,9,149,van
93,163,66,11,156,van
90,157,64,8,137,van
89,144,58,10,152,van
85,126,56,6,114,van
88,135,55,12,155,van
91,126,56,6,119,van
85,133,56,11,159,van
94,333,138,49,155,van
93,131,56,7,127,van
92,124,52,6,139,van
96,111,48,8,134,van
90,145,58,9,152,van
93,170,66,9,150,van
89,149,60,8,133,van
98,130,55,7,130,van
91,157,61,9,149,van
86,140,61,7,122,van
86,164,68,9,142,van
90,306,126,49,153,van
86,140,60,7,119,van
90,136,58,11,161,van
90,161,64,10,163,van
89,159,65,9,144,van
90,149,60,10,155,van
95,170,65,9,145,van
90,143,60,11,161,van
93,145,58,11,159,van
89,111,54,5,120,van
91,151,63,7,137,van
97,173,67,10,157,van
85,154,64,9,147,van
85,145,60,6,130,van
89,160,64,11,155,van
90,144,60,9,150,van
93,159,63,8,144,van
90,157,64,8,136,van
89,131,54,11,160,van
86,150,64,9,138,van
93,123,51,7,135,van
89,133,55,11,157,van
92,163,63,9,146,van
93,124,51,7,140,van
95,178,72,10,162,van
89,322,133,48,158,van
89,246,102,43,155,van
91,162,66,8,148,van
91,131,56,9,126,van
89,131,56,6,118,van
91,133,55,8,130,van
88,136,55,11,154,van
90,152,64,7,135,van
89,125,54,10,156,van
89,134,59,6,123,van
97,151,64,8,128,van
