@relation vehicle

@attribute Distance_circularity numeric
@attribute Scatter_ratio numeric
@attribute Minor_variance numeric
@attribute Major_skewness numeric
@attribute Major_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
70,137,278,64,196,van
66,139,275,81,182,van
62,122,218,79,181,van
60,114,194,72,190,van
83,157,364,75,184,van
82,159,367,76,183,van
73,161,376,77,183,van
66,134,268,69,191,van
78,160,366,76,182,van
74,157,356,79,184,van
66,130,251,69,191,van
53,118,204,88,180,van
92,160,372,70,189,van
78,137,281,63,203,van
78,160,370,76,183,van
51,118,206,80,181,van
74,136,278,72,189,van
84,157,354,74,182,van
75,160,369,77,182,van
81,150,332,91,186,van
68,134,261,75,186,van
49,122,219,85,180,van
68,128,241,75,182,van
76,156,352,76,184,van
58,118,208,78,184,van
90,153,348,66,194,van
70,139,289,99,190,van
82,159,371,77,183,van
63,123,223,76,186,van
84,145,312,64,199,van
87,157,363,75,183,van
66,133,265,62,201,van
64,116,200,65,196,van
85,155,355,75,185,van
62,116,203,64,199,van
85,152,345,73,186,van
69,138,284,71,189,van
53,132,247,86,176,van
84,149,330,72,188,van
81,156,352,76,184,van
70,133,266,66,194,van
70,139,282,79,183,van
66,137,281,67,193,van
85,152,345,72,187,van
80,156,349,74,183,van
85,155,351,75,184,van
57,135,261,85,183,van
85,161,375,74,185,van
80,146,318,71,188,van
60,118,209,65,193,van
75,161,371,75,183,van
70,127,240,74,189,van
85,158,362,75,183,van
88,149,326,64,197,van
82,155,359,74,186,van
72,133,262,69,192,van
84,159,368,72,186,van
91,157,358,69,190,van
85,153,347,65,196,van
62,128,246,61,201,van
68,128,246,69,192,van
66,122,225,63,202,van
89,151,338,72,187,van
80,147,324,71,188,van
80,148,331,70,189,van
77,140,294,62,201,van
62,127,241,62,204,van
88,159,371,71,189,van
51,119,207,86,179,van
68,139,291,73,189,van
68,127,242,66,195,van
81,146,317,70,189,van
63,132,260,67,193,van
66,131,254,73,188,van
84,156,354,73,185,van
58,133,255,86,181,van
85,155,355,67,192,van
87,154,351,67,192,van
75,157,358,77,182,van
60,119,209,72,186,van
66,126,237,72,191,van
85,156,355,74,183,van
82,143,308,68,191,van
64,130,253,63,203,van
88,150,334,65,196,van
85,155,356,72,185,van
84,154,350,73,185,van
60,128,246,62,202,van
83,158,364,97,184,van
85,157,363,76,184,van
76,151,339,71,187,van
77,144,314,70,190,van
77,157,354,78,182,van
58,117,204,69,190,van
81,145,313,66,194,van
73,142,305,71,191,van
82,144,309,63,199,van
53,118,205,85,180,van
85,157,357,73,187,van
88,157,365,67,192,van
90,157,363,67,192,van
64,134,258,80,183,van
64,134,268,71,192,van
70,137,269,80,183,van
72,136,279,64,201,van
64,133,264,67,193,van
58,122,222,64,197,van
84,149,330,72,189,van
80,146,316,64,199,van
80,159,366,74,185,van
62,130,247,78,184,van
71,143,307,72,187,van
68,133,265,62,201,van
51,119,207,81,181,van
78,160,367,73,185,van
79,144,309,67,195,van
87,156,359,68,192,van
66,133,253,78,184,van
82,145,314,64,199,van
66,137,280,72,188,van
64,129,249,68,194,van
63,131,259,65,197,van
68,138,285,69,192,van
73,136,275,73,187,van
87,158,366,75,183,van
88,158,367,66,194,van
84,156,351,77,182,van
70,136,273,78,186,van
81,150,333,75,185,van
79,144,311,71,188,van
88,151,339,70,192,van
83,162,379,70,187,van
66,140,294,73,188,van
78,139,290,64,201,van
73,161,373,76,182,van
78,161,374,75,184,van
81,147,325,72,188,van
80,160,369,77,182,van
85,158,367,68,189,van
44,119,208,90,180,van
60,119,212,61,200,van
84,155,351,75,183,van
47,117,203,89,180,van
68,131,251,72,186,van
77,156,351,78,183,van
76,162,381,74,184,van
68,130,253,65,195,van
85,155,354,135,188,van
76,142,301,71,189,van
66,120,212,73,186,van
76,132,256,69,191,van
75,140,284,77,184,van
70,130,243,74,186,van
70,140,296,67,192,van
85,163,387,71,189,van
51,120,213,82,181,van
85,155,354,76,184,van
69,135,272,75,187,van
85,159,365,75,182,van
70,126,237,64,199,van
88,155,354,69,194,van
52,115,196,74,186,van
58,127,243,63,199,van
70,130,253,70,190,van
82,159,362,76,183,van
60,119,211,67,192,van
83,156,357,74,185,van
85,151,339,67,195,van
81,155,347,90,183,van
66,139,277,85,182,van
78,142,305,70,190,van
62,131,249,78,184,van
70,127,238,71,191,van
53,123,221,82,179,van
85,163,389,73,185,van
78,142,300,63,201,van
82,159,365,75,182,van
70,136,280,68,194,van
85,153,349,74,186,van
85,169,430,61,200,saab
108,217,694,67,188,saab
77,161,390,66,194,saab
78,135,270,66,190,saab
81,160,383,70,192,saab
101,197,584,68,189,saab
105,208,641,72,187,saab
54,125,229,78,180,saab
88,175,459,63,196,saab
100,217,697,72,188,saab
77,144,308,64,194,saab
100,196,576,65,194,saab
98,218,704,71,188,saab
63,142,299,77,181,saab
103,219,709,70,187,saab
74,159,378,69,190,saab
75,152,339,76,182,saab
57,135,265,83,180,saab
53,116,196,76,183,saab
106,203,612,70,191,saab
103,220,711,73,188,saab
66,136,274,74,183,saab
63,146,314,83,180,saab
105,191,545,64,196,saab
108,218,700,67,190,saab
106,207,635,73,188,saab
86,158,373,68,190,saab
101,222,719,71,187,saab
80,154,353,69,190,saab
100,185,518,62,198,saab
85,169,427,64,195,saab
107,218,703,71,188,saab
109,216,687,72,189,saab
82,154,357,69,188,saab
108,222,712,71,189,saab
100,198,586,67,192,saab
40,112,184,86,181,saab
75,140,290,71,189,saab
72,154,360,61,203,saab
106,207,638,71,189,saab
63,128,246,63,198,saab
104,213,674,68,191,saab
98,203,613,64,193,saab
108,221,709,73,190,saab
98,195,572,67,192,saab
88,170,435,66,195,saab
101,201,607,65,192,saab
108,215,684,71,188,saab
51,135,268,86,181,saab
57,121,216,68,190,saab
81,166,415,62,197,saab
64,150,333,80,182,saab
106,208,640,69,189,saab
72,146,314,77,184,saab
108,207,636,64,196,saab
100,221,718,73,187,saab
90,183,506,70,189,saab
