@relation vehicle

@attribute Circularity numeric
@attribute Distance_circularity numeric
@attribute Max_length_aspect_ratio numeric
@attribute Length_rectangular numeric
@attribute Major_variance numeric
@attribute Major_skewness numeric
@attribute Class {van,saab,bus,opel}

@data
44,69,7,145,165,75,van
45,91,10,148,166,65,van
42,66,9,142,163,69,van
40,66,7,140,159,85,van
46,88,10,148,173,69,van
39,57,6,135,134,64,van
40,70,8,141,162,80,van
49,85,11,167,173,75,van
50,84,10,170,171,77,van
43,85,10,153,174,75,van
47,85,9,155,175,73,van
40,60,6,137,143,65,van
48,86,49,156,272,118,van
49,82,10,160,176,76,van
43,66,9,146,162,67,van
45,80,9,148,161,64,van
47,84,11,160,169,74,van
39,76,8,137,156,63,van
36,66,5,128,140,73,van
47,87,9,149,173,68,van
40,58,7,140,146,63,van
47,83,48,163,229,97,van
39,62,6,135,137,64,van
41,79,8,150,165,67,van
44,78,8,148,160,63,van
39,58,5,134,140,69,van
44,78,9,147,168,70,van
39,58,6,139,154,86,van
45,82,11,156,170,76,van
44,70,6,146,168,78,van
36,51,6,129,137,80,van
47,73,11,153,172,77,van
41,63,6,137,148,76,van
36,53,3,128,137,88,van
41,62,7,143,158,78,van
37,68,6,130,150,65,van
43,85,11,151,173,72,van
39,57,7,139,155,85,van
42,70,7,145,156,74,van
42,85,9,144,168,65,van
35,70,7,128,147,64,van
49,87,11,162,178,75,van
47,80,11,163,175,77,van
42,64,7,144,164,78,van
42,63,7,142,154,65,van
44,76,10,151,163,76,van
37,69,8,134,163,71,van
46,88,9,148,173,70,van
36,70,9,130,153,66,van
36,60,6,130,139,67,van
35,58,6,132,142,64,van
47,85,10,151,175,74,van
48,83,10,153,177,74,van
39,68,5,135,148,75,van
45,66,8,148,168,73,van
39,77,8,139,159,62,van
41,66,9,144,159,72,van
42,64,10,141,157,67,van
43,82,10,149,176,74,van
36,68,8,130,166,73,van
46,73,11,158,170,76,van
34,62,7,127,141,64,van
43,81,46,149,200,91,van
43,70,8,146,159,70,van
37,76,8,135,157,69,van
37,53,5,125,141,82,van
46,77,10,160,171,78,van
44,66,7,146,166,72,van
46,75,11,161,173,77,van
37,70,7,140,156,64,van
48,87,10,161,179,75,van
38,58,4,129,140,78,van
38,66,8,140,158,78,van
47,75,9,165,168,77,van
42,80,8,145,171,70,van
45,81,9,147,164,66,van
46,82,11,160,180,77,van
46,90,9,150,170,67,van
47,85,11,158,172,74,van
38,70,8,139,157,74,van
36,63,8,136,158,67,van
44,88,10,149,173,66,van
41,66,7,143,160,81,van
44,90,10,156,170,66,van
43,84,11,150,174,73,van
45,73,8,148,173,71,van
48,77,10,164,169,78,van
39,60,7,134,140,61,van
39,82,10,137,164,68,van
43,70,55,145,231,99,van
37,51,5,128,135,86,van
44,80,11,157,166,74,van
44,72,8,144,159,65,van
36,68,8,134,153,62,van
48,81,9,156,173,75,van
41,64,8,142,161,68,van
46,78,11,160,170,73,van
46,91,12,155,172,69,van
